player,session_length,winrate
-cFMvwcJXzBU5h1LJsFFSX04nV2MpnW6YFh4cqZMuBbjYDMxKPeQ_BUPo4wHFqVV_rsGynkd9g2RSQ,15,46.67
-cFMvwcJXzBU5h1LJsFFSX04nV2MpnW6YFh4cqZMuBbjYDMxKPeQ_BUPo4wHFqVV_rsGynkd9g2RSQ,15,33.33
0csI8T4SpmfIy-5s9pmU5QT3KTm-Dfe_zHP9Rc-qV7kxaGdy3b73r6Bi6LlTA39coQY3IuhyL9K55A,15,40.0
0csI8T4SpmfIy-5s9pmU5QT3KTm-Dfe_zHP9Rc-qV7kxaGdy3b73r6Bi6LlTA39coQY3IuhyL9K55A,15,53.33
0kOqJx2pL3DBLp5wvdq2DLFeRfFpe1mkaX-jsrCEsTD2xU4Yc22RklAd1Z9d-4fne32OYao9qQCkag,15,33.33
0kOqJx2pL3DBLp5wvdq2DLFeRfFpe1mkaX-jsrCEsTD2xU4Yc22RklAd1Z9d-4fne32OYao9qQCkag,15,33.33
3jetPpnJDLY7r91qpA903M7TGqma8-UmX67d9AEQLpyitz7DejmMjyWh75173Qguul9qyZYrC698fg,15,33.33
45PcIWupr9VW8YO9ns8RTaKAo8J7A_WLTU2z82cPEdozTLAZHp66V7VzUv2ajyo05OoygDYcGuRJeg,15,60.0
4cn2OXFoeuUKFwV62NazpH7CTXejHXOcU3HtixpigF3CYsVA1LWe_VaoA4F7CltSm5VlA5ae4w9bAg,15,73.33
4cn2OXFoeuUKFwV62NazpH7CTXejHXOcU3HtixpigF3CYsVA1LWe_VaoA4F7CltSm5VlA5ae4w9bAg,15,53.33
4Fdzft7YWXUPz_Kp4C8IShaH2_Ao0kesstMWqokpRiBbOX-v5WFWgQK2Yc2ABjgDzcfjWeF1SprXuw,15,60.0
527zCRoSEk2okAOAjPYMIbESySnLYBWYKGLTmWP6mJ3LBtZkfZLlXCNoViyitAabBVelNIjkHprDiQ,15,40.0
5Es0gM3N5L9pdqYT3bBtYa_Ym7EW8DCoHDbt-OqmrAVnWPuogx_1JNdhc--UvX0v14Gx7n4dsnplmw,15,33.33
5hOTf8jK9wpu7KbGM4Yn974R9VLFV837-aGqA4PZt-YKAvWwLYoGkJsNAj9PMKulIXjiL8-ndZC-AQ,15,66.67
5ujYY84xLTuJwV0qVmT2liRSYsibdLly6wqjjNMrxpXrzPYeHtzZocEGmY8f77dS2RmnfO9YwZe3Vw,15,46.67
5ujYY84xLTuJwV0qVmT2liRSYsibdLly6wqjjNMrxpXrzPYeHtzZocEGmY8f77dS2RmnfO9YwZe3Vw,15,60.0
644OFtNkrP9K-JyAaO1OjbjqjOKYKuWDhY8iEQ-1SPj0taUqz-JedIKsHvM8eVC0TKwz-RlFF59xUw,15,46.67
6QDHP_YOdtJxnEsxSymbkKFS_oTo5dswvqQxiG6PiRCk8VKj6MRBvWkiBBO-UILNCCz3IJYT5FzzHw,15,53.33
6rw7-RHvyeaj8BIdQHSiFnnFyLozyq78gxZ6syAIurdNyMEJxo1FyFanQ1eSC81IykQYR_YOfDRVQQ,15,33.33
6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,15,33.33
7dDVWIsJV_97hHsfwM-FVqAlMfpufNHA9UMQa74Y8uCTlo7-A_F90c74y_PEmrx9wmintsXlv2Ko6Q,15,53.33
7dDVWIsJV_97hHsfwM-FVqAlMfpufNHA9UMQa74Y8uCTlo7-A_F90c74y_PEmrx9wmintsXlv2Ko6Q,15,40.0
8AWUhan-RZSlmza6jJM0bt5Glv2k6rIuGDYBCk-hQRcP0zzS99jhcSeRm_oqfb-BATcFGpb1CXx26w,15,46.67
8ONUfc09xHm4QNOR8MLoyS-YebR4Rrr_qs3wnv_0XfZYbtaCVVSTml4SBGj0O_bz4hXg4UQS13fJ2A,15,53.33
8V5C9VFi-deQU2EGSgnBoatlSr107-lZTPRFJswKil42J1nR6umA_D6-Vjsed1bbsOfeFLJio5QHqQ,15,53.33
9Vjhb14mcY0_5_gQKshK518IujAmGUPrFiYqnw3BLI4OvObHggeI_tFfAZ6nqHlFeTXAtmaxMG3k9Q,15,46.67
AAj61Q3LhyuUxzjoV62RVwUYg9sZ4DmVsA9BGLRPbfP0UIDEwu_nY8dVhDkVb-QdybXM3k6FYRX5_g,15,40.0
ApWP0ifrw7kpEN98D43dpIp_64HTYBbGTuO82ZKOv0RkaSaVyqjVJUv1ZQz90UOr1ofoQhYtvpH0mQ,15,46.67
at15MFDWCpNieLfJ1pPoCtqCBW7OIrSgAYxSE_zL7jvEnRSZsceFgMkHORS7kPGxyr6yGJgD-baPlA,15,66.67
AZxNkiIkI37rC2MxloFMnXyZfQQaDcFIjfLmzG2CH1GxBBKC7AdpCSULbMSZw0t4P7Btd0xKMJJHZA,15,60.0
B4uxhLKwIE_TMI9RloiF16xqiPGaJIdEub7AVUwetqPQHZ05mJNGSjgqeamffTmvMGqsRfvyms55hw,15,66.67
BJvFkqZoyTyPXMKwf0A3ZPkBr4YoYWtr4Y7L466kAz4cayXIaziN0K3GfJnkgF-aEVoxPd9zlXo61w,15,66.67
bkrtxpEbmpBvKdCdRtLFZWjDMNoj0sarxQuEAjxAVp2ktWdnN2YAMb92vbiipWuROVxi8A15xFVvxA,15,46.67
bt3whPFLpwswRBz7u3NP0f0VCt476TS-MVycZJ548rFPn5aVYMjxWUbXTTBMC2tnrrBGp2i2IWUFZw,15,66.67
bVmBZQSMWiFRCfNxKvqOWR_Cw9crNYuq4TeQEq_-EaPfWpZl9pzqNjWrzbS-3kxH6yJHVKozic8xLQ,15,53.33
bYBMCnq0S1TTfskH7yJ_araZfO4uhgHg54rnNe6Xx3CiOyV8l-uYw3jAmG4VXgS8JDA5IAZSMuqv4Q,15,26.67
bYBMCnq0S1TTfskH7yJ_araZfO4uhgHg54rnNe6Xx3CiOyV8l-uYw3jAmG4VXgS8JDA5IAZSMuqv4Q,15,60.0
bzEvQgTeNESYH7PRuDZguF96CWI--sVDHCkxdaMMLJPb96thgFJ7nuZDCrQUezACS6FjidztRlatyw,15,26.67
C0A2Ektqn3cWq_ME1q6QjvPfL1hyY0jqJPNQWuU4PjpJucpX-c_eh8-qGY5e7MS2FGj5ZrJfdHCzWw,15,46.67
CcGRvkgw8RH1ZlDEBhkVQ9OSzOsBpYAkyQxb9i-APrBU-9cceM9k7XmD2UANOktWqfyVouRBmbxKMw,15,53.33
CLP3aN_FHr2l1bT80PbG0RmwiSG67GTIG91i2X0zfxhbWYD9JXnmCXyXgL2GaKIacox3r7w0rSQACg,15,53.33
CnfgWDlEnEPYuL0FX7jIbRKVC-3j_d76gy8MJUt9aHCGueUX4m3VLma5RByxgmP8fEBBBa_w8r-1gQ,15,46.67
D9widVfh-kg5lBNXRmHPdZ-XrL9JLn6yxFb2KVW5-dc9vL_658os7z08U0HEFebmzI_r1rnFRADptA,15,53.33
DAywLkf0cB0ET8M6JS4ZU31adkUpb5uywa-RnLVakLAEFDegMdgn8VE12y6LPKzjGwIL97N3HuM2Fg,15,40.0
dEo8LUEM6qb8lfzCIY_i1UdrwF1xBB9a_bs-9oDdvJ13esgXttdOgpmQn_kfn3OoQLTzYx3XTqF6QQ,15,60.0
DFYKIKOcg5Iu8uw8Btn7bSbBMeHtr8nn6XnwzukZCrpctDJ2LkkFczSRLgyJCF6MSuYk7dB_VSU0TQ,15,66.67
DFYKIKOcg5Iu8uw8Btn7bSbBMeHtr8nn6XnwzukZCrpctDJ2LkkFczSRLgyJCF6MSuYk7dB_VSU0TQ,15,60.0
dIbE8xkNpIRD6flUNT6UN8C6lKvbV7d-ktQChjRHCNR_ssqmm51rDwSS3Ml_wx5Mup-9GRqvbCLhZw,15,53.33
DMqbwUHagr-bxNooUcbC1Oz_TGd5LPz1Zsj_Sg6s74IO6zwDYrE6hl9KfUSJVvaNIY1RjAyB7tQJiw,15,60.0
DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,15,53.33
E7uWhBg4TilfxicoFxWpDiwfK8Kb5NhGe12I3tIX_SXzccv7kAW7L4NPrA76ggiW8QdhN67PeS389A,15,53.33
