match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7840005748,-Xv_8DymttBsybccw8-1Xd-Fl_C3Flh2hOleTodYmI1ZNgPu993iyuirHuKtMsWND5-fsK1Az_HIvQ,1777738104082,1777740636659,2532,False,Ezreal,7,8,13,SILVER III,2026-05-02 16:50:36.659
EUW1_7836724507,-Xv_8DymttBsybccw8-1Xd-Fl_C3Flh2hOleTodYmI1ZNgPu993iyuirHuKtMsWND5-fsK1Az_HIvQ,1777484740158,1777486233746,1493,False,Aurora,2,5,2,SILVER III,2026-04-29 18:10:33.746
EUW1_7836612818,-Xv_8DymttBsybccw8-1Xd-Fl_C3Flh2hOleTodYmI1ZNgPu993iyuirHuKtMsWND5-fsK1Az_HIvQ,1777479717679,1777482390804,2673,True,Xerath,14,5,12,SILVER III,2026-04-29 17:06:30.804
EUW1_7836566346,-Xv_8DymttBsybccw8-1Xd-Fl_C3Flh2hOleTodYmI1ZNgPu993iyuirHuKtMsWND5-fsK1Az_HIvQ,1777477540737,1777479440896,1900,True,Zoe,4,3,9,SILVER III,2026-04-29 16:17:20.896
EUW1_7836083434,-Xv_8DymttBsybccw8-1Xd-Fl_C3Flh2hOleTodYmI1ZNgPu993iyuirHuKtMsWND5-fsK1Az_HIvQ,1777417357733,1777418909314,1551,False,Katarina,3,5,1,SILVER III,2026-04-28 23:28:29.314
EUW1_7836074717,-Xv_8DymttBsybccw8-1Xd-Fl_C3Flh2hOleTodYmI1ZNgPu993iyuirHuKtMsWND5-fsK1Az_HIvQ,1777415922037,1777417042650,1121,True,Sylas,7,1,4,SILVER III,2026-04-28 22:57:22.650
EUW1_7836025910,-Xv_8DymttBsybccw8-1Xd-Fl_C3Flh2hOleTodYmI1ZNgPu993iyuirHuKtMsWND5-fsK1Az_HIvQ,1777413049777,1777415586515,2537,False,Lissandra,8,8,15,SILVER III,2026-04-28 22:33:06.515
EUW1_7829997292,-Xv_8DymttBsybccw8-1Xd-Fl_C3Flh2hOleTodYmI1ZNgPu993iyuirHuKtMsWND5-fsK1Az_HIvQ,1776941454297,1776943223088,1769,True,Sylas,10,4,1,SILVER III,2026-04-23 11:20:23.088
EUW1_7829975993,-Xv_8DymttBsybccw8-1Xd-Fl_C3Flh2hOleTodYmI1ZNgPu993iyuirHuKtMsWND5-fsK1Az_HIvQ,1776939199610,1776941170921,1976,True,Sylas,17,6,14,SILVER III,2026-04-23 10:46:10.921
EUW1_7829955151,-Xv_8DymttBsybccw8-1Xd-Fl_C3Flh2hOleTodYmI1ZNgPu993iyuirHuKtMsWND5-fsK1Az_HIvQ,1776936896657,1776938743190,1846,False,Sylas,7,6,3,SILVER III,2026-04-23 10:05:43.190
EUW1_7829937918,-Xv_8DymttBsybccw8-1Xd-Fl_C3Flh2hOleTodYmI1ZNgPu993iyuirHuKtMsWND5-fsK1Az_HIvQ,1776934472829,1776936598660,2126,False,Ahri,8,7,6,SILVER III,2026-04-23 09:29:58.660
EUW1_7829922208,-Xv_8DymttBsybccw8-1Xd-Fl_C3Flh2hOleTodYmI1ZNgPu993iyuirHuKtMsWND5-fsK1Az_HIvQ,1776932224382,1776934177373,1953,True,Katarina,13,7,6,SILVER III,2026-04-23 08:49:37.373
EUW1_7829747049,-Xv_8DymttBsybccw8-1Xd-Fl_C3Flh2hOleTodYmI1ZNgPu993iyuirHuKtMsWND5-fsK1Az_HIvQ,1776896242968,1776897606718,1364,False,Kalista,2,11,5,SILVER III,2026-04-22 22:40:06.718
