match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7820209617,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1776172481773,1776175056132,2574,False,Jax,7,11,6,BRONZE II,2026-04-14 13:57:36.132
EUW1_7819964541,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1776123825380,1776125306368,1481,False,Shen,3,7,1,BRONZE II,2026-04-14 00:08:26.368
EUW1_7819942698,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1776121613541,1776123540108,1926,False,Shen,2,6,13,BRONZE II,2026-04-13 23:39:00.108
EUW1_7819906241,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1776118920357,1776121361900,2441,True,Shen,9,4,23,BRONZE II,2026-04-13 23:02:41.900
EUW1_7819880599,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1776117082371,1776118672420,1590,False,TahmKench,2,9,5,BRONZE II,2026-04-13 22:17:52.420
EUW1_7819455998,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1776098898600,1776100772512,1874,True,Shen,3,7,9,BRONZE II,2026-04-13 17:19:32.512
EUW1_7819412961,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1776096565624,1776098508320,1943,False,Shen,7,7,22,BRONZE II,2026-04-13 16:41:48.320
EUW1_7818568345,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1776016785162,1776018680619,1895,True,Shen,6,7,27,BRONZE II,2026-04-12 18:31:20.619
EUW1_7818508704,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1776013910381,1776016451881,2541,False,Shen,12,9,17,BRONZE II,2026-04-12 17:54:11.881
EUW1_7817444963,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1775933697974,1775933781888,84,True,Shen,0,0,0,BRONZE II,2026-04-11 18:56:21.888
EUW1_7817367536,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1775929401512,1775931116224,1715,True,Shen,5,0,16,BRONZE II,2026-04-11 18:11:56.224
EUW1_7811814230,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1775465226665,1775467314037,2087,True,Shen,5,3,12,BRONZE II,2026-04-06 09:21:54.037
EUW1_7811795183,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1775462847034,1775464957205,2110,False,Shen,1,7,9,BRONZE II,2026-04-06 08:42:37.205
EUW1_7811251856,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1775415122845,1775416649948,1527,True,Shen,5,1,14,BRONZE II,2026-04-05 19:17:29.948
EUW1_7811244731,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1775414770804,1775414868798,98,False,Shen,0,0,0,BRONZE II,2026-04-05 18:47:48.798
EUW1_7811190713,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1775412347170,1775414512293,2165,False,Shen,5,11,10,BRONZE II,2026-04-05 18:41:52.293
EUW1_7810662507,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1775380478300,1775382425962,1948,False,Shen,2,8,9,BRONZE II,2026-04-05 09:47:05.962
EUW1_7810634277,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1775377863669,1775380146567,2283,True,Malphite,5,7,12,BRONZE II,2026-04-05 09:09:06.567
EUW1_7810021098,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1775324718493,1775326656852,1938,True,Shen,8,3,14,BRONZE II,2026-04-04 18:17:36.852
EUW1_7809750808,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1775310033838,1775312271981,2238,True,Teemo,8,13,9,BRONZE II,2026-04-04 14:17:51.981
EUW1_7809721811,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1775308355692,1775309713406,1358,False,Garen,5,5,0,BRONZE II,2026-04-04 13:35:13.406
EUW1_7804214486,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1774871937252,1774872888242,951,True,Garen,5,1,1,BRONZE II,2026-03-30 12:14:48.242
EUW1_7803868505,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1774820978725,1774822865291,1886,True,Mordekaiser,8,7,6,BRONZE II,2026-03-29 22:21:05.291
EUW1_7803813866,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1774818885674,1774820687027,1801,True,Shen,7,4,8,BRONZE II,2026-03-29 21:44:47.027
EUW1_7803754940,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1774816532541,1774818563318,2031,False,Shen,8,5,11,BRONZE II,2026-03-29 21:09:23.318
EUW1_7802192053,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1774721768322,1774723560318,1792,False,Jax,10,8,5,BRONZE II,2026-03-28 18:46:00.318
EUW1_7799964712,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1774563068534,1774564677962,1610,True,Jax,8,4,10,BRONZE II,2026-03-26 22:37:57.962
EUW1_7799928218,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1774561701005,1774562740814,1040,False,Jax,0,4,1,BRONZE II,2026-03-26 22:05:40.814
EUW1_7799867453,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1774559527472,1774561285809,1758,False,Yorick,2,9,4,BRONZE II,2026-03-26 21:41:25.809
EUW1_7799471713,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1774543250020,1774545400542,2150,True,Garen,2,0,0,BRONZE II,2026-03-26 17:16:40.542
EUW1_7799043795,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1774509361433,1774511332035,1970,True,Shen,10,8,14,BRONZE II,2026-03-26 07:48:52.035
EUW1_7798430265,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1774461567615,1774463641182,2073,False,Shen,8,8,6,BRONZE II,2026-03-25 18:34:01.182
EUW1_7515001923,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1756717095727,1756718878217,1782,False,Shen,2,4,3,BRONZE II,2025-09-01 09:27:58.217
EUW1_7514664102,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1756672426189,1756674738248,2312,True,Shen,12,3,15,BRONZE II,2025-08-31 21:12:18.248
EUW1_7514214482,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1756654502811,1756656183304,1680,False,Shen,4,8,6,BRONZE II,2025-08-31 16:03:03.304
EUW1_7440788885,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1750673310330,1750675819526,2509,False,Kled,9,11,4,BRONZE II,2025-06-23 10:50:19.526
EUW1_7435229748,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1750182197143,1750184263126,2066,False,Shen,10,10,5,BRONZE II,2025-06-17 18:17:43.126
EUW1_7434136583,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1750089220499,1750090789239,1568,True,Malphite,6,4,14,BRONZE II,2025-06-16 16:19:49.239
EUW1_7415340267,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1748467695330,1748469488206,1793,False,Morgana,0,6,13,BRONZE II,2025-05-28 21:58:08.206
EUW1_7406865931,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1747761837205,1747762663555,826,False,Malzahar,2,8,0,BRONZE II,2025-05-20 17:37:43.555
EUW1_7406616973,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1747746424367,1747748283880,1859,False,Shen,7,6,2,BRONZE II,2025-05-20 13:38:03.880
EUW1_7406529391,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1747738794832,1747741739800,2945,True,Darius,11,15,6,BRONZE II,2025-05-20 11:48:59.800
EUW1_7406499238,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1747735274833,1747737549872,2275,True,Shen,8,7,16,BRONZE II,2025-05-20 10:39:09.872
EUW1_7406477229,-nPLWMXOC7DrfHQXlS-GA5gTrWCzGbrqaz7ztdgGwRKz2WhYNZEn2G-7KDENzg_y6QD3RCrtfDMw4w,1747732754483,1747734541574,1787,False,XinZhao,3,13,1,BRONZE II,2025-05-20 09:49:01.574
