match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7829692908,-tpQPB2aGxaYHmvUvlOypLsgllbUWBmHUBizsQytE1o8cErIEvQIdQGhIAut2MbCnKTraYBTdoEFuQ,1776893119773,1776895544765,2425,True,Darius,4,6,13,BRONZE I,2026-04-22 22:05:44.765
EUW1_7829480541,-tpQPB2aGxaYHmvUvlOypLsgllbUWBmHUBizsQytE1o8cErIEvQIdQGhIAut2MbCnKTraYBTdoEFuQ,1776884244983,1776885908721,1664,False,Darius,4,9,1,BRONZE I,2026-04-22 19:25:08.721
EUW1_7829165323,-tpQPB2aGxaYHmvUvlOypLsgllbUWBmHUBizsQytE1o8cErIEvQIdQGhIAut2MbCnKTraYBTdoEFuQ,1776868808573,1776870855637,2047,True,Sion,2,6,16,BRONZE I,2026-04-22 15:14:15.637
EUW1_7829138559,-tpQPB2aGxaYHmvUvlOypLsgllbUWBmHUBizsQytE1o8cErIEvQIdQGhIAut2MbCnKTraYBTdoEFuQ,1776866516900,1776868358764,1842,True,Sion,13,4,17,BRONZE I,2026-04-22 14:32:38.764
EUW1_7829089181,-tpQPB2aGxaYHmvUvlOypLsgllbUWBmHUBizsQytE1o8cErIEvQIdQGhIAut2MbCnKTraYBTdoEFuQ,1776863426721,1776864895125,1468,False,Darius,3,7,0,BRONZE I,2026-04-22 13:34:55.125
EUW1_7828036967,-tpQPB2aGxaYHmvUvlOypLsgllbUWBmHUBizsQytE1o8cErIEvQIdQGhIAut2MbCnKTraYBTdoEFuQ,1776774607576,1776777089607,2482,True,Sion,12,4,13,BRONZE I,2026-04-21 13:11:29.607
EUW1_7828024401,-tpQPB2aGxaYHmvUvlOypLsgllbUWBmHUBizsQytE1o8cErIEvQIdQGhIAut2MbCnKTraYBTdoEFuQ,1776774270965,1776774343596,72,False,Darius,0,0,0,BRONZE I,2026-04-21 12:25:43.596
EUW1_7828004614,-tpQPB2aGxaYHmvUvlOypLsgllbUWBmHUBizsQytE1o8cErIEvQIdQGhIAut2MbCnKTraYBTdoEFuQ,1776771708016,1776773725003,2017,True,Sion,6,2,16,BRONZE I,2026-04-21 12:15:25.003
EUW1_7827636675,-tpQPB2aGxaYHmvUvlOypLsgllbUWBmHUBizsQytE1o8cErIEvQIdQGhIAut2MbCnKTraYBTdoEFuQ,1776719483102,1776722078404,2595,False,Darius,11,13,8,BRONZE I,2026-04-20 21:54:38.404
EUW1_7827622080,-tpQPB2aGxaYHmvUvlOypLsgllbUWBmHUBizsQytE1o8cErIEvQIdQGhIAut2MbCnKTraYBTdoEFuQ,1776719108149,1776719198754,90,True,Darius,0,0,0,BRONZE I,2026-04-20 21:06:38.754
