match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7822451689,06Gj3nB0sr6aLsjQ9UToHMF6PVnJlD2LByZUvTJ97iPzhKpBHUyxNX9Y5_mdlMcUwlCN8MU10XCRQw,1776355762932,1776357371822,1609,True,Yone,11,7,4,GOLD IV,2026-04-16 16:36:11.822
EUW1_7822410356,06Gj3nB0sr6aLsjQ9UToHMF6PVnJlD2LByZUvTJ97iPzhKpBHUyxNX9Y5_mdlMcUwlCN8MU10XCRQw,1776354089355,1776355341066,1252,False,Vayne,0,8,1,GOLD IV,2026-04-16 16:02:21.066
EUW1_7822375136,06Gj3nB0sr6aLsjQ9UToHMF6PVnJlD2LByZUvTJ97iPzhKpBHUyxNX9Y5_mdlMcUwlCN8MU10XCRQw,1776352104016,1776353761382,1657,True,Vayne,9,5,7,GOLD IV,2026-04-16 15:36:01.382
EUW1_7822347749,06Gj3nB0sr6aLsjQ9UToHMF6PVnJlD2LByZUvTJ97iPzhKpBHUyxNX9Y5_mdlMcUwlCN8MU10XCRQw,1776350298883,1776351764431,1466,True,AurelionSol,8,1,14,GOLD IV,2026-04-16 15:02:44.431
EUW1_7821400459,06Gj3nB0sr6aLsjQ9UToHMF6PVnJlD2LByZUvTJ97iPzhKpBHUyxNX9Y5_mdlMcUwlCN8MU10XCRQw,1776271593752,1776273501873,1908,False,AurelionSol,5,11,5,GOLD IV,2026-04-15 17:18:21.873
EUW1_7821222340,06Gj3nB0sr6aLsjQ9UToHMF6PVnJlD2LByZUvTJ97iPzhKpBHUyxNX9Y5_mdlMcUwlCN8MU10XCRQw,1776262706852,1776264642078,1935,True,AurelionSol,17,4,8,GOLD IV,2026-04-15 14:50:42.078
EUW1_7821051028,06Gj3nB0sr6aLsjQ9UToHMF6PVnJlD2LByZUvTJ97iPzhKpBHUyxNX9Y5_mdlMcUwlCN8MU10XCRQw,1776250121326,1776251888739,1767,True,AurelionSol,1,6,2,GOLD IV,2026-04-15 11:18:08.739
EUW1_7821013767,06Gj3nB0sr6aLsjQ9UToHMF6PVnJlD2LByZUvTJ97iPzhKpBHUyxNX9Y5_mdlMcUwlCN8MU10XCRQw,1776246165233,1776248008832,1843,True,AurelionSol,13,3,9,GOLD IV,2026-04-15 10:13:28.832
EUW1_7820990186,06Gj3nB0sr6aLsjQ9UToHMF6PVnJlD2LByZUvTJ97iPzhKpBHUyxNX9Y5_mdlMcUwlCN8MU10XCRQw,1776243821740,1776245345542,1524,False,Vayne,1,6,2,GOLD IV,2026-04-15 09:29:05.542
EUW1_7820973129,06Gj3nB0sr6aLsjQ9UToHMF6PVnJlD2LByZUvTJ97iPzhKpBHUyxNX9Y5_mdlMcUwlCN8MU10XCRQw,1776241801905,1776243433089,1631,True,AurelionSol,5,3,3,GOLD IV,2026-04-15 08:57:13.089
EUW1_7820749826,06Gj3nB0sr6aLsjQ9UToHMF6PVnJlD2LByZUvTJ97iPzhKpBHUyxNX9Y5_mdlMcUwlCN8MU10XCRQw,1776201622060,1776203642975,2021,True,Vayne,12,1,5,GOLD IV,2026-04-14 21:54:02.975
EUW1_7820596171,06Gj3nB0sr6aLsjQ9UToHMF6PVnJlD2LByZUvTJ97iPzhKpBHUyxNX9Y5_mdlMcUwlCN8MU10XCRQw,1776194655453,1776196397291,1742,False,Vayne,4,4,2,GOLD IV,2026-04-14 19:53:17.291
EUW1_7820560706,06Gj3nB0sr6aLsjQ9UToHMF6PVnJlD2LByZUvTJ97iPzhKpBHUyxNX9Y5_mdlMcUwlCN8MU10XCRQw,1776192938177,1776194464805,1526,False,Vayne,6,7,3,GOLD IV,2026-04-14 19:21:04.805
EUW1_7820452727,06Gj3nB0sr6aLsjQ9UToHMF6PVnJlD2LByZUvTJ97iPzhKpBHUyxNX9Y5_mdlMcUwlCN8MU10XCRQw,1776187989413,1776190229971,2240,True,Vayne,10,7,4,GOLD IV,2026-04-14 18:10:29.971
EUW1_7820413002,06Gj3nB0sr6aLsjQ9UToHMF6PVnJlD2LByZUvTJ97iPzhKpBHUyxNX9Y5_mdlMcUwlCN8MU10XCRQw,1776186154427,1776187585999,1431,True,Viego,5,4,8,GOLD IV,2026-04-14 17:26:25.999
EUW1_7816017632,06Gj3nB0sr6aLsjQ9UToHMF6PVnJlD2LByZUvTJ97iPzhKpBHUyxNX9Y5_mdlMcUwlCN8MU10XCRQw,1775830605792,1775832248921,1643,False,Viego,8,7,5,GOLD IV,2026-04-10 14:44:08.921
EUW1_7815948707,06Gj3nB0sr6aLsjQ9UToHMF6PVnJlD2LByZUvTJ97iPzhKpBHUyxNX9Y5_mdlMcUwlCN8MU10XCRQw,1775825891786,1775827665870,1774,True,Viego,25,3,3,GOLD IV,2026-04-10 13:27:45.870
EUW1_7815666156,06Gj3nB0sr6aLsjQ9UToHMF6PVnJlD2LByZUvTJ97iPzhKpBHUyxNX9Y5_mdlMcUwlCN8MU10XCRQw,1775780923683,1775782410879,1487,False,Viego,2,6,0,GOLD IV,2026-04-10 00:53:30.879
EUW1_7815644719,06Gj3nB0sr6aLsjQ9UToHMF6PVnJlD2LByZUvTJ97iPzhKpBHUyxNX9Y5_mdlMcUwlCN8MU10XCRQw,1775777833732,1775780640543,2807,True,Viego,4,5,1,GOLD IV,2026-04-10 00:24:00.543
EUW1_7815604318,06Gj3nB0sr6aLsjQ9UToHMF6PVnJlD2LByZUvTJ97iPzhKpBHUyxNX9Y5_mdlMcUwlCN8MU10XCRQw,1775774844321,1775776679728,1835,False,Jinx,5,11,4,GOLD IV,2026-04-09 23:17:59.728
EUW1_7815553229,06Gj3nB0sr6aLsjQ9UToHMF6PVnJlD2LByZUvTJ97iPzhKpBHUyxNX9Y5_mdlMcUwlCN8MU10XCRQw,1775771568416,1775773185841,1617,False,Viktor,6,5,3,GOLD IV,2026-04-09 22:19:45.841
