match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7829284568,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1776875230760,1776877048714,1818,False,Lux,4,8,19,SILVER II,2026-04-22 16:57:28.714
EUW1_7828556001,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1776800797603,1776802412669,1615,True,Lux,6,1,22,SILVER II,2026-04-21 20:13:32.669
EUW1_7828303904,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1776790914001,1776792643726,1730,True,Lux,4,5,13,SILVER II,2026-04-21 17:30:43.726
EUW1_7828250684,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1776788152161,1776790640326,2488,False,Lux,2,9,21,SILVER II,2026-04-21 16:57:20.326
EUW1_7826046657,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1776613627186,1776615709602,2082,True,Lux,7,9,3,SILVER II,2026-04-19 16:21:49.602
EUW1_7824376249,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1776503894213,1776506131414,2237,False,Leona,4,7,18,SILVER II,2026-04-18 09:55:31.414
EUW1_7824349174,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1776501145692,1776502868295,1722,True,Lux,7,3,12,SILVER II,2026-04-18 09:01:08.295
EUW1_7824331906,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1776498662403,1776500784744,2122,True,Lux,5,3,18,SILVER II,2026-04-18 08:26:24.744
EUW1_7823675966,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1776446849854,1776449018270,2168,True,Lux,4,5,23,SILVER II,2026-04-17 18:03:38.270
EUW1_7823604328,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1776443269427,1776445978030,2708,True,Lux,3,6,20,SILVER II,2026-04-17 17:12:58.030
EUW1_7823532296,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1776439429708,1776441358550,1929,False,Lux,4,10,10,SILVER II,2026-04-17 15:55:58.550
EUW1_7823515646,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1776438250694,1776439162613,912,True,Lux,1,0,8,SILVER II,2026-04-17 15:19:22.613
EUW1_7823482817,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1776436535535,1776437959927,1424,True,Lux,5,0,15,SILVER II,2026-04-17 14:59:19.927
EUW1_7821400459,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1776271593752,1776273501873,1908,False,Lux,2,10,11,SILVER II,2026-04-15 17:18:21.873
EUW1_7821347001,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1776269020566,1776271104680,2084,False,Lux,4,10,6,SILVER II,2026-04-15 16:38:24.680
EUW1_7821217621,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1776261683082,1776263658006,1975,False,Lux,4,7,9,SILVER II,2026-04-15 14:34:18.006
EUW1_7821172950,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1776259277284,1776260971081,1694,True,Lux,3,3,15,SILVER II,2026-04-15 13:49:31.081
EUW1_7820939221,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1776236930555,1776239055512,2125,False,Lux,1,10,15,SILVER II,2026-04-15 07:44:15.512
EUW1_7820505141,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1776190623131,1776192966915,2344,True,Lux,0,12,16,SILVER II,2026-04-14 18:56:06.915
EUW1_7820463274,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1776188949401,1776190362449,1413,True,Lux,3,1,2,SILVER II,2026-04-14 18:12:42.449
EUW1_7820424952,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1776186771340,1776188501490,1730,False,Mel,8,6,3,SILVER II,2026-04-14 17:41:41.490
EUW1_7820389556,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1776184707760,1776186391008,1683,False,Leona,3,9,7,SILVER II,2026-04-14 17:06:31.008
EUW1_7818578073,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1776017091339,1776018894553,1803,False,Leona,3,10,13,SILVER II,2026-04-12 18:34:54.553
EUW1_7816086484,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1775834412891,1775837032535,2619,False,Lux,8,9,15,SILVER II,2026-04-10 16:03:52.535
EUW1_7816021196,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1775831102119,1775833601077,2499,True,Seraphine,4,11,21,SILVER II,2026-04-10 15:06:41.077
EUW1_7815983560,0PcpqqvrS7xbsUENcfyQHUCePavfo3fhREBBZipmiVOS268flXueFj5BOjikpLyKxhaZQGRX__cfqw,1775828302643,1775830536518,2234,False,Leona,1,13,10,SILVER II,2026-04-10 14:15:36.518
