match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7842864141,0csI8T4SpmfIy-5s9pmU5QT3KTm-Dfe_zHP9Rc-qV7kxaGdy3b73r6Bi6LlTA39coQY3IuhyL9K55A,1777928346075,1777930080518,1734,True,Warwick,14,5,14,GOLD IV,2026-05-04 21:28:00.518
EUW1_7841708884,0csI8T4SpmfIy-5s9pmU5QT3KTm-Dfe_zHP9Rc-qV7kxaGdy3b73r6Bi6LlTA39coQY3IuhyL9K55A,1777842877388,1777843789269,912,False,Nocturne,0,4,1,GOLD IV,2026-05-03 21:29:49.269
EUW1_7841646008,0csI8T4SpmfIy-5s9pmU5QT3KTm-Dfe_zHP9Rc-qV7kxaGdy3b73r6Bi6LlTA39coQY3IuhyL9K55A,1777840296578,1777842236437,1940,True,Nocturne,9,4,9,GOLD IV,2026-05-03 21:03:56.437
EUW1_7841592909,0csI8T4SpmfIy-5s9pmU5QT3KTm-Dfe_zHP9Rc-qV7kxaGdy3b73r6Bi6LlTA39coQY3IuhyL9K55A,1777838291720,1777840037128,1745,True,Nocturne,2,4,9,GOLD IV,2026-05-03 20:27:17.128
EUW1_7841207612,0csI8T4SpmfIy-5s9pmU5QT3KTm-Dfe_zHP9Rc-qV7kxaGdy3b73r6Bi6LlTA39coQY3IuhyL9K55A,1777822871259,1777824437969,1567,True,Nocturne,11,0,7,GOLD IV,2026-05-03 16:07:17.969
EUW1_7841100740,0csI8T4SpmfIy-5s9pmU5QT3KTm-Dfe_zHP9Rc-qV7kxaGdy3b73r6Bi6LlTA39coQY3IuhyL9K55A,1777818512315,1777818611929,99,True,Warwick,0,0,0,GOLD IV,2026-05-03 14:30:11.929
EUW1_7841050632,0csI8T4SpmfIy-5s9pmU5QT3KTm-Dfe_zHP9Rc-qV7kxaGdy3b73r6Bi6LlTA39coQY3IuhyL9K55A,1777816151442,1777818200012,2048,True,Warwick,5,8,14,GOLD IV,2026-05-03 14:23:20.012
EUW1_7839896695,0csI8T4SpmfIy-5s9pmU5QT3KTm-Dfe_zHP9Rc-qV7kxaGdy3b73r6Bi6LlTA39coQY3IuhyL9K55A,1777732441741,1777734465878,2024,False,Nocturne,3,5,7,GOLD IV,2026-05-02 15:07:45.878
EUW1_7839851343,0csI8T4SpmfIy-5s9pmU5QT3KTm-Dfe_zHP9Rc-qV7kxaGdy3b73r6Bi6LlTA39coQY3IuhyL9K55A,1777730351496,1777732131165,1779,True,Warwick,15,1,6,GOLD IV,2026-05-02 14:28:51.165
EUW1_7839609807,0csI8T4SpmfIy-5s9pmU5QT3KTm-Dfe_zHP9Rc-qV7kxaGdy3b73r6Bi6LlTA39coQY3IuhyL9K55A,1777713835400,1777715792082,1957,True,Nocturne,9,3,12,GOLD IV,2026-05-02 09:56:32.082
