match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7830054551,155sQkU8qo9TRyL-2RMgptoy1Q7AonTDlL155uKP-0nNxol3wnsRS-qCISTtmxf9PPAeSwag0ad-Aw,1776946093346,1776947895244,1802,False,Warwick,1,9,4,GOLD IV,2026-04-23 12:38:15.244
EUW1_7830052475,155sQkU8qo9TRyL-2RMgptoy1Q7AonTDlL155uKP-0nNxol3wnsRS-qCISTtmxf9PPAeSwag0ad-Aw,1776945780264,1776945858141,78,True,Malphite,0,0,0,GOLD IV,2026-04-23 12:04:18.141
EUW1_7830024197,155sQkU8qo9TRyL-2RMgptoy1Q7AonTDlL155uKP-0nNxol3wnsRS-qCISTtmxf9PPAeSwag0ad-Aw,1776943807828,1776945459255,1651,False,Malphite,4,4,8,GOLD IV,2026-04-23 11:57:39.255
EUW1_7822657814,155sQkU8qo9TRyL-2RMgptoy1Q7AonTDlL155uKP-0nNxol3wnsRS-qCISTtmxf9PPAeSwag0ad-Aw,1776364319438,1776366581987,2262,False,Malphite,15,7,1,GOLD IV,2026-04-16 19:09:41.987
EUW1_7822571408,155sQkU8qo9TRyL-2RMgptoy1Q7AonTDlL155uKP-0nNxol3wnsRS-qCISTtmxf9PPAeSwag0ad-Aw,1776360928855,1776362035235,1106,False,Malphite,0,9,3,GOLD IV,2026-04-16 17:53:55.235
EUW1_7822118376,155sQkU8qo9TRyL-2RMgptoy1Q7AonTDlL155uKP-0nNxol3wnsRS-qCISTtmxf9PPAeSwag0ad-Aw,1776333374714,1776335227171,1852,False,Malphite,5,4,4,GOLD IV,2026-04-16 10:27:07.171
EUW1_7821389993,155sQkU8qo9TRyL-2RMgptoy1Q7AonTDlL155uKP-0nNxol3wnsRS-qCISTtmxf9PPAeSwag0ad-Aw,1776271098888,1776272469948,1371,False,Malphite,2,6,0,GOLD IV,2026-04-15 17:01:09.948
EUW1_7821265076,155sQkU8qo9TRyL-2RMgptoy1Q7AonTDlL155uKP-0nNxol3wnsRS-qCISTtmxf9PPAeSwag0ad-Aw,1776265075283,1776267028655,1953,True,Malphite,7,5,9,GOLD IV,2026-04-15 15:30:28.655
EUW1_7820325861,155sQkU8qo9TRyL-2RMgptoy1Q7AonTDlL155uKP-0nNxol3wnsRS-qCISTtmxf9PPAeSwag0ad-Aw,1776181018401,1776182711877,1693,True,Warwick,4,9,10,GOLD IV,2026-04-14 16:05:11.877
EUW1_7820295114,155sQkU8qo9TRyL-2RMgptoy1Q7AonTDlL155uKP-0nNxol3wnsRS-qCISTtmxf9PPAeSwag0ad-Aw,1776179210519,1776180724954,1514,True,Malphite,8,1,5,GOLD IV,2026-04-14 15:32:04.954
EUW1_7819599544,155sQkU8qo9TRyL-2RMgptoy1Q7AonTDlL155uKP-0nNxol3wnsRS-qCISTtmxf9PPAeSwag0ad-Aw,1776105329173,1776107518199,2189,True,Malphite,4,6,10,GOLD IV,2026-04-13 19:11:58.199
EUW1_7819423463,155sQkU8qo9TRyL-2RMgptoy1Q7AonTDlL155uKP-0nNxol3wnsRS-qCISTtmxf9PPAeSwag0ad-Aw,1776096865400,1776099572343,2707,True,Malphite,17,11,8,GOLD IV,2026-04-13 16:59:32.343
EUW1_7815056867,155sQkU8qo9TRyL-2RMgptoy1Q7AonTDlL155uKP-0nNxol3wnsRS-qCISTtmxf9PPAeSwag0ad-Aw,1775747316464,1775749486668,2170,False,Pyke,6,11,7,GOLD IV,2026-04-09 15:44:46.668
EUW1_7815029576,155sQkU8qo9TRyL-2RMgptoy1Q7AonTDlL155uKP-0nNxol3wnsRS-qCISTtmxf9PPAeSwag0ad-Aw,1775745084966,1775746906010,1821,False,Seraphine,0,12,2,GOLD IV,2026-04-09 15:01:46.010
EUW1_7814993941,155sQkU8qo9TRyL-2RMgptoy1Q7AonTDlL155uKP-0nNxol3wnsRS-qCISTtmxf9PPAeSwag0ad-Aw,1775742941265,1775744609739,1668,False,Nautilus,2,7,1,GOLD IV,2026-04-09 14:23:29.739
EUW1_7814446066,155sQkU8qo9TRyL-2RMgptoy1Q7AonTDlL155uKP-0nNxol3wnsRS-qCISTtmxf9PPAeSwag0ad-Aw,1775677560508,1775678478871,918,True,Nautilus,2,0,5,GOLD IV,2026-04-08 20:01:18.871
EUW1_7814384182,155sQkU8qo9TRyL-2RMgptoy1Q7AonTDlL155uKP-0nNxol3wnsRS-qCISTtmxf9PPAeSwag0ad-Aw,1775674812228,1775677080258,2268,True,Swain,6,11,18,GOLD IV,2026-04-08 19:38:00.258
EUW1_7808775223,155sQkU8qo9TRyL-2RMgptoy1Q7AonTDlL155uKP-0nNxol3wnsRS-qCISTtmxf9PPAeSwag0ad-Aw,1775233910891,1775237040982,3130,True,Swain,4,16,24,GOLD IV,2026-04-03 17:24:00.982
EUW1_7807433254,155sQkU8qo9TRyL-2RMgptoy1Q7AonTDlL155uKP-0nNxol3wnsRS-qCISTtmxf9PPAeSwag0ad-Aw,1775137811053,1775138180455,369,False,Swain,1,2,0,GOLD IV,2026-04-02 13:56:20.455
EUW1_7806539443,155sQkU8qo9TRyL-2RMgptoy1Q7AonTDlL155uKP-0nNxol3wnsRS-qCISTtmxf9PPAeSwag0ad-Aw,1775061989251,1775063522447,1533,False,Poppy,0,6,4,GOLD IV,2026-04-01 17:12:02.447
EUW1_7806490546,155sQkU8qo9TRyL-2RMgptoy1Q7AonTDlL155uKP-0nNxol3wnsRS-qCISTtmxf9PPAeSwag0ad-Aw,1775058792351,1775060349318,1557,True,Galio,0,4,7,GOLD IV,2026-04-01 16:19:09.318
EUW1_7806450989,155sQkU8qo9TRyL-2RMgptoy1Q7AonTDlL155uKP-0nNxol3wnsRS-qCISTtmxf9PPAeSwag0ad-Aw,1775056732527,1775058456910,1724,True,Swain,4,6,11,GOLD IV,2026-04-01 15:47:36.910
EUW1_7805938287,155sQkU8qo9TRyL-2RMgptoy1Q7AonTDlL155uKP-0nNxol3wnsRS-qCISTtmxf9PPAeSwag0ad-Aw,1774993207260,1774995274633,2067,True,Galio,5,5,17,GOLD IV,2026-03-31 22:14:34.633
EUW1_7805886079,155sQkU8qo9TRyL-2RMgptoy1Q7AonTDlL155uKP-0nNxol3wnsRS-qCISTtmxf9PPAeSwag0ad-Aw,1774990868880,1774992783858,1915,False,Veigar,2,6,4,GOLD IV,2026-03-31 21:33:03.858
EUW1_7804744619,155sQkU8qo9TRyL-2RMgptoy1Q7AonTDlL155uKP-0nNxol3wnsRS-qCISTtmxf9PPAeSwag0ad-Aw,1774899894974,1774901096534,1201,False,Veigar,2,7,3,GOLD IV,2026-03-30 20:04:56.534
