match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7840629982,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1777769369852,1777771448141,2078,True,Caitlyn,12,5,8,SILVER II,2026-05-03 01:24:08.141
EUW1_7840604515,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1777766528519,1777768807775,2279,True,Akshan,23,7,10,SILVER II,2026-05-03 00:40:07.775
EUW1_7840581343,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1777765177005,1777766311462,1134,False,Akshan,1,8,2,SILVER II,2026-05-02 23:58:31.462
EUW1_7840556789,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1777763257373,1777764912155,1655,True,Akshan,13,6,5,SILVER II,2026-05-02 23:35:12.155
EUW1_7840033770,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1777739622956,1777741392390,1770,True,Neeko,6,3,15,SILVER II,2026-05-02 17:03:12.390
EUW1_7840011784,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1777738448792,1777739395897,947,False,Akshan,1,8,3,SILVER II,2026-05-02 16:29:55.897
EUW1_7839965178,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1777736226462,1777738190637,1964,False,Akshan,13,6,5,SILVER II,2026-05-02 16:09:50.637
EUW1_7839928656,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1777734044561,1777735883260,1839,False,Neeko,3,5,2,SILVER II,2026-05-02 15:31:23.260
EUW1_7839876293,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1777731617426,1777733708956,2091,True,Akshan,7,8,15,SILVER II,2026-05-02 14:55:08.956
EUW1_7836622530,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1777480078766,1777481663020,1584,True,Akshan,7,7,3,SILVER II,2026-04-29 16:54:23.020
EUW1_7836575733,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1777477770584,1777479679846,1909,True,Akshan,13,5,6,SILVER II,2026-04-29 16:21:19.846
EUW1_7836533072,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1777475744855,1777477342707,1603,True,Neeko,4,7,22,SILVER II,2026-04-29 15:42:22.707
EUW1_7836012475,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1777412073882,1777413881338,1807,True,Akshan,11,4,8,SILVER II,2026-04-28 22:04:41.338
EUW1_7835957809,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1777409732657,1777411779232,2046,True,Akshan,8,8,18,SILVER II,2026-04-28 21:29:39.232
EUW1_7835951548,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1777409290618,1777409364533,74,False,Caitlyn,0,0,0,SILVER II,2026-04-28 20:49:24.533
EUW1_7835898992,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1777407149588,1777408856792,1707,False,Caitlyn,7,6,3,SILVER II,2026-04-28 20:40:56.792
EUW1_7835666172,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1777396613643,1777398736863,2123,False,Caitlyn,4,11,8,SILVER II,2026-04-28 17:52:16.863
EUW1_7834941289,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1777321068745,1777323065045,1996,False,Caitlyn,6,9,10,SILVER II,2026-04-27 20:51:05.045
EUW1_7834893554,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1777318909184,1777320493578,1584,True,Jhin,6,3,7,SILVER II,2026-04-27 20:08:13.578
EUW1_7834834123,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1777316864688,1777318604576,1740,False,Caitlyn,5,7,13,SILVER II,2026-04-27 19:36:44.576
EUW1_7833029972,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1777170001544,1777172678076,2676,False,Akshan,10,13,9,SILVER II,2026-04-26 03:04:38.076
EUW1_7833019288,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1777168223852,1777169748297,1524,True,Akshan,17,5,7,SILVER II,2026-04-26 02:15:48.297
EUW1_7833010897,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1777165978922,1777167855258,1878,False,Caitlyn,1,6,3,SILVER II,2026-04-26 01:44:15.258
EUW1_7832995198,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1777164184911,1777165574411,1389,True,Caitlyn,5,6,7,SILVER II,2026-04-26 01:06:14.411
EUW1_7830861351,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1776996281509,1776999164459,2883,False,Caitlyn,4,15,7,SILVER II,2026-04-24 02:52:44.459
EUW1_7830860481,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1776993911574,1776995864925,1953,True,Caitlyn,25,5,13,SILVER II,2026-04-24 01:57:44.925
EUW1_7830847835,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1776992137229,1776993385996,1249,True,Caitlyn,15,2,9,SILVER II,2026-04-24 01:16:25.996
EUW1_7830826444,1_28I3Kk3s8T8_S3AXXQPziOVP6Wu3FvFyxYch3YjXbE2oZUr1afZpUy9rRg74-v-KCjs2poiadPKA,1776989661669,1776991611613,1950,False,Caitlyn,8,11,6,SILVER II,2026-04-24 00:46:51.613
