match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7836528499,1grOgM2CQWPNV8kI6y3AhOKg42OeO2YKfsQOEvxjDkf-Bc_To8NFWe92qOo_OE_bVLYzrCwOHYmQNQ,1777474957613,1777476113858,1156,False,Ashe,1,9,0,GOLD IV,2026-04-29 15:21:53.858
EUW1_7835605656,1grOgM2CQWPNV8kI6y3AhOKg42OeO2YKfsQOEvxjDkf-Bc_To8NFWe92qOo_OE_bVLYzrCwOHYmQNQ,1777393202360,1777394978106,1776,False,Ashe,2,7,3,GOLD IV,2026-04-28 16:49:38.106
EUW1_7835591343,1grOgM2CQWPNV8kI6y3AhOKg42OeO2YKfsQOEvxjDkf-Bc_To8NFWe92qOo_OE_bVLYzrCwOHYmQNQ,1777392858036,1777392978076,120,True,Ashe,0,0,0,GOLD IV,2026-04-28 16:16:18.076
EUW1_7830319602,1grOgM2CQWPNV8kI6y3AhOKg42OeO2YKfsQOEvxjDkf-Bc_To8NFWe92qOo_OE_bVLYzrCwOHYmQNQ,1776963261891,1776966020451,2758,True,Ashe,12,17,18,GOLD IV,2026-04-23 17:40:20.451
EUW1_7830298924,1grOgM2CQWPNV8kI6y3AhOKg42OeO2YKfsQOEvxjDkf-Bc_To8NFWe92qOo_OE_bVLYzrCwOHYmQNQ,1776962410526,1776962997447,587,True,Ashe,3,1,3,GOLD IV,2026-04-23 16:49:57.447
EUW1_7830236813,1grOgM2CQWPNV8kI6y3AhOKg42OeO2YKfsQOEvxjDkf-Bc_To8NFWe92qOo_OE_bVLYzrCwOHYmQNQ,1776958988801,1776961357201,2368,True,Yorick,10,13,6,GOLD IV,2026-04-23 16:22:37.201
EUW1_7829226124,1grOgM2CQWPNV8kI6y3AhOKg42OeO2YKfsQOEvxjDkf-Bc_To8NFWe92qOo_OE_bVLYzrCwOHYmQNQ,1776872374431,1776874314770,1940,False,Twitch,2,12,4,GOLD IV,2026-04-22 16:11:54.770
EUW1_7829177811,1grOgM2CQWPNV8kI6y3AhOKg42OeO2YKfsQOEvxjDkf-Bc_To8NFWe92qOo_OE_bVLYzrCwOHYmQNQ,1776869142061,1776870832975,1691,False,Twitch,7,8,3,GOLD IV,2026-04-22 15:13:52.975
EUW1_7828309053,1grOgM2CQWPNV8kI6y3AhOKg42OeO2YKfsQOEvxjDkf-Bc_To8NFWe92qOo_OE_bVLYzrCwOHYmQNQ,1776791223780,1776793092842,1869,False,Twitch,9,11,4,GOLD IV,2026-04-21 17:38:12.842
EUW1_7828218559,1grOgM2CQWPNV8kI6y3AhOKg42OeO2YKfsQOEvxjDkf-Bc_To8NFWe92qOo_OE_bVLYzrCwOHYmQNQ,1776786476088,1776789363056,2887,True,Twitch,14,12,9,GOLD IV,2026-04-21 16:36:03.056
EUW1_7827215969,1grOgM2CQWPNV8kI6y3AhOKg42OeO2YKfsQOEvxjDkf-Bc_To8NFWe92qOo_OE_bVLYzrCwOHYmQNQ,1776702920277,1776704685326,1765,False,Twitch,5,15,5,GOLD IV,2026-04-20 17:04:45.326
