match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7827426633,1jLweNs5qsaQnJ6cA1yMJtajTTKEZA5XBBtQ74D9PCalYwnxO_IlQI8Zdr0JyA0ZzAH9aix3WD9k_g,1776711766658,1776714531948,2765,True,Velkoz,11,5,23,GOLD III,2026-04-20 19:48:51.948
EUW1_7825848202,1jLweNs5qsaQnJ6cA1yMJtajTTKEZA5XBBtQ74D9PCalYwnxO_IlQI8Zdr0JyA0ZzAH9aix3WD9k_g,1776605391882,1776607318217,1926,False,Velkoz,9,12,12,GOLD III,2026-04-19 14:01:58.217
EUW1_7825810770,1jLweNs5qsaQnJ6cA1yMJtajTTKEZA5XBBtQ74D9PCalYwnxO_IlQI8Zdr0JyA0ZzAH9aix3WD9k_g,1776603421053,1776605032627,1611,False,Velkoz,6,8,8,GOLD III,2026-04-19 13:23:52.627
EUW1_7824913666,1jLweNs5qsaQnJ6cA1yMJtajTTKEZA5XBBtQ74D9PCalYwnxO_IlQI8Zdr0JyA0ZzAH9aix3WD9k_g,1776533789280,1776535593045,1804,True,Velkoz,7,8,8,GOLD III,2026-04-18 18:06:33.045
EUW1_7824685393,1jLweNs5qsaQnJ6cA1yMJtajTTKEZA5XBBtQ74D9PCalYwnxO_IlQI8Zdr0JyA0ZzAH9aix3WD9k_g,1776522846069,1776524470640,1625,False,Bard,1,9,9,GOLD III,2026-04-18 15:01:10.640
EUW1_7824391740,1jLweNs5qsaQnJ6cA1yMJtajTTKEZA5XBBtQ74D9PCalYwnxO_IlQI8Zdr0JyA0ZzAH9aix3WD9k_g,1776504656943,1776506487048,1830,True,Velkoz,5,6,12,GOLD III,2026-04-18 10:01:27.048
EUW1_7822596565,1jLweNs5qsaQnJ6cA1yMJtajTTKEZA5XBBtQ74D9PCalYwnxO_IlQI8Zdr0JyA0ZzAH9aix3WD9k_g,1776361690415,1776363704951,2014,False,Velkoz,1,13,12,GOLD III,2026-04-16 18:21:44.951
EUW1_7821435779,1jLweNs5qsaQnJ6cA1yMJtajTTKEZA5XBBtQ74D9PCalYwnxO_IlQI8Zdr0JyA0ZzAH9aix3WD9k_g,1776273064512,1776275464529,2400,True,Velkoz,9,5,16,GOLD III,2026-04-15 17:51:04.529
EUW1_7821392365,1jLweNs5qsaQnJ6cA1yMJtajTTKEZA5XBBtQ74D9PCalYwnxO_IlQI8Zdr0JyA0ZzAH9aix3WD9k_g,1776271434965,1776272639115,1204,False,Velkoz,1,5,2,GOLD III,2026-04-15 17:03:59.115
EUW1_7820438781,1jLweNs5qsaQnJ6cA1yMJtajTTKEZA5XBBtQ74D9PCalYwnxO_IlQI8Zdr0JyA0ZzAH9aix3WD9k_g,1776187380592,1776189669386,2289,True,Velkoz,6,6,18,GOLD III,2026-04-14 18:01:09.386
