match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7825328796,1wuqzpHpi_19Ff2tvs1O2FwoC-cxBH3ASbU8OTkPTVmgcLEk5nYcHKEgKZi9J2cMoV8_SZc1ltiWFg,1776551331540,1776553445907,2114,False,Rammus,4,4,13,SILVER II,2026-04-18 23:04:05.907
EUW1_7825284510,1wuqzpHpi_19Ff2tvs1O2FwoC-cxBH3ASbU8OTkPTVmgcLEk5nYcHKEgKZi9J2cMoV8_SZc1ltiWFg,1776549272456,1776551100054,1827,False,Orianna,3,6,4,SILVER II,2026-04-18 22:25:00.054
EUW1_7822923977,1wuqzpHpi_19Ff2tvs1O2FwoC-cxBH3ASbU8OTkPTVmgcLEk5nYcHKEgKZi9J2cMoV8_SZc1ltiWFg,1776374306765,1776376923565,2617,True,Nautilus,3,8,19,SILVER II,2026-04-16 22:02:03.565
EUW1_7821812297,1wuqzpHpi_19Ff2tvs1O2FwoC-cxBH3ASbU8OTkPTVmgcLEk5nYcHKEgKZi9J2cMoV8_SZc1ltiWFg,1776288646682,1776290333361,1687,False,Milio,0,7,3,SILVER II,2026-04-15 21:58:53.361
EUW1_7820821119,1wuqzpHpi_19Ff2tvs1O2FwoC-cxBH3ASbU8OTkPTVmgcLEk5nYcHKEgKZi9J2cMoV8_SZc1ltiWFg,1776205612127,1776207791508,2179,True,Rammus,8,4,11,SILVER II,2026-04-14 23:03:11.508
EUW1_7819845601,1wuqzpHpi_19Ff2tvs1O2FwoC-cxBH3ASbU8OTkPTVmgcLEk5nYcHKEgKZi9J2cMoV8_SZc1ltiWFg,1776115299192,1776116801905,1503,False,Milio,1,3,15,SILVER II,2026-04-13 21:46:41.905
EUW1_7818767708,1wuqzpHpi_19Ff2tvs1O2FwoC-cxBH3ASbU8OTkPTVmgcLEk5nYcHKEgKZi9J2cMoV8_SZc1ltiWFg,1776024402367,1776026597242,2200,True,Milio,3,9,24,SILVER II,2026-04-12 20:43:17.242
EUW1_7818733703,1wuqzpHpi_19Ff2tvs1O2FwoC-cxBH3ASbU8OTkPTVmgcLEk5nYcHKEgKZi9J2cMoV8_SZc1ltiWFg,1776023052346,1776024113373,1061,True,Nami,0,2,7,SILVER II,2026-04-12 20:01:53.373
EUW1_7818664957,1wuqzpHpi_19Ff2tvs1O2FwoC-cxBH3ASbU8OTkPTVmgcLEk5nYcHKEgKZi9J2cMoV8_SZc1ltiWFg,1776020568889,1776022673511,2104,False,Orianna,5,7,12,SILVER II,2026-04-12 19:37:53.511
EUW1_7818620988,1wuqzpHpi_19Ff2tvs1O2FwoC-cxBH3ASbU8OTkPTVmgcLEk5nYcHKEgKZi9J2cMoV8_SZc1ltiWFg,1776018726406,1776020212902,1486,False,Orianna,4,6,1,SILVER II,2026-04-12 18:56:52.902
EUW1_7818572644,1wuqzpHpi_19Ff2tvs1O2FwoC-cxBH3ASbU8OTkPTVmgcLEk5nYcHKEgKZi9J2cMoV8_SZc1ltiWFg,1776016728457,1776018235392,1508,False,Rammus,3,6,11,SILVER II,2026-04-12 18:23:55.392
EUW1_7816976955,1wuqzpHpi_19Ff2tvs1O2FwoC-cxBH3ASbU8OTkPTVmgcLEk5nYcHKEgKZi9J2cMoV8_SZc1ltiWFg,1775906845692,1775908932118,2086,True,Rammus,5,5,17,SILVER II,2026-04-11 12:02:12.118
EUW1_7816950020,1wuqzpHpi_19Ff2tvs1O2FwoC-cxBH3ASbU8OTkPTVmgcLEk5nYcHKEgKZi9J2cMoV8_SZc1ltiWFg,1775904659344,1775906523418,1864,False,Rammus,1,8,12,SILVER II,2026-04-11 11:22:03.418
EUW1_7816927916,1wuqzpHpi_19Ff2tvs1O2FwoC-cxBH3ASbU8OTkPTVmgcLEk5nYcHKEgKZi9J2cMoV8_SZc1ltiWFg,1775902854520,1775904365876,1511,False,Rammus,5,4,8,SILVER II,2026-04-11 10:46:05.876
EUW1_7816627965,1wuqzpHpi_19Ff2tvs1O2FwoC-cxBH3ASbU8OTkPTVmgcLEk5nYcHKEgKZi9J2cMoV8_SZc1ltiWFg,1775859455081,1775861597494,2142,True,Rammus,4,5,14,SILVER II,2026-04-10 22:53:17.494
EUW1_7815854360,1wuqzpHpi_19Ff2tvs1O2FwoC-cxBH3ASbU8OTkPTVmgcLEk5nYcHKEgKZi9J2cMoV8_SZc1ltiWFg,1775818693909,1775820684274,1991,True,Rammus,12,3,19,SILVER II,2026-04-10 11:31:24.274
EUW1_7814649652,1wuqzpHpi_19Ff2tvs1O2FwoC-cxBH3ASbU8OTkPTVmgcLEk5nYcHKEgKZi9J2cMoV8_SZc1ltiWFg,1775687451352,1775689347943,1896,False,Rammus,3,4,9,SILVER II,2026-04-08 23:02:27.943
EUW1_7814640541,1wuqzpHpi_19Ff2tvs1O2FwoC-cxBH3ASbU8OTkPTVmgcLEk5nYcHKEgKZi9J2cMoV8_SZc1ltiWFg,1775687012086,1775687084168,72,False,Rammus,0,0,0,SILVER II,2026-04-08 22:24:44.168
EUW1_7809330515,1wuqzpHpi_19Ff2tvs1O2FwoC-cxBH3ASbU8OTkPTVmgcLEk5nYcHKEgKZi9J2cMoV8_SZc1ltiWFg,1775258577139,1775261090279,2513,True,Orianna,8,7,20,SILVER II,2026-04-04 00:04:50.279
EUW1_7809289980,1wuqzpHpi_19Ff2tvs1O2FwoC-cxBH3ASbU8OTkPTVmgcLEk5nYcHKEgKZi9J2cMoV8_SZc1ltiWFg,1775256399716,1775258229206,1829,True,Orianna,4,4,16,SILVER II,2026-04-03 23:17:09.206
