match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7822582669,1yCkVycG_62D02-UX0VM3hH8E49oD9k44euIiy4FAhTgxC5KNjG6taBLW7YQE90O1zKbk7hULNZbOQ,1776361024860,1776362957154,1932,True,Yasuo,18,1,8,GOLD IV,2026-04-16 18:09:17.154
EUW1_7820381538,1yCkVycG_62D02-UX0VM3hH8E49oD9k44euIiy4FAhTgxC5KNjG6taBLW7YQE90O1zKbk7hULNZbOQ,1776184253787,1776186320358,2066,False,Yasuo,14,12,3,GOLD IV,2026-04-14 17:05:20.358
EUW1_7820343783,1yCkVycG_62D02-UX0VM3hH8E49oD9k44euIiy4FAhTgxC5KNjG6taBLW7YQE90O1zKbk7hULNZbOQ,1776182076605,1776183933285,1857,False,Yasuo,10,11,2,GOLD IV,2026-04-14 16:25:33.285
EUW1_7817689930,1yCkVycG_62D02-UX0VM3hH8E49oD9k44euIiy4FAhTgxC5KNjG6taBLW7YQE90O1zKbk7hULNZbOQ,1775944109273,1775945710481,1601,False,Yasuo,3,8,0,GOLD IV,2026-04-11 22:15:10.481
EUW1_7817635982,1yCkVycG_62D02-UX0VM3hH8E49oD9k44euIiy4FAhTgxC5KNjG6taBLW7YQE90O1zKbk7hULNZbOQ,1775941954485,1775943848689,1894,True,Yasuo,12,8,4,GOLD IV,2026-04-11 21:44:08.689
EUW1_7815470956,1yCkVycG_62D02-UX0VM3hH8E49oD9k44euIiy4FAhTgxC5KNjG6taBLW7YQE90O1zKbk7hULNZbOQ,1775767442070,1775769659560,2217,False,Yasuo,11,15,9,GOLD IV,2026-04-09 21:20:59.560
EUW1_7815404229,1yCkVycG_62D02-UX0VM3hH8E49oD9k44euIiy4FAhTgxC5KNjG6taBLW7YQE90O1zKbk7hULNZbOQ,1775764895197,1775767180383,2285,False,Yasuo,8,12,6,GOLD IV,2026-04-09 20:39:40.383
EUW1_7815356189,1yCkVycG_62D02-UX0VM3hH8E49oD9k44euIiy4FAhTgxC5KNjG6taBLW7YQE90O1zKbk7hULNZbOQ,1775762938137,1775764496060,1558,True,Vayne,6,10,4,GOLD IV,2026-04-09 19:54:56.060
EUW1_7814410371,1yCkVycG_62D02-UX0VM3hH8E49oD9k44euIiy4FAhTgxC5KNjG6taBLW7YQE90O1zKbk7hULNZbOQ,1775675969936,1775677392887,1428,False,Yasuo,2,10,5,GOLD IV,2026-04-08 19:43:12.887
EUW1_7814313379,1yCkVycG_62D02-UX0VM3hH8E49oD9k44euIiy4FAhTgxC5KNjG6taBLW7YQE90O1zKbk7hULNZbOQ,1775671781884,1775673519804,1738,True,Yasuo,15,6,7,GOLD IV,2026-04-08 18:38:39.804
EUW1_7814277062,1yCkVycG_62D02-UX0VM3hH8E49oD9k44euIiy4FAhTgxC5KNjG6taBLW7YQE90O1zKbk7hULNZbOQ,1775669668485,1775671311831,1643,True,Yasuo,7,7,9,GOLD IV,2026-04-08 18:01:51.831
EUW1_7814180947,1yCkVycG_62D02-UX0VM3hH8E49oD9k44euIiy4FAhTgxC5KNjG6taBLW7YQE90O1zKbk7hULNZbOQ,1775664318819,1775666706234,2387,True,Yasuo,8,12,10,GOLD IV,2026-04-08 16:45:06.234
EUW1_7814147964,1yCkVycG_62D02-UX0VM3hH8E49oD9k44euIiy4FAhTgxC5KNjG6taBLW7YQE90O1zKbk7hULNZbOQ,1775662259992,1775663844658,1585,True,Yasuo,11,2,7,GOLD IV,2026-04-08 15:57:24.658
EUW1_7814037113,1yCkVycG_62D02-UX0VM3hH8E49oD9k44euIiy4FAhTgxC5KNjG6taBLW7YQE90O1zKbk7hULNZbOQ,1775654459530,1775656199316,1740,True,Yasuo,13,7,5,GOLD IV,2026-04-08 13:49:59.316
EUW1_7813405224,1yCkVycG_62D02-UX0VM3hH8E49oD9k44euIiy4FAhTgxC5KNjG6taBLW7YQE90O1zKbk7hULNZbOQ,1775586846506,1775588696362,1850,True,Yasuo,20,7,6,GOLD IV,2026-04-07 19:04:56.362
EUW1_7813218499,1yCkVycG_62D02-UX0VM3hH8E49oD9k44euIiy4FAhTgxC5KNjG6taBLW7YQE90O1zKbk7hULNZbOQ,1775577585954,1775579115354,1529,True,Yasuo,12,4,3,GOLD IV,2026-04-07 16:25:15.354
EUW1_7813182257,1yCkVycG_62D02-UX0VM3hH8E49oD9k44euIiy4FAhTgxC5KNjG6taBLW7YQE90O1zKbk7hULNZbOQ,1775575838751,1775577047789,1209,True,Yasuo,19,2,2,GOLD IV,2026-04-07 15:50:47.789
EUW1_7813153486,1yCkVycG_62D02-UX0VM3hH8E49oD9k44euIiy4FAhTgxC5KNjG6taBLW7YQE90O1zKbk7hULNZbOQ,1775573605552,1775575319509,1714,True,Yasuo,2,7,4,GOLD IV,2026-04-07 15:21:59.509
EUW1_7813129527,1yCkVycG_62D02-UX0VM3hH8E49oD9k44euIiy4FAhTgxC5KNjG6taBLW7YQE90O1zKbk7hULNZbOQ,1775571950916,1775572871798,921,True,Yasuo,11,1,4,GOLD IV,2026-04-07 14:41:11.798
EUW1_7813092179,1yCkVycG_62D02-UX0VM3hH8E49oD9k44euIiy4FAhTgxC5KNjG6taBLW7YQE90O1zKbk7hULNZbOQ,1775569613127,1775571641245,2028,False,Yasuo,8,9,3,GOLD IV,2026-04-07 14:20:41.245
EUW1_7813074848,1yCkVycG_62D02-UX0VM3hH8E49oD9k44euIiy4FAhTgxC5KNjG6taBLW7YQE90O1zKbk7hULNZbOQ,1775568087548,1775569327283,1240,True,Yasuo,9,4,1,GOLD IV,2026-04-07 13:42:07.283
EUW1_7812487861,1yCkVycG_62D02-UX0VM3hH8E49oD9k44euIiy4FAhTgxC5KNjG6taBLW7YQE90O1zKbk7hULNZbOQ,1775503162098,1775505301379,2139,False,Yasuo,8,12,4,GOLD IV,2026-04-06 19:55:01.379
EUW1_7812431036,1yCkVycG_62D02-UX0VM3hH8E49oD9k44euIiy4FAhTgxC5KNjG6taBLW7YQE90O1zKbk7hULNZbOQ,1775501055258,1775502918766,1863,True,Zoe,9,5,6,GOLD IV,2026-04-06 19:15:18.766
EUW1_7812331969,1yCkVycG_62D02-UX0VM3hH8E49oD9k44euIiy4FAhTgxC5KNjG6taBLW7YQE90O1zKbk7hULNZbOQ,1775496840243,1775498465722,1625,True,Yasuo,17,5,3,GOLD IV,2026-04-06 18:01:05.722
