match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7837169790,23m9bZACeB2iyLT-j6BXUBWO4fssPkY1GCbrZX_Szv9iOv-ZxDZoceJIhldmo407FmN5pXUT6YijCw,1777503939705,1777506476865,2537,True,Ashe,11,8,18,GOLD III,2026-04-29 23:47:56.865
EUW1_7837123173,23m9bZACeB2iyLT-j6BXUBWO4fssPkY1GCbrZX_Szv9iOv-ZxDZoceJIhldmo407FmN5pXUT6YijCw,1777501098130,1777503687105,2589,True,Ashe,14,9,10,GOLD III,2026-04-29 23:01:27.105
EUW1_7836757264,23m9bZACeB2iyLT-j6BXUBWO4fssPkY1GCbrZX_Szv9iOv-ZxDZoceJIhldmo407FmN5pXUT6YijCw,1777486202393,1777488369640,2167,False,Ezreal,9,8,6,GOLD III,2026-04-29 18:46:09.640
EUW1_7836716481,23m9bZACeB2iyLT-j6BXUBWO4fssPkY1GCbrZX_Szv9iOv-ZxDZoceJIhldmo407FmN5pXUT6YijCw,1777484324243,1777485882183,1558,False,Kaisa,3,7,2,GOLD III,2026-04-29 18:04:42.183
EUW1_7836345064,23m9bZACeB2iyLT-j6BXUBWO4fssPkY1GCbrZX_Szv9iOv-ZxDZoceJIhldmo407FmN5pXUT6YijCw,1777463723728,1777465425123,1701,False,Yunara,2,6,7,GOLD III,2026-04-29 12:23:45.123
EUW1_7836087891,23m9bZACeB2iyLT-j6BXUBWO4fssPkY1GCbrZX_Szv9iOv-ZxDZoceJIhldmo407FmN5pXUT6YijCw,1777417395189,1777419262609,1867,True,Ezreal,10,6,7,GOLD III,2026-04-28 23:34:22.609
EUW1_7835151475,23m9bZACeB2iyLT-j6BXUBWO4fssPkY1GCbrZX_Szv9iOv-ZxDZoceJIhldmo407FmN5pXUT6YijCw,1777331988514,1777334389457,2401,True,Ashe,5,9,22,GOLD III,2026-04-27 23:59:49.457
EUW1_7835121017,23m9bZACeB2iyLT-j6BXUBWO4fssPkY1GCbrZX_Szv9iOv-ZxDZoceJIhldmo407FmN5pXUT6YijCw,1777329767993,1777331541956,1774,False,Yunara,3,9,9,GOLD III,2026-04-27 23:12:21.956
EUW1_7835085309,23m9bZACeB2iyLT-j6BXUBWO4fssPkY1GCbrZX_Szv9iOv-ZxDZoceJIhldmo407FmN5pXUT6YijCw,1777327414708,1777329388690,1974,False,Corki,3,9,6,GOLD III,2026-04-27 22:36:28.690
EUW1_7835047982,23m9bZACeB2iyLT-j6BXUBWO4fssPkY1GCbrZX_Szv9iOv-ZxDZoceJIhldmo407FmN5pXUT6YijCw,1777325235222,1777326390895,1155,False,Ezreal,1,9,0,GOLD III,2026-04-27 21:46:30.895
