match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7828163020,2WpCMtgVwSccg1NbqRzPmNXQtgZyW-OPotnMtbA6TyhEh3KH4mPwAeSH7Bvw24jk-8K3oOPU4EqjgA,1776783386758,1776785773189,2386,False,Azir,4,7,7,SILVER II,2026-04-21 15:36:13.189
EUW1_7828133824,2WpCMtgVwSccg1NbqRzPmNXQtgZyW-OPotnMtbA6TyhEh3KH4mPwAeSH7Bvw24jk-8K3oOPU4EqjgA,1776781554900,1776783073599,1519,False,Renata,0,13,8,SILVER II,2026-04-21 14:51:13.599
EUW1_7828098466,2WpCMtgVwSccg1NbqRzPmNXQtgZyW-OPotnMtbA6TyhEh3KH4mPwAeSH7Bvw24jk-8K3oOPU4EqjgA,1776779073945,1776781288680,2215,True,Renata,3,5,13,SILVER II,2026-04-21 14:21:28.680
EUW1_7821121274,2WpCMtgVwSccg1NbqRzPmNXQtgZyW-OPotnMtbA6TyhEh3KH4mPwAeSH7Bvw24jk-8K3oOPU4EqjgA,1776256119038,1776258093191,1974,False,Renekton,4,7,1,SILVER II,2026-04-15 13:01:33.191
EUW1_7821093423,2WpCMtgVwSccg1NbqRzPmNXQtgZyW-OPotnMtbA6TyhEh3KH4mPwAeSH7Bvw24jk-8K3oOPU4EqjgA,1776253844288,1776255742058,1898,False,Renekton,10,3,6,SILVER II,2026-04-15 12:22:22.058
EUW1_7818548447,2WpCMtgVwSccg1NbqRzPmNXQtgZyW-OPotnMtbA6TyhEh3KH4mPwAeSH7Bvw24jk-8K3oOPU4EqjgA,1776015966182,1776018555357,2589,False,Renekton,10,11,6,SILVER II,2026-04-12 18:29:15.357
EUW1_7818386212,2WpCMtgVwSccg1NbqRzPmNXQtgZyW-OPotnMtbA6TyhEh3KH4mPwAeSH7Bvw24jk-8K3oOPU4EqjgA,1776008852686,1776010635472,1783,False,Kaisa,8,9,3,SILVER II,2026-04-12 16:17:15.472
EUW1_7818331019,2WpCMtgVwSccg1NbqRzPmNXQtgZyW-OPotnMtbA6TyhEh3KH4mPwAeSH7Bvw24jk-8K3oOPU4EqjgA,1776006244496,1776008309695,2065,False,Ezreal,5,9,5,SILVER II,2026-04-12 15:38:29.695
EUW1_7818284531,2WpCMtgVwSccg1NbqRzPmNXQtgZyW-OPotnMtbA6TyhEh3KH4mPwAeSH7Bvw24jk-8K3oOPU4EqjgA,1776003992034,1776005900984,1909,False,XinZhao,6,13,7,SILVER II,2026-04-12 14:58:20.984
EUW1_7818222774,2WpCMtgVwSccg1NbqRzPmNXQtgZyW-OPotnMtbA6TyhEh3KH4mPwAeSH7Bvw24jk-8K3oOPU4EqjgA,1776001087172,1776003426671,2339,False,Renekton,11,9,2,SILVER II,2026-04-12 14:17:06.671
EUW1_7818163189,2WpCMtgVwSccg1NbqRzPmNXQtgZyW-OPotnMtbA6TyhEh3KH4mPwAeSH7Bvw24jk-8K3oOPU4EqjgA,1775998156696,1776000760210,2603,False,Renekton,13,10,11,SILVER II,2026-04-12 13:32:40.210
EUW1_7817138586,2WpCMtgVwSccg1NbqRzPmNXQtgZyW-OPotnMtbA6TyhEh3KH4mPwAeSH7Bvw24jk-8K3oOPU4EqjgA,1775916870905,1775918568419,1697,False,Renekton,6,12,4,SILVER II,2026-04-11 14:42:48.419
EUW1_7817079430,2WpCMtgVwSccg1NbqRzPmNXQtgZyW-OPotnMtbA6TyhEh3KH4mPwAeSH7Bvw24jk-8K3oOPU4EqjgA,1775913791871,1775915706278,1914,True,Renekton,9,0,0,SILVER II,2026-04-11 13:55:06.278
EUW1_7817054777,2WpCMtgVwSccg1NbqRzPmNXQtgZyW-OPotnMtbA6TyhEh3KH4mPwAeSH7Bvw24jk-8K3oOPU4EqjgA,1775912036994,1775913571206,1534,False,Renekton,3,7,0,SILVER II,2026-04-11 13:19:31.206
EUW1_7817034877,2WpCMtgVwSccg1NbqRzPmNXQtgZyW-OPotnMtbA6TyhEh3KH4mPwAeSH7Bvw24jk-8K3oOPU4EqjgA,1775910819502,1775911776037,956,False,Renekton,0,4,1,SILVER II,2026-04-11 12:49:36.037
EUW1_7817013464,2WpCMtgVwSccg1NbqRzPmNXQtgZyW-OPotnMtbA6TyhEh3KH4mPwAeSH7Bvw24jk-8K3oOPU4EqjgA,1775909113082,1775910498799,1386,True,Renekton,7,5,3,SILVER II,2026-04-11 12:28:18.799
EUW1_7815992593,2WpCMtgVwSccg1NbqRzPmNXQtgZyW-OPotnMtbA6TyhEh3KH4mPwAeSH7Bvw24jk-8K3oOPU4EqjgA,1775828760902,1775830325750,1565,False,Renekton,4,7,2,SILVER II,2026-04-10 14:12:05.750
EUW1_7815962422,2WpCMtgVwSccg1NbqRzPmNXQtgZyW-OPotnMtbA6TyhEh3KH4mPwAeSH7Bvw24jk-8K3oOPU4EqjgA,1775827357207,1775827598391,241,False,Renekton,0,0,0,SILVER II,2026-04-10 13:26:38.391
