match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7840942910,2qqlr0gZWbS8gc1rjgz1m0gs-i-QQThiIivZPaKU1DY2xoVZbK534u59joxZ38th8yQPQY1NpPOotQ,1777811051786,1777812847913,1796,True,Garen,7,6,10,SILVER III,2026-05-03 12:54:07.913
EUW1_7834639429,2qqlr0gZWbS8gc1rjgz1m0gs-i-QQThiIivZPaKU1DY2xoVZbK534u59joxZ38th8yQPQY1NpPOotQ,1777308631453,1777311181986,2550,True,FiddleSticks,6,15,13,SILVER III,2026-04-27 17:33:01.986
EUW1_7834611199,2qqlr0gZWbS8gc1rjgz1m0gs-i-QQThiIivZPaKU1DY2xoVZbK534u59joxZ38th8yQPQY1NpPOotQ,1777307084781,1777308277723,1193,True,Garen,11,1,7,SILVER III,2026-04-27 16:44:37.723
EUW1_7833048646,2qqlr0gZWbS8gc1rjgz1m0gs-i-QQThiIivZPaKU1DY2xoVZbK534u59joxZ38th8yQPQY1NpPOotQ,1777176612524,1777178120933,1508,False,Tryndamere,0,13,3,SILVER III,2026-04-26 04:35:20.933
EUW1_7833036392,2qqlr0gZWbS8gc1rjgz1m0gs-i-QQThiIivZPaKU1DY2xoVZbK534u59joxZ38th8yQPQY1NpPOotQ,1777173871706,1777176274237,2402,False,Cassiopeia,16,13,14,SILVER III,2026-04-26 04:04:34.237
EUW1_7833034822,2qqlr0gZWbS8gc1rjgz1m0gs-i-QQThiIivZPaKU1DY2xoVZbK534u59joxZ38th8yQPQY1NpPOotQ,1777171175514,1777173337517,2162,True,Garen,21,8,6,SILVER III,2026-04-26 03:15:37.517
EUW1_7832177287,2qqlr0gZWbS8gc1rjgz1m0gs-i-QQThiIivZPaKU1DY2xoVZbK534u59joxZ38th8yQPQY1NpPOotQ,1777120293487,1777121206484,913,True,Ekko,9,1,2,SILVER III,2026-04-25 12:46:46.484
EUW1_7831854950,2qqlr0gZWbS8gc1rjgz1m0gs-i-QQThiIivZPaKU1DY2xoVZbK534u59joxZ38th8yQPQY1NpPOotQ,1777074346536,1777076568672,2222,True,Ekko,12,6,11,SILVER III,2026-04-25 00:22:48.672
EUW1_7831717268,2qqlr0gZWbS8gc1rjgz1m0gs-i-QQThiIivZPaKU1DY2xoVZbK534u59joxZ38th8yQPQY1NpPOotQ,1777066713976,1777068895951,2182,False,Jax,9,8,11,SILVER III,2026-04-24 22:14:55.951
EUW1_7830853914,2qqlr0gZWbS8gc1rjgz1m0gs-i-QQThiIivZPaKU1DY2xoVZbK534u59joxZ38th8yQPQY1NpPOotQ,1776993113185,1776995176816,2063,False,Tryndamere,14,11,9,SILVER III,2026-04-24 01:46:16.816
EUW1_7830846885,2qqlr0gZWbS8gc1rjgz1m0gs-i-QQThiIivZPaKU1DY2xoVZbK534u59joxZ38th8yQPQY1NpPOotQ,1776992037122,1776992834123,797,True,Garen,7,0,0,SILVER III,2026-04-24 01:07:14.123
EUW1_7830834139,2qqlr0gZWbS8gc1rjgz1m0gs-i-QQThiIivZPaKU1DY2xoVZbK534u59joxZ38th8yQPQY1NpPOotQ,1776990273691,1776991810736,1537,True,Garen,14,4,2,SILVER III,2026-04-24 00:50:10.736
EUW1_7829776401,2qqlr0gZWbS8gc1rjgz1m0gs-i-QQThiIivZPaKU1DY2xoVZbK534u59joxZ38th8yQPQY1NpPOotQ,1776898621852,1776901000329,2378,False,Gangplank,5,14,3,SILVER III,2026-04-22 23:36:40.329
EUW1_7829719685,2qqlr0gZWbS8gc1rjgz1m0gs-i-QQThiIivZPaKU1DY2xoVZbK534u59joxZ38th8yQPQY1NpPOotQ,1776894402934,1776896179710,1777,True,Veigar,6,9,4,SILVER III,2026-04-22 22:16:19.710
EUW1_7829643092,2qqlr0gZWbS8gc1rjgz1m0gs-i-QQThiIivZPaKU1DY2xoVZbK534u59joxZ38th8yQPQY1NpPOotQ,1776890941890,1776892651333,1709,True,Garen,9,3,3,SILVER III,2026-04-22 21:17:31.333
EUW1_7829387157,2qqlr0gZWbS8gc1rjgz1m0gs-i-QQThiIivZPaKU1DY2xoVZbK534u59joxZ38th8yQPQY1NpPOotQ,1776880739204,1776882756560,2017,True,Mordekaiser,5,9,4,SILVER III,2026-04-22 18:32:36.560
EUW1_7829341899,2qqlr0gZWbS8gc1rjgz1m0gs-i-QQThiIivZPaKU1DY2xoVZbK534u59joxZ38th8yQPQY1NpPOotQ,1776878163656,1776879835013,1671,True,Garen,11,5,6,SILVER III,2026-04-22 17:43:55.013
