match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7829777004,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776898351328,1776900544456,2193,True,Sejuani,1,3,18,GOLD III,2026-04-22 23:29:04.456
EUW1_7829750839,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776896204099,1776898001243,1797,False,Ezreal,12,10,8,GOLD III,2026-04-22 22:46:41.243
EUW1_7829713456,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776893862863,1776895634078,1771,True,Samira,8,9,11,GOLD III,2026-04-22 22:07:14.078
EUW1_7829647375,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776891301288,1776893445024,2144,False,Caitlyn,12,17,7,GOLD III,2026-04-22 21:30:45.024
EUW1_7829601092,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776889195745,1776890765093,1569,True,Caitlyn,20,5,7,GOLD III,2026-04-22 20:46:05.093
EUW1_7829547618,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776887014389,1776888924935,1910,False,Caitlyn,7,13,10,GOLD III,2026-04-22 20:15:24.935
EUW1_7828829865,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776815034983,1776817261992,2227,False,Caitlyn,10,11,8,GOLD III,2026-04-22 00:21:01.992
EUW1_7828789290,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776811636888,1776814507676,2871,False,Kindred,3,13,17,GOLD III,2026-04-21 23:35:07.676
EUW1_7828757736,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776809226542,1776811241043,2014,False,Morgana,3,12,13,GOLD III,2026-04-21 22:40:41.043
EUW1_7828710744,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776806850814,1776808899565,2049,True,Morgana,7,13,21,GOLD III,2026-04-21 22:01:39.565
EUW1_7828621441,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776803405785,1776805482099,2076,False,Samira,22,12,9,GOLD III,2026-04-21 21:04:42.099
EUW1_7828574037,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776801607931,1776803040475,1432,True,Ezreal,7,5,4,GOLD III,2026-04-21 20:24:00.475
EUW1_7828476733,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776798036209,1776799494623,1459,True,Cassiopeia,5,7,3,GOLD III,2026-04-21 19:24:54.623
EUW1_7828406105,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776795278835,1776797271952,1993,False,LeeSin,7,7,3,GOLD III,2026-04-21 18:47:51.952
EUW1_7828332254,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776792315983,1776794571035,2255,False,Samira,7,8,5,GOLD III,2026-04-21 18:02:51.035
EUW1_7827769911,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776727862487,1776730248396,2386,False,Samira,6,8,6,GOLD III,2026-04-21 00:10:48.396
EUW1_7827732639,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776724458940,1776726894397,2435,False,Samira,14,11,7,GOLD III,2026-04-20 23:14:54.397
EUW1_7827686443,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776722263861,1776724172085,1908,False,Caitlyn,2,12,9,GOLD III,2026-04-20 22:29:32.085
EUW1_7827633268,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776719504184,1776721476127,1972,True,Caitlyn,9,8,9,GOLD III,2026-04-20 21:44:36.127
EUW1_7827562804,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776716606853,1776718859436,2253,True,Samira,17,15,8,GOLD III,2026-04-20 21:00:59.436
EUW1_7827473043,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776713474697,1776715404491,1930,True,Samira,16,11,16,GOLD III,2026-04-20 20:03:24.491
EUW1_7827409398,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776711308441,1776713133775,1825,False,Samira,5,8,6,GOLD III,2026-04-20 19:25:33.775
EUW1_7827357301,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776709296666,1776710683065,1386,True,Samira,7,5,11,GOLD III,2026-04-20 18:44:43.065
EUW1_7827287886,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776706218680,1776708473375,2255,False,Samira,21,10,6,GOLD III,2026-04-20 18:07:53.375
EUW1_7826721925,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776643075311,1776645334564,2259,False,Caitlyn,8,11,9,GOLD III,2026-04-20 00:35:34.564
EUW1_7826695208,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776640568107,1776642622770,2055,False,Samira,15,12,2,GOLD III,2026-04-19 23:50:22.770
EUW1_7826686781,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776639393042,1776640309465,916,False,Twitch,0,6,0,GOLD III,2026-04-19 23:11:49.465
EUW1_7826645668,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776636680216,1776638591342,1911,True,Vayne,9,10,12,GOLD III,2026-04-19 22:43:11.342
EUW1_7826598860,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776634164709,1776636290127,2125,False,Caitlyn,11,11,8,GOLD III,2026-04-19 22:04:50.127
EUW1_7826475053,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776629405253,1776631638477,2233,True,Caitlyn,16,11,11,GOLD III,2026-04-19 20:47:18.477
EUW1_7826396804,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776626666046,1776628520298,1854,True,Caitlyn,20,5,7,GOLD III,2026-04-19 19:55:20.298
EUW1_7826356548,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776625246263,1776626223893,977,False,Caitlyn,1,10,1,GOLD III,2026-04-19 19:17:03.893
EUW1_7826270061,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776622491030,1776624351364,1860,True,Caitlyn,15,5,12,GOLD III,2026-04-19 18:45:51.364
EUW1_7825465771,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776562656945,1776564235303,1578,True,Caitlyn,8,9,4,GOLD III,2026-04-19 02:03:55.303
EUW1_7825454823,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776560968726,1776562364009,1395,False,Olaf,2,6,8,GOLD III,2026-04-19 01:32:44.009
EUW1_7825442775,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776559492434,1776560631176,1139,True,LeeSin,5,2,11,GOLD III,2026-04-19 01:03:51.176
EUW1_7825413453,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776557089868,1776559060799,1971,False,Caitlyn,5,11,6,GOLD III,2026-04-19 00:37:40.799
EUW1_7825389076,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776554953192,1776556822104,1869,False,Samira,7,12,5,GOLD III,2026-04-19 00:00:22.104
EUW1_7825343486,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776552017906,1776554008961,1991,False,Caitlyn,11,11,7,GOLD III,2026-04-18 23:13:28.961
EUW1_7825304661,2y7znwnbYzY2R6Pd_JPEXd3oA2j4uIOGUg2Yjw4vFfKU1C-bWIMyl39enC5zfaOvdCtedIFT9VtY3A,1776550163161,1776551778159,1615,True,Caitlyn,4,8,5,GOLD III,2026-04-18 22:36:18.159
