match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7836998542,3aZ-DXJgRnkcKSCqY0c5MFC2U9z1yipM8bdtT-bc0xz9EqW-yEitR8tDECLRw2r83ikgYcUD5KyORw,1777495020783,1777496661708,1641,False,Tryndamere,1,5,2,SILVER II,2026-04-29 21:04:21.708
EUW1_7834890067,3aZ-DXJgRnkcKSCqY0c5MFC2U9z1yipM8bdtT-bc0xz9EqW-yEitR8tDECLRw2r83ikgYcUD5KyORw,1777319024419,1777320447610,1423,False,Tryndamere,3,2,1,SILVER II,2026-04-27 20:07:27.610
EUW1_7834819912,3aZ-DXJgRnkcKSCqY0c5MFC2U9z1yipM8bdtT-bc0xz9EqW-yEitR8tDECLRw2r83ikgYcUD5KyORw,1777316274100,1777318661923,2388,False,Tryndamere,13,8,8,SILVER II,2026-04-27 19:37:41.923
EUW1_7831510607,3aZ-DXJgRnkcKSCqY0c5MFC2U9z1yipM8bdtT-bc0xz9EqW-yEitR8tDECLRw2r83ikgYcUD5KyORw,1777057917192,1777059315642,1398,False,Tryndamere,0,5,5,SILVER II,2026-04-24 19:35:15.642
EUW1_7831462457,3aZ-DXJgRnkcKSCqY0c5MFC2U9z1yipM8bdtT-bc0xz9EqW-yEitR8tDECLRw2r83ikgYcUD5KyORw,1777055703890,1777057556824,1853,True,Tryndamere,8,9,7,SILVER II,2026-04-24 19:05:56.824
EUW1_7831426512,3aZ-DXJgRnkcKSCqY0c5MFC2U9z1yipM8bdtT-bc0xz9EqW-yEitR8tDECLRw2r83ikgYcUD5KyORw,1777053962025,1777055414823,1453,True,Tryndamere,8,3,5,SILVER II,2026-04-24 18:30:14.823
EUW1_7829605693,3aZ-DXJgRnkcKSCqY0c5MFC2U9z1yipM8bdtT-bc0xz9EqW-yEitR8tDECLRw2r83ikgYcUD5KyORw,1776889321426,1776890808396,1487,True,Tryndamere,11,2,4,SILVER II,2026-04-22 20:46:48.396
EUW1_7829566074,3aZ-DXJgRnkcKSCqY0c5MFC2U9z1yipM8bdtT-bc0xz9EqW-yEitR8tDECLRw2r83ikgYcUD5KyORw,1776887884250,1776889091898,1207,True,Tryndamere,6,1,5,SILVER II,2026-04-22 20:18:11.898
EUW1_7829563568,3aZ-DXJgRnkcKSCqY0c5MFC2U9z1yipM8bdtT-bc0xz9EqW-yEitR8tDECLRw2r83ikgYcUD5KyORw,1776887511892,1776887646670,135,True,Tryndamere,0,0,0,SILVER II,2026-04-22 19:54:06.670
EUW1_7827675456,3aZ-DXJgRnkcKSCqY0c5MFC2U9z1yipM8bdtT-bc0xz9EqW-yEitR8tDECLRw2r83ikgYcUD5KyORw,1776721125404,1776723254507,2129,True,Tryndamere,9,7,10,SILVER II,2026-04-20 22:14:14.507
