match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7826838175,3tWIv2-I_Ep13MTztBfkPdIWUG02SvPY_3SgQRjbcx0vRnmjMVD4MedGCh1anDeQ_-uayDXFrbLgZw,1776675043627,1776677282338,2239,True,Warwick,10,8,15,SILVER II,2026-04-20 09:28:02.338
EUW1_7825527830,3tWIv2-I_Ep13MTztBfkPdIWUG02SvPY_3SgQRjbcx0vRnmjMVD4MedGCh1anDeQ_-uayDXFrbLgZw,1776582862740,1776584784163,1921,True,Briar,17,5,7,SILVER II,2026-04-19 07:46:24.163
EUW1_7825288391,3tWIv2-I_Ep13MTztBfkPdIWUG02SvPY_3SgQRjbcx0vRnmjMVD4MedGCh1anDeQ_-uayDXFrbLgZw,1776549781923,1776551588067,1807,False,Briar,12,12,6,SILVER II,2026-04-18 22:33:08.067
EUW1_7825237811,3tWIv2-I_Ep13MTztBfkPdIWUG02SvPY_3SgQRjbcx0vRnmjMVD4MedGCh1anDeQ_-uayDXFrbLgZw,1776547358772,1776549389703,2031,False,Briar,15,11,5,SILVER II,2026-04-18 21:56:29.703
EUW1_7825005653,3tWIv2-I_Ep13MTztBfkPdIWUG02SvPY_3SgQRjbcx0vRnmjMVD4MedGCh1anDeQ_-uayDXFrbLgZw,1776537996000,1776540474008,2478,True,Briar,6,15,10,SILVER II,2026-04-18 19:27:54.008
EUW1_7824441576,3tWIv2-I_Ep13MTztBfkPdIWUG02SvPY_3SgQRjbcx0vRnmjMVD4MedGCh1anDeQ_-uayDXFrbLgZw,1776508268578,1776510132083,1865,True,Briar,13,7,8,SILVER II,2026-04-18 11:02:12.083
EUW1_7824399994,3tWIv2-I_Ep13MTztBfkPdIWUG02SvPY_3SgQRjbcx0vRnmjMVD4MedGCh1anDeQ_-uayDXFrbLgZw,1776505508127,1776507693235,2185,True,Briar,12,14,10,SILVER II,2026-04-18 10:21:33.235
EUW1_7823720972,3tWIv2-I_Ep13MTztBfkPdIWUG02SvPY_3SgQRjbcx0vRnmjMVD4MedGCh1anDeQ_-uayDXFrbLgZw,1776448795329,1776451220169,2425,True,Briar,17,12,7,SILVER II,2026-04-17 18:40:20.169
EUW1_7823223400,3tWIv2-I_Ep13MTztBfkPdIWUG02SvPY_3SgQRjbcx0vRnmjMVD4MedGCh1anDeQ_-uayDXFrbLgZw,1776417626261,1776419548804,1922,True,Briar,7,7,8,SILVER II,2026-04-17 09:52:28.804
EUW1_7823213618,3tWIv2-I_Ep13MTztBfkPdIWUG02SvPY_3SgQRjbcx0vRnmjMVD4MedGCh1anDeQ_-uayDXFrbLgZw,1776415748790,1776417409401,1661,True,Briar,4,3,4,SILVER II,2026-04-17 09:16:49.401
