match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7823396364,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1776431554215,1776431793512,239,False,Akali,0,1,0,SILVER II,2026-04-17 13:16:33.512
EUW1_7823358095,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1776428928271,1776430894498,1966,False,Lissandra,4,12,6,SILVER II,2026-04-17 13:01:34.498
EUW1_7823331351,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1776427214536,1776428699144,1485,True,Akali,10,7,6,SILVER II,2026-04-17 12:24:59.144
EUW1_7823303086,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1776424629403,1776426829417,2200,True,Vi,7,10,9,SILVER II,2026-04-17 11:53:49.417
EUW1_7823267966,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1776421808465,1776423859736,2051,True,Akali,12,9,8,SILVER II,2026-04-17 11:04:19.736
EUW1_7822565010,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1776360365538,1776362630852,2265,True,Akali,31,10,9,SILVER II,2026-04-16 18:03:50.852
EUW1_7822398013,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1776353186885,1776355727177,2540,False,Ahri,5,11,16,SILVER II,2026-04-16 16:08:47.177
EUW1_7822199465,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1776340001773,1776342453147,2451,False,Lissandra,8,10,10,SILVER II,2026-04-16 12:27:33.147
EUW1_7822156351,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1776337051586,1776339722474,2671,True,Ahri,16,10,9,SILVER II,2026-04-16 11:42:02.474
EUW1_7822114362,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1776333183360,1776335698225,2515,True,Ahri,13,12,16,SILVER II,2026-04-16 10:34:58.225
EUW1_7822092195,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1776330762453,1776332833476,2071,False,Lissandra,8,10,7,SILVER II,2026-04-16 09:47:13.476
EUW1_7821442380,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1776273679311,1776275391637,1712,True,Gnar,5,7,11,SILVER II,2026-04-15 17:49:51.637
EUW1_7821378042,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1776270467623,1776273174489,2707,True,Yorick,3,13,12,SILVER II,2026-04-15 17:12:54.489
EUW1_7821331746,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1776268324812,1776270226348,1901,True,Gnar,10,6,7,SILVER II,2026-04-15 16:23:46.348
EUW1_7821195729,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1776260526690,1776262416873,1890,True,Gnar,5,11,9,SILVER II,2026-04-15 14:13:36.873
EUW1_7821160187,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1776258492299,1776260095929,1604,False,Rammus,5,7,13,SILVER II,2026-04-15 13:34:55.929
EUW1_7821131947,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1776256552390,1776258178829,1626,False,Brand,5,9,4,SILVER II,2026-04-15 13:02:58.829
EUW1_7821100248,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1776254233043,1776256264121,2031,False,Twitch,8,11,7,SILVER II,2026-04-15 12:31:04.121
EUW1_7821083612,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1776252480300,1776253856184,1376,False,Ahri,4,10,4,SILVER II,2026-04-15 11:50:56.184
EUW1_7820434324,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1776187352149,1776190064177,2712,False,Sett,2,15,5,SILVER II,2026-04-14 18:07:44.177
EUW1_7818837874,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1776027296376,1776028934137,1638,False,Ahri,7,11,3,SILVER II,2026-04-12 21:22:14.137
EUW1_7818770162,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1776024651484,1776027027937,2376,True,Ekko,4,11,11,SILVER II,2026-04-12 20:50:27.937
EUW1_7818287782,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1776004274895,1776005622266,1347,False,Syndra,4,7,4,SILVER II,2026-04-12 14:53:42.266
EUW1_7818253000,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1776002665983,1776003959369,1293,True,Lissandra,8,2,6,SILVER II,2026-04-12 14:25:59.369
EUW1_7818205239,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1776000585934,1776002407488,1821,True,Ahri,8,8,13,SILVER II,2026-04-12 14:00:07.488
EUW1_7818161354,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1775998120959,1776000229987,2109,False,Lissandra,7,8,9,SILVER II,2026-04-12 13:23:49.987
EUW1_7817656427,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1775942969642,1775945443320,2474,False,Xerath,4,10,11,SILVER II,2026-04-11 22:10:43.320
EUW1_7817627981,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1775941466529,1775942391442,925,True,Lissandra,2,2,3,SILVER II,2026-04-11 21:19:51.442
EUW1_7817577630,43dmH3z0EuMWTE1pm42Rtsp1ZjtEieIcLbWGLX2PHfHC2-AEsHUuxsJY4saBDYVJTC7Zz-Gjg_ay5w,1775939292686,1775941189879,1897,True,Leblanc,12,5,7,SILVER II,2026-04-11 20:59:49.879
