match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7824272140,44vxDk-Tna4QeNiCfUsybk6sa0EZj2iiNjFk7nvzC43FMXvn2W1NKNM8-fbB_E8vf3W85KQlpne7lg,1776481032908,1776483214262,2181,True,Zyra,2,4,12,BRONZE I,2026-04-18 03:33:34.262
EUW1_7824265577,44vxDk-Tna4QeNiCfUsybk6sa0EZj2iiNjFk7nvzC43FMXvn2W1NKNM8-fbB_E8vf3W85KQlpne7lg,1776478075909,1776480495280,2419,True,Zyra,3,14,13,BRONZE I,2026-04-18 02:48:15.280
EUW1_7824254724,44vxDk-Tna4QeNiCfUsybk6sa0EZj2iiNjFk7nvzC43FMXvn2W1NKNM8-fbB_E8vf3W85KQlpne7lg,1776475704419,1776477669426,1965,True,Zyra,2,7,14,BRONZE I,2026-04-18 02:01:09.426
EUW1_7824231739,44vxDk-Tna4QeNiCfUsybk6sa0EZj2iiNjFk7nvzC43FMXvn2W1NKNM8-fbB_E8vf3W85KQlpne7lg,1776472601236,1776475079207,2478,False,Zyra,6,13,11,BRONZE I,2026-04-18 01:17:59.207
EUW1_7824209511,44vxDk-Tna4QeNiCfUsybk6sa0EZj2iiNjFk7nvzC43FMXvn2W1NKNM8-fbB_E8vf3W85KQlpne7lg,1776470326338,1776472187442,1861,True,Zyra,5,5,19,BRONZE I,2026-04-18 00:29:47.442
EUW1_7823171147,44vxDk-Tna4QeNiCfUsybk6sa0EZj2iiNjFk7nvzC43FMXvn2W1NKNM8-fbB_E8vf3W85KQlpne7lg,1776410581555,1776412522343,1942,False,Zyra,1,7,13,BRONZE I,2026-04-17 07:55:22.343
EUW1_7823117385,44vxDk-Tna4QeNiCfUsybk6sa0EZj2iiNjFk7nvzC43FMXvn2W1NKNM8-fbB_E8vf3W85KQlpne7lg,1776392755370,1776392826532,71,False,Zyra,0,0,0,BRONZE I,2026-04-17 02:27:06.532
EUW1_7823115957,44vxDk-Tna4QeNiCfUsybk6sa0EZj2iiNjFk7nvzC43FMXvn2W1NKNM8-fbB_E8vf3W85KQlpne7lg,1776390508253,1776392097580,1589,True,Zyra,0,1,17,BRONZE I,2026-04-17 02:14:57.580
EUW1_7823111606,44vxDk-Tna4QeNiCfUsybk6sa0EZj2iiNjFk7nvzC43FMXvn2W1NKNM8-fbB_E8vf3W85KQlpne7lg,1776388686641,1776389881083,1194,True,Zyra,4,3,11,BRONZE I,2026-04-17 01:38:01.083
EUW1_7823026446,44vxDk-Tna4QeNiCfUsybk6sa0EZj2iiNjFk7nvzC43FMXvn2W1NKNM8-fbB_E8vf3W85KQlpne7lg,1776380067037,1776381981128,1914,False,Zyra,0,10,17,BRONZE I,2026-04-16 23:26:21.128
EUW1_7822991685,44vxDk-Tna4QeNiCfUsybk6sa0EZj2iiNjFk7nvzC43FMXvn2W1NKNM8-fbB_E8vf3W85KQlpne7lg,1776377401751,1776379475594,2074,True,Zyra,5,6,22,BRONZE I,2026-04-16 22:44:35.594
EUW1_7822924237,44vxDk-Tna4QeNiCfUsybk6sa0EZj2iiNjFk7nvzC43FMXvn2W1NKNM8-fbB_E8vf3W85KQlpne7lg,1776374448686,1776376232706,1784,True,Zyra,0,8,12,BRONZE I,2026-04-16 21:50:32.706
EUW1_7822082139,44vxDk-Tna4QeNiCfUsybk6sa0EZj2iiNjFk7nvzC43FMXvn2W1NKNM8-fbB_E8vf3W85KQlpne7lg,1776329474371,1776331216434,1742,False,Nidalee,6,8,3,BRONZE I,2026-04-16 09:20:16.434
EUW1_7822067770,44vxDk-Tna4QeNiCfUsybk6sa0EZj2iiNjFk7nvzC43FMXvn2W1NKNM8-fbB_E8vf3W85KQlpne7lg,1776326764138,1776329056761,2293,False,Zyra,2,6,7,BRONZE I,2026-04-16 08:44:16.761
EUW1_7822044416,44vxDk-Tna4QeNiCfUsybk6sa0EZj2iiNjFk7nvzC43FMXvn2W1NKNM8-fbB_E8vf3W85KQlpne7lg,1776324154031,1776325939050,1785,True,Zyra,3,4,8,BRONZE I,2026-04-16 07:52:19.050
EUW1_7822040225,44vxDk-Tna4QeNiCfUsybk6sa0EZj2iiNjFk7nvzC43FMXvn2W1NKNM8-fbB_E8vf3W85KQlpne7lg,1776322548452,1776323583734,1035,True,Zyra,4,6,5,BRONZE I,2026-04-16 07:13:03.734
EUW1_7822019343,44vxDk-Tna4QeNiCfUsybk6sa0EZj2iiNjFk7nvzC43FMXvn2W1NKNM8-fbB_E8vf3W85KQlpne7lg,1776315806521,1776318409980,2603,True,Zyra,4,10,24,BRONZE I,2026-04-16 05:46:49.980
