match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7829576075,4mt5ursmysh08FWS8xYroIlOi97uZlU4F2drefaqZ1fcv_m6-aXOSP59VQixM-r99RD9R9yYi_f1kQ,1776888317786,1776890146084,1828,False,Kaisa,14,6,5,GOLD IV,2026-04-22 20:35:46.084
EUW1_7828619517,4mt5ursmysh08FWS8xYroIlOi97uZlU4F2drefaqZ1fcv_m6-aXOSP59VQixM-r99RD9R9yYi_f1kQ,1776803027777,1776804754288,1726,True,Ashe,2,8,3,GOLD IV,2026-04-21 20:52:34.288
EUW1_7828538063,4mt5ursmysh08FWS8xYroIlOi97uZlU4F2drefaqZ1fcv_m6-aXOSP59VQixM-r99RD9R9yYi_f1kQ,1776800227401,1776802085722,1858,True,Kaisa,15,3,7,GOLD IV,2026-04-21 20:08:05.722
EUW1_7828455342,4mt5ursmysh08FWS8xYroIlOi97uZlU4F2drefaqZ1fcv_m6-aXOSP59VQixM-r99RD9R9yYi_f1kQ,1776797214565,1776799146610,1932,True,Kaisa,19,3,9,GOLD IV,2026-04-21 19:19:06.610
EUW1_7827610665,4mt5ursmysh08FWS8xYroIlOi97uZlU4F2drefaqZ1fcv_m6-aXOSP59VQixM-r99RD9R9yYi_f1kQ,1776718311347,1776720472644,2161,False,MissFortune,13,11,6,GOLD IV,2026-04-20 21:27:52.644
EUW1_7827539861,4mt5ursmysh08FWS8xYroIlOi97uZlU4F2drefaqZ1fcv_m6-aXOSP59VQixM-r99RD9R9yYi_f1kQ,1776715766702,1776717483043,1716,True,Kaisa,11,2,2,GOLD IV,2026-04-20 20:38:03.043
EUW1_7827526494,4mt5ursmysh08FWS8xYroIlOi97uZlU4F2drefaqZ1fcv_m6-aXOSP59VQixM-r99RD9R9yYi_f1kQ,1776715423275,1776715499587,76,False,Kaisa,0,0,0,GOLD IV,2026-04-20 20:04:59.587
EUW1_7827513899,4mt5ursmysh08FWS8xYroIlOi97uZlU4F2drefaqZ1fcv_m6-aXOSP59VQixM-r99RD9R9yYi_f1kQ,1776714877352,1776714954909,77,True,Kaisa,0,0,0,GOLD IV,2026-04-20 19:55:54.909
EUW1_7826552754,4mt5ursmysh08FWS8xYroIlOi97uZlU4F2drefaqZ1fcv_m6-aXOSP59VQixM-r99RD9R9yYi_f1kQ,1776632186917,1776633763278,1576,True,Ashe,15,2,15,GOLD IV,2026-04-19 21:22:43.278
EUW1_7826471282,4mt5ursmysh08FWS8xYroIlOi97uZlU4F2drefaqZ1fcv_m6-aXOSP59VQixM-r99RD9R9yYi_f1kQ,1776629347852,1776631176905,1829,False,Kaisa,10,4,9,GOLD IV,2026-04-19 20:39:36.905
EUW1_7826407396,4mt5ursmysh08FWS8xYroIlOi97uZlU4F2drefaqZ1fcv_m6-aXOSP59VQixM-r99RD9R9yYi_f1kQ,1776627210604,1776628177436,967,True,Kaisa,6,1,2,GOLD IV,2026-04-19 19:49:37.436
EUW1_7821774621,4mt5ursmysh08FWS8xYroIlOi97uZlU4F2drefaqZ1fcv_m6-aXOSP59VQixM-r99RD9R9yYi_f1kQ,1776286744071,1776288737346,1994,False,Ashe,10,9,7,GOLD IV,2026-04-15 21:32:17.346
EUW1_7821687775,4mt5ursmysh08FWS8xYroIlOi97uZlU4F2drefaqZ1fcv_m6-aXOSP59VQixM-r99RD9R9yYi_f1kQ,1776283152210,1776285663909,2512,True,Ziggs,9,5,12,GOLD IV,2026-04-15 20:41:03.909
EUW1_7820701115,4mt5ursmysh08FWS8xYroIlOi97uZlU4F2drefaqZ1fcv_m6-aXOSP59VQixM-r99RD9R9yYi_f1kQ,1776199273143,1776201376296,2103,False,Vayne,12,7,7,GOLD IV,2026-04-14 21:16:16.296
EUW1_7820630906,4mt5ursmysh08FWS8xYroIlOi97uZlU4F2drefaqZ1fcv_m6-aXOSP59VQixM-r99RD9R9yYi_f1kQ,1776196285577,1776198064440,1779,True,Ezreal,6,9,8,GOLD IV,2026-04-14 20:21:04.440
EUW1_7820563543,4mt5ursmysh08FWS8xYroIlOi97uZlU4F2drefaqZ1fcv_m6-aXOSP59VQixM-r99RD9R9yYi_f1kQ,1776192982746,1776195013717,2031,True,KogMaw,14,4,6,GOLD IV,2026-04-14 19:30:13.717
EUW1_7816508230,4mt5ursmysh08FWS8xYroIlOi97uZlU4F2drefaqZ1fcv_m6-aXOSP59VQixM-r99RD9R9yYi_f1kQ,1775854604431,1775856215373,1611,False,Ashe,3,6,4,GOLD IV,2026-04-10 21:23:35.373
EUW1_7816448845,4mt5ursmysh08FWS8xYroIlOi97uZlU4F2drefaqZ1fcv_m6-aXOSP59VQixM-r99RD9R9yYi_f1kQ,1775852030992,1775854187344,2156,False,Pyke,9,14,10,GOLD IV,2026-04-10 20:49:47.344
EUW1_7816395516,4mt5ursmysh08FWS8xYroIlOi97uZlU4F2drefaqZ1fcv_m6-aXOSP59VQixM-r99RD9R9yYi_f1kQ,1775849762744,1775850727191,964,True,Ashe,9,0,5,GOLD IV,2026-04-10 19:52:07.191
EUW1_7815465991,4mt5ursmysh08FWS8xYroIlOi97uZlU4F2drefaqZ1fcv_m6-aXOSP59VQixM-r99RD9R9yYi_f1kQ,1775767509214,1775769787976,2279,False,Ashe,1,8,9,GOLD IV,2026-04-09 21:23:07.976
EUW1_7815398427,4mt5ursmysh08FWS8xYroIlOi97uZlU4F2drefaqZ1fcv_m6-aXOSP59VQixM-r99RD9R9yYi_f1kQ,1775764737834,1775766541292,1803,True,Ashe,13,3,9,GOLD IV,2026-04-09 20:29:01.292
EUW1_7814540301,4mt5ursmysh08FWS8xYroIlOi97uZlU4F2drefaqZ1fcv_m6-aXOSP59VQixM-r99RD9R9yYi_f1kQ,1775681764622,1775683532401,1768,False,Veigar,4,8,2,GOLD IV,2026-04-08 21:25:32.401
EUW1_7814466480,4mt5ursmysh08FWS8xYroIlOi97uZlU4F2drefaqZ1fcv_m6-aXOSP59VQixM-r99RD9R9yYi_f1kQ,1775678172378,1775680306931,2134,False,Yunara,13,8,7,GOLD IV,2026-04-08 20:31:46.931
