match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7827219588,5UMjE5zadvKKrPkw0QakRDjckgLWZX1xreKbjVDtmIhFogWRbDlELjO1UQSLCGV0KzsDdAnaHT0w2A,1776702899921,1776705484145,2584,True,Ashe,11,7,12,SILVER II,2026-04-20 17:18:04.145
EUW1_7827170965,5UMjE5zadvKKrPkw0QakRDjckgLWZX1xreKbjVDtmIhFogWRbDlELjO1UQSLCGV0KzsDdAnaHT0w2A,1776700632824,1776702423321,1790,True,Ashe,12,1,8,SILVER II,2026-04-20 16:27:03.321
EUW1_7824040175,5UMjE5zadvKKrPkw0QakRDjckgLWZX1xreKbjVDtmIhFogWRbDlELjO1UQSLCGV0KzsDdAnaHT0w2A,1776461601237,1776462966773,1366,False,Gragas,0,1,2,SILVER II,2026-04-17 21:56:06.773
EUW1_7823980360,5UMjE5zadvKKrPkw0QakRDjckgLWZX1xreKbjVDtmIhFogWRbDlELjO1UQSLCGV0KzsDdAnaHT0w2A,1776459327175,1776461340713,2013,False,Vi,8,10,12,SILVER II,2026-04-17 21:29:00.713
EUW1_7823936687,5UMjE5zadvKKrPkw0QakRDjckgLWZX1xreKbjVDtmIhFogWRbDlELjO1UQSLCGV0KzsDdAnaHT0w2A,1776457583942,1776459089264,1505,False,Twitch,5,5,2,SILVER II,2026-04-17 20:51:29.264
EUW1_7823862580,5UMjE5zadvKKrPkw0QakRDjckgLWZX1xreKbjVDtmIhFogWRbDlELjO1UQSLCGV0KzsDdAnaHT0w2A,1776454642501,1776456805954,2163,False,Jhin,16,8,14,SILVER II,2026-04-17 20:13:25.954
EUW1_7823784471,5UMjE5zadvKKrPkw0QakRDjckgLWZX1xreKbjVDtmIhFogWRbDlELjO1UQSLCGV0KzsDdAnaHT0w2A,1776451491681,1776453636126,2144,True,Draven,19,6,8,SILVER II,2026-04-17 19:20:36.126
EUW1_7823734769,5UMjE5zadvKKrPkw0QakRDjckgLWZX1xreKbjVDtmIhFogWRbDlELjO1UQSLCGV0KzsDdAnaHT0w2A,1776449363885,1776451197493,1833,False,MissFortune,11,7,7,SILVER II,2026-04-17 18:39:57.493
EUW1_7823221209,5UMjE5zadvKKrPkw0QakRDjckgLWZX1xreKbjVDtmIhFogWRbDlELjO1UQSLCGV0KzsDdAnaHT0w2A,1776417248045,1776419828756,2581,True,Ashe,16,9,22,SILVER II,2026-04-17 09:57:08.756
EUW1_7823203783,5UMjE5zadvKKrPkw0QakRDjckgLWZX1xreKbjVDtmIhFogWRbDlELjO1UQSLCGV0KzsDdAnaHT0w2A,1776414705823,1776417034283,2328,True,MissFortune,9,4,12,SILVER II,2026-04-17 09:10:34.283
