match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7824440225,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776508684764,1776511007763,2323,False,Nasus,7,6,6,GOLD IV,2026-04-18 11:16:47.763
EUW1_7824414558,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776506228774,1776508182113,1953,True,Nasus,11,2,7,GOLD IV,2026-04-18 10:29:42.113
EUW1_7824395585,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776505053562,1776505974665,921,True,Singed,3,1,1,GOLD IV,2026-04-18 09:52:54.665
EUW1_7824359321,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776502231053,1776504309776,2079,False,Nasus,3,5,3,GOLD IV,2026-04-18 09:25:09.776
EUW1_7824336321,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776499918137,1776501753825,1836,False,Nasus,7,6,7,GOLD IV,2026-04-18 08:42:33.825
EUW1_7824333888,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776498708811,1776499646294,937,False,Nasus,1,5,2,GOLD IV,2026-04-18 08:07:26.294
EUW1_7824314174,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776496073040,1776498372995,2300,True,Nasus,10,3,4,GOLD IV,2026-04-18 07:46:12.995
EUW1_7824300886,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776492127810,1776494505860,2378,True,Nasus,11,5,7,GOLD IV,2026-04-18 06:41:45.860
EUW1_7823718830,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776448755546,1776450468132,1712,False,Nasus,6,8,2,GOLD IV,2026-04-17 18:27:48.132
EUW1_7823669740,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776446211597,1776448334282,2123,False,Nasus,10,7,8,GOLD IV,2026-04-17 17:52:14.282
EUW1_7823630604,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776444210826,1776445874530,1664,True,Nasus,4,2,3,GOLD IV,2026-04-17 17:11:14.530
EUW1_7823579139,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776441887792,1776443922426,2035,False,Nasus,7,4,2,GOLD IV,2026-04-17 16:38:42.426
EUW1_7822499388,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776358247076,1776358350572,103,False,Nasus,0,0,0,GOLD IV,2026-04-16 16:52:30.572
EUW1_7822453166,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776355976496,1776357693180,1717,True,Nasus,6,3,8,GOLD IV,2026-04-16 16:41:33.180
EUW1_7822347872,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776350339950,1776352377179,2037,True,Nasus,10,3,7,GOLD IV,2026-04-16 15:12:57.179
EUW1_7822303232,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776347924544,1776349993145,2068,False,Singed,3,9,12,GOLD IV,2026-04-16 14:33:13.145
EUW1_7822264593,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776344907951,1776346639105,1731,True,Singed,1,3,12,GOLD IV,2026-04-16 13:37:19.105
EUW1_7822224234,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776342594301,1776344585041,1991,True,Nasus,3,14,13,GOLD IV,2026-04-16 13:03:05.041
EUW1_7821373174,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776270479063,1776272393822,1915,True,Singed,8,4,11,GOLD IV,2026-04-15 16:59:53.822
EUW1_7821366826,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776270127065,1776270212119,85,True,Singed,0,0,0,GOLD IV,2026-04-15 16:23:32.119
EUW1_7821326795,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776267935342,1776269573705,1638,False,Sett,6,6,3,GOLD IV,2026-04-15 16:12:53.705
EUW1_7821226279,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776262868641,1776264682451,1814,False,Darius,0,14,8,GOLD IV,2026-04-15 14:51:22.451
EUW1_7821193938,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776260561863,1776262303738,1742,False,Nasus,8,4,5,GOLD IV,2026-04-15 14:11:43.738
EUW1_7821157397,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776258372424,1776260230058,1857,True,Nasus,4,4,3,GOLD IV,2026-04-15 13:37:10.058
EUW1_7820417471,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776186158222,1776188413384,2255,True,Nasus,3,9,6,GOLD IV,2026-04-14 17:40:13.384
EUW1_7820364991,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776183408370,1776185477400,2069,True,Singed,4,8,14,GOLD IV,2026-04-14 16:51:17.400
EUW1_7820330384,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776181548724,1776183091948,1543,True,Nasus,8,2,6,GOLD IV,2026-04-14 16:11:31.948
EUW1_7820277599,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776177737684,1776179855103,2117,False,Singed,6,6,18,GOLD IV,2026-04-14 15:17:35.103
EUW1_7820248465,5YjMJWd9Veu5wvo2l_cn-V2Ulb5tnL0BQLwudGXYUnR0BWaY-1lUbzUWTlOPCe7tyJNVI1TjxOJDZw,1776175488995,1776177394184,1905,False,Singed,4,8,8,GOLD IV,2026-04-14 14:36:34.184
