match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7825988846,5ikBxAzVtxWGNRiXSaoBW-LJgFqhSl52wtChILNo2NzfPp_m4tuyvMkpfyeaEHWGpzQ96uxC_PbEVw,1776611254540,1776613409385,2155,False,Leona,5,12,17,GOLD IV,2026-04-19 15:43:29.385
EUW1_7825923423,5ikBxAzVtxWGNRiXSaoBW-LJgFqhSl52wtChILNo2NzfPp_m4tuyvMkpfyeaEHWGpzQ96uxC_PbEVw,1776608844642,1776610728587,1889,True,Swain,6,9,11,GOLD IV,2026-04-19 14:58:48.587
EUW1_7825876527,5ikBxAzVtxWGNRiXSaoBW-LJgFqhSl52wtChILNo2NzfPp_m4tuyvMkpfyeaEHWGpzQ96uxC_PbEVw,1776606375139,1776608408343,2038,True,Sivir,7,9,8,GOLD IV,2026-04-19 14:20:08.343
EUW1_7825810030,5ikBxAzVtxWGNRiXSaoBW-LJgFqhSl52wtChILNo2NzfPp_m4tuyvMkpfyeaEHWGpzQ96uxC_PbEVw,1776603455261,1776606072266,2617,False,MasterYi,14,13,7,GOLD IV,2026-04-19 13:41:12.266
EUW1_7825773957,5ikBxAzVtxWGNRiXSaoBW-LJgFqhSl52wtChILNo2NzfPp_m4tuyvMkpfyeaEHWGpzQ96uxC_PbEVw,1776601579825,1776603101043,1521,False,Viego,8,7,6,GOLD IV,2026-04-19 12:51:41.043
EUW1_7825735670,5ikBxAzVtxWGNRiXSaoBW-LJgFqhSl52wtChILNo2NzfPp_m4tuyvMkpfyeaEHWGpzQ96uxC_PbEVw,1776599502722,1776601305126,1802,False,Jinx,0,10,6,GOLD IV,2026-04-19 12:21:45.126
EUW1_7825676555,5ikBxAzVtxWGNRiXSaoBW-LJgFqhSl52wtChILNo2NzfPp_m4tuyvMkpfyeaEHWGpzQ96uxC_PbEVw,1776595999311,1776597650063,1651,False,Caitlyn,2,9,3,GOLD IV,2026-04-19 11:20:50.063
EUW1_7825629239,5ikBxAzVtxWGNRiXSaoBW-LJgFqhSl52wtChILNo2NzfPp_m4tuyvMkpfyeaEHWGpzQ96uxC_PbEVw,1776593333967,1776595658852,2326,True,Senna,11,12,15,GOLD IV,2026-04-19 10:47:38.852
EUW1_7824510975,5ikBxAzVtxWGNRiXSaoBW-LJgFqhSl52wtChILNo2NzfPp_m4tuyvMkpfyeaEHWGpzQ96uxC_PbEVw,1776513169648,1776514649394,1480,False,Graves,4,10,2,GOLD IV,2026-04-18 12:17:29.394
EUW1_7824464337,5ikBxAzVtxWGNRiXSaoBW-LJgFqhSl52wtChILNo2NzfPp_m4tuyvMkpfyeaEHWGpzQ96uxC_PbEVw,1776510365346,1776512682289,2317,True,Shyvana,15,11,15,GOLD IV,2026-04-18 11:44:42.289
EUW1_7824376858,5ikBxAzVtxWGNRiXSaoBW-LJgFqhSl52wtChILNo2NzfPp_m4tuyvMkpfyeaEHWGpzQ96uxC_PbEVw,1776503633690,1776506216349,2583,True,Nocturne,8,12,14,GOLD IV,2026-04-18 09:56:56.349
EUW1_7824351030,5ikBxAzVtxWGNRiXSaoBW-LJgFqhSl52wtChILNo2NzfPp_m4tuyvMkpfyeaEHWGpzQ96uxC_PbEVw,1776501053377,1776503040727,1987,True,Sivir,12,10,27,GOLD IV,2026-04-18 09:04:00.727
