match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7836020730,6_dFDHDUPOEbvev-ep5Y4LgovZPguXWOxrsMpMT18-ZBH9M59Uz1MXTY05mRvmZTLdR8YZKaKigR7A,1777412705769,1777414389706,1684,False,MissFortune,4,12,1,GOLD III,2026-04-28 22:13:09.706
EUW1_7834956218,6_dFDHDUPOEbvev-ep5Y4LgovZPguXWOxrsMpMT18-ZBH9M59Uz1MXTY05mRvmZTLdR8YZKaKigR7A,1777321520804,1777324063536,2543,False,Chogath,14,11,10,GOLD III,2026-04-27 21:07:43.536
EUW1_7834894615,6_dFDHDUPOEbvev-ep5Y4LgovZPguXWOxrsMpMT18-ZBH9M59Uz1MXTY05mRvmZTLdR8YZKaKigR7A,1777319016166,1777321184090,2168,False,Nami,0,10,27,GOLD III,2026-04-27 20:19:44.090
EUW1_7834844864,6_dFDHDUPOEbvev-ep5Y4LgovZPguXWOxrsMpMT18-ZBH9M59Uz1MXTY05mRvmZTLdR8YZKaKigR7A,1777317189598,1777318649290,1460,False,Briar,7,4,2,GOLD III,2026-04-27 19:37:29.290
EUW1_7834695364,6_dFDHDUPOEbvev-ep5Y4LgovZPguXWOxrsMpMT18-ZBH9M59Uz1MXTY05mRvmZTLdR8YZKaKigR7A,1777311193516,1777312916465,1723,False,Nunu,10,10,11,GOLD III,2026-04-27 18:01:56.465
EUW1_7834003410,6_dFDHDUPOEbvev-ep5Y4LgovZPguXWOxrsMpMT18-ZBH9M59Uz1MXTY05mRvmZTLdR8YZKaKigR7A,1777237480585,1777238969190,1488,False,Lux,6,14,7,GOLD III,2026-04-26 21:29:29.190
EUW1_7833938026,6_dFDHDUPOEbvev-ep5Y4LgovZPguXWOxrsMpMT18-ZBH9M59Uz1MXTY05mRvmZTLdR8YZKaKigR7A,1777234620929,1777236756756,2136,True,Seraphine,4,8,22,GOLD III,2026-04-26 20:52:36.756
EUW1_7833877324,6_dFDHDUPOEbvev-ep5Y4LgovZPguXWOxrsMpMT18-ZBH9M59Uz1MXTY05mRvmZTLdR8YZKaKigR7A,1777232389744,1777234303530,1914,True,Nami,1,3,26,GOLD III,2026-04-26 20:11:43.530
EUW1_7833671705,6_dFDHDUPOEbvev-ep5Y4LgovZPguXWOxrsMpMT18-ZBH9M59Uz1MXTY05mRvmZTLdR8YZKaKigR7A,1777223837239,1777225717275,1880,False,Evelynn,13,5,5,GOLD III,2026-04-26 17:48:37.275
EUW1_7833589039,6_dFDHDUPOEbvev-ep5Y4LgovZPguXWOxrsMpMT18-ZBH9M59Uz1MXTY05mRvmZTLdR8YZKaKigR7A,1777220411104,1777221922621,1511,True,Briar,19,1,11,GOLD III,2026-04-26 16:45:22.621
