match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7827599353,6lK_k9loZC9QAmwZS3Q2_-G9FUaBPOeZIeOmPfAU8Dc3TWcnPQYpU3vTgpyg81VtYU7AKVgGl5T4wQ,1776718146234,1776720408198,2262,True,Sion,5,10,6,GOLD III,2026-04-20 21:26:48.198
EUW1_7826032586,6lK_k9loZC9QAmwZS3Q2_-G9FUaBPOeZIeOmPfAU8Dc3TWcnPQYpU3vTgpyg81VtYU7AKVgGl5T4wQ,1776613071581,1776615438784,2367,True,Sion,5,5,7,GOLD III,2026-04-19 16:17:18.784
EUW1_7825981725,6lK_k9loZC9QAmwZS3Q2_-G9FUaBPOeZIeOmPfAU8Dc3TWcnPQYpU3vTgpyg81VtYU7AKVgGl5T4wQ,1776610963315,1776612804592,1841,False,KSante,5,5,1,GOLD III,2026-04-19 15:33:24.592
EUW1_7825931704,6lK_k9loZC9QAmwZS3Q2_-G9FUaBPOeZIeOmPfAU8Dc3TWcnPQYpU3vTgpyg81VtYU7AKVgGl5T4wQ,1776608881404,1776610680656,1799,True,KSante,9,2,4,GOLD III,2026-04-19 14:58:00.656
EUW1_7825363591,6lK_k9loZC9QAmwZS3Q2_-G9FUaBPOeZIeOmPfAU8Dc3TWcnPQYpU3vTgpyg81VtYU7AKVgGl5T4wQ,1776553115349,1776555827766,2712,False,Sion,5,10,22,GOLD III,2026-04-18 23:43:47.766
EUW1_7825313724,6lK_k9loZC9QAmwZS3Q2_-G9FUaBPOeZIeOmPfAU8Dc3TWcnPQYpU3vTgpyg81VtYU7AKVgGl5T4wQ,1776550638811,1776552835140,2196,False,Jayce,9,8,12,GOLD III,2026-04-18 22:53:55.140
EUW1_7825257967,6lK_k9loZC9QAmwZS3Q2_-G9FUaBPOeZIeOmPfAU8Dc3TWcnPQYpU3vTgpyg81VtYU7AKVgGl5T4wQ,1776548208547,1776550374569,2166,True,KSante,6,4,8,GOLD III,2026-04-18 22:12:54.569
EUW1_7825222595,6lK_k9loZC9QAmwZS3Q2_-G9FUaBPOeZIeOmPfAU8Dc3TWcnPQYpU3vTgpyg81VtYU7AKVgGl5T4wQ,1776546496452,1776547919053,1422,True,KSante,5,4,6,GOLD III,2026-04-18 21:31:59.053
EUW1_7824613350,6lK_k9loZC9QAmwZS3Q2_-G9FUaBPOeZIeOmPfAU8Dc3TWcnPQYpU3vTgpyg81VtYU7AKVgGl5T4wQ,1776519159955,1776521083450,1923,False,KSante,1,4,4,GOLD III,2026-04-18 14:04:43.450
EUW1_7823447876,6lK_k9loZC9QAmwZS3Q2_-G9FUaBPOeZIeOmPfAU8Dc3TWcnPQYpU3vTgpyg81VtYU7AKVgGl5T4wQ,1776434693036,1776436977597,2284,False,KSante,2,7,7,GOLD III,2026-04-17 14:42:57.597
EUW1_7821435779,6lK_k9loZC9QAmwZS3Q2_-G9FUaBPOeZIeOmPfAU8Dc3TWcnPQYpU3vTgpyg81VtYU7AKVgGl5T4wQ,1776273064512,1776275464529,2400,False,KSante,4,10,9,GOLD III,2026-04-15 17:51:04.529
EUW1_7821384140,6lK_k9loZC9QAmwZS3Q2_-G9FUaBPOeZIeOmPfAU8Dc3TWcnPQYpU3vTgpyg81VtYU7AKVgGl5T4wQ,1776271017199,1776272734279,1717,True,Jayce,7,3,8,GOLD III,2026-04-15 17:05:34.279
