match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7829679850,6rw7-RHvyeaj8BIdQHSiFnnFyLozyq78gxZ6syAIurdNyMEJxo1FyFanQ1eSC81IykQYR_YOfDRVQQ,1776892496413,1776892577936,81,True,Quinn,0,0,0,SILVER III,2026-04-22 21:16:17.936
EUW1_7829643332,6rw7-RHvyeaj8BIdQHSiFnnFyLozyq78gxZ6syAIurdNyMEJxo1FyFanQ1eSC81IykQYR_YOfDRVQQ,1776891045987,1776892174310,1128,False,Quinn,0,2,1,SILVER III,2026-04-22 21:09:34.310
EUW1_7827098946,6rw7-RHvyeaj8BIdQHSiFnnFyLozyq78gxZ6syAIurdNyMEJxo1FyFanQ1eSC81IykQYR_YOfDRVQQ,1776696490524,1776698695328,2205,False,Teemo,9,9,13,SILVER III,2026-04-20 15:24:55.328
EUW1_7827023146,6rw7-RHvyeaj8BIdQHSiFnnFyLozyq78gxZ6syAIurdNyMEJxo1FyFanQ1eSC81IykQYR_YOfDRVQQ,1776691949311,1776694163824,2214,True,Quinn,12,8,18,SILVER III,2026-04-20 14:09:23.824
EUW1_7826990033,6rw7-RHvyeaj8BIdQHSiFnnFyLozyq78gxZ6syAIurdNyMEJxo1FyFanQ1eSC81IykQYR_YOfDRVQQ,1776689448362,1776691286288,1838,False,Kennen,14,9,10,SILVER III,2026-04-20 13:21:26.288
EUW1_7826939185,6rw7-RHvyeaj8BIdQHSiFnnFyLozyq78gxZ6syAIurdNyMEJxo1FyFanQ1eSC81IykQYR_YOfDRVQQ,1776685461378,1776686950759,1489,True,Caitlyn,5,5,6,SILVER III,2026-04-20 12:09:10.759
EUW1_7826918852,6rw7-RHvyeaj8BIdQHSiFnnFyLozyq78gxZ6syAIurdNyMEJxo1FyFanQ1eSC81IykQYR_YOfDRVQQ,1776683282471,1776685127693,1845,False,Jax,11,6,8,SILVER III,2026-04-20 11:38:47.693
EUW1_7825598035,6rw7-RHvyeaj8BIdQHSiFnnFyLozyq78gxZ6syAIurdNyMEJxo1FyFanQ1eSC81IykQYR_YOfDRVQQ,1776590827092,1776592684793,1858,True,Warwick,15,4,9,SILVER III,2026-04-19 09:58:04.793
EUW1_7825030810,6rw7-RHvyeaj8BIdQHSiFnnFyLozyq78gxZ6syAIurdNyMEJxo1FyFanQ1eSC81IykQYR_YOfDRVQQ,1776539172034,1776541233329,2061,False,Ashe,10,9,15,SILVER III,2026-04-18 19:40:33.329
EUW1_7824969217,6rw7-RHvyeaj8BIdQHSiFnnFyLozyq78gxZ6syAIurdNyMEJxo1FyFanQ1eSC81IykQYR_YOfDRVQQ,1776536679840,1776538883319,2203,False,Quinn,3,5,6,SILVER III,2026-04-18 19:01:23.319
