match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7826571298,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776633167551,1776634775743,1608,True,Ambessa,10,1,7,GOLD IV,2026-04-19 21:39:35.743
EUW1_7823764895,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776450754101,1776452875175,2121,True,Olaf,5,5,4,GOLD IV,2026-04-17 19:07:55.175
EUW1_7823500514,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776437448074,1776440045067,2597,True,Pantheon,11,5,9,GOLD IV,2026-04-17 15:34:05.067
EUW1_7823465465,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776435399015,1776437166405,1767,True,Pantheon,10,4,1,GOLD IV,2026-04-17 14:46:06.405
EUW1_7823413170,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776432670263,1776435021814,2351,True,Ambessa,13,5,7,GOLD IV,2026-04-17 14:10:21.814
EUW1_7823044353,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776381094721,1776383429816,2335,False,Ambessa,8,5,1,GOLD IV,2026-04-16 23:50:29.816
EUW1_7823003924,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776378231854,1776380157251,1925,True,Ambessa,11,3,7,GOLD IV,2026-04-16 22:55:57.251
EUW1_7822965428,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776376302440,1776377811175,1509,False,Ambessa,3,9,2,GOLD IV,2026-04-16 22:16:51.175
EUW1_7822941115,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776375119014,1776376043056,924,True,Ambessa,6,1,2,GOLD IV,2026-04-16 21:47:23.056
EUW1_7822563732,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776360202716,1776361642558,1440,False,Gwen,6,6,1,GOLD IV,2026-04-16 17:47:22.558
EUW1_7822475160,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776357122956,1776359595394,2472,False,Sylas,11,11,11,GOLD IV,2026-04-16 17:13:15.394
EUW1_7822356333,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776351137094,1776353427343,2290,True,Ambessa,18,4,7,GOLD IV,2026-04-16 15:30:27.343
EUW1_7822325822,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776348942746,1776350770988,1828,True,Ambessa,6,4,11,GOLD IV,2026-04-16 14:46:10.988
EUW1_7822103671,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776331436160,1776333022456,1586,False,Yone,2,6,2,GOLD IV,2026-04-16 09:50:22.456
EUW1_7822088579,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776329350968,1776331098881,1748,False,Ambessa,6,7,1,GOLD IV,2026-04-16 09:18:18.881
EUW1_7822070480,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776326983458,1776329097136,2114,False,Ambessa,7,5,8,GOLD IV,2026-04-16 08:44:57.136
EUW1_7821549964,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776277809631,1776279272310,1462,True,Pantheon,2,4,6,GOLD IV,2026-04-15 18:54:32.310
EUW1_7821211235,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776262126648,1776264715383,2589,False,Darius,12,10,4,GOLD IV,2026-04-15 14:51:55.383
EUW1_7821184883,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776259995698,1776261631918,1636,False,Darius,4,6,5,GOLD IV,2026-04-15 14:00:31.918
EUW1_7821143185,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776257426709,1776259650970,2224,False,Ambessa,5,10,7,GOLD IV,2026-04-15 13:27:30.970
EUW1_7820862815,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776208871903,1776211341029,2469,True,Ambessa,12,4,8,GOLD IV,2026-04-15 00:02:21.029
EUW1_7820828188,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776206266509,1776208625977,2359,False,Renekton,6,8,7,GOLD IV,2026-04-14 23:17:05.977
EUW1_7820799021,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776204283325,1776205995880,1712,True,Gwen,8,5,7,GOLD IV,2026-04-14 22:33:15.880
EUW1_7820760063,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776202064517,1776203971827,1907,False,Olaf,3,12,8,GOLD IV,2026-04-14 21:59:31.827
EUW1_7820499843,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776190369118,1776192582132,2213,False,Ornn,3,7,8,GOLD IV,2026-04-14 18:49:42.132
EUW1_7820440360,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776187712135,1776189784304,2072,False,Renekton,10,6,11,GOLD IV,2026-04-14 18:03:04.304
EUW1_7820393322,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776185369078,1776187344018,1975,False,Sion,5,8,5,GOLD IV,2026-04-14 17:22:24.018
EUW1_7820362789,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776183294130,1776184983088,1689,True,Sion,3,4,3,GOLD IV,2026-04-14 16:43:03.088
EUW1_7819949455,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776122995815,1776124602976,1607,False,Ambessa,4,9,1,GOLD IV,2026-04-13 23:56:42.976
EUW1_7819919137,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776119906103,1776121828702,1922,False,Ambessa,11,6,5,GOLD IV,2026-04-13 23:10:28.702
EUW1_7819419448,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776097278416,1776098777464,1499,False,Gwen,2,4,3,GOLD IV,2026-04-13 16:46:17.464
EUW1_7819392006,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776095582353,1776096747656,1165,False,Malphite,2,5,0,GOLD IV,2026-04-13 16:12:27.656
EUW1_7819337067,6xZ8-km5vPlmF1E6wQ-MTYjxMpYsVQHNdMrhWTp85UUCnA9-oUzY42LmY2_k7HfW4Cz-WfvekNPxDg,1776092105393,1776095040820,2935,True,Ambessa,13,10,3,GOLD IV,2026-04-13 15:44:00.820
