match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7829517325,7L9v51JA9TFcd_Ow8crkaFLUPPwa79vHE6BH6Ig_f1k_XU4Q8PJ3Nsqy7NrAc7wpMyofuVJuBL-eQg,1776886120880,1776888572459,2451,True,Shen,6,10,17,GOLD IV,2026-04-22 20:09:32.459
EUW1_7829468270,7L9v51JA9TFcd_Ow8crkaFLUPPwa79vHE6BH6Ig_f1k_XU4Q8PJ3Nsqy7NrAc7wpMyofuVJuBL-eQg,1776884225025,1776885556367,1331,False,Shen,2,8,2,GOLD IV,2026-04-22 19:19:16.367
EUW1_7829422013,7L9v51JA9TFcd_Ow8crkaFLUPPwa79vHE6BH6Ig_f1k_XU4Q8PJ3Nsqy7NrAc7wpMyofuVJuBL-eQg,1776881952925,1776883684923,1732,True,Shen,3,4,9,GOLD IV,2026-04-22 18:48:04.923
EUW1_7829386294,7L9v51JA9TFcd_Ow8crkaFLUPPwa79vHE6BH6Ig_f1k_XU4Q8PJ3Nsqy7NrAc7wpMyofuVJuBL-eQg,1776880602461,1776881631522,1029,True,Shen,5,5,2,GOLD IV,2026-04-22 18:13:51.522
EUW1_7828696750,7L9v51JA9TFcd_Ow8crkaFLUPPwa79vHE6BH6Ig_f1k_XU4Q8PJ3Nsqy7NrAc7wpMyofuVJuBL-eQg,1776806259565,1776808115925,1856,False,Shen,2,12,9,GOLD IV,2026-04-21 21:48:35.925
EUW1_7828644139,7L9v51JA9TFcd_Ow8crkaFLUPPwa79vHE6BH6Ig_f1k_XU4Q8PJ3Nsqy7NrAc7wpMyofuVJuBL-eQg,1776804140945,1776805870057,1729,True,Shen,11,2,11,GOLD IV,2026-04-21 21:11:10.057
EUW1_7827639293,7L9v51JA9TFcd_Ow8crkaFLUPPwa79vHE6BH6Ig_f1k_XU4Q8PJ3Nsqy7NrAc7wpMyofuVJuBL-eQg,1776719806084,1776721487021,1681,True,Shen,7,6,13,GOLD IV,2026-04-20 21:44:47.021
EUW1_7821900252,7L9v51JA9TFcd_Ow8crkaFLUPPwa79vHE6BH6Ig_f1k_XU4Q8PJ3Nsqy7NrAc7wpMyofuVJuBL-eQg,1776293251908,1776294994183,1742,True,Kennen,3,9,5,GOLD IV,2026-04-15 23:16:34.183
EUW1_7821884654,7L9v51JA9TFcd_Ow8crkaFLUPPwa79vHE6BH6Ig_f1k_XU4Q8PJ3Nsqy7NrAc7wpMyofuVJuBL-eQg,1776291867229,1776292953764,1086,True,Kennen,7,4,0,GOLD IV,2026-04-15 22:42:33.764
EUW1_7821845974,7L9v51JA9TFcd_Ow8crkaFLUPPwa79vHE6BH6Ig_f1k_XU4Q8PJ3Nsqy7NrAc7wpMyofuVJuBL-eQg,1776289960057,1776291423888,1464,False,Viego,1,9,2,GOLD IV,2026-04-15 22:17:03.888
EUW1_7821617889,7L9v51JA9TFcd_Ow8crkaFLUPPwa79vHE6BH6Ig_f1k_XU4Q8PJ3Nsqy7NrAc7wpMyofuVJuBL-eQg,1776280449297,1776282054214,1605,False,Sett,4,7,0,GOLD IV,2026-04-15 19:40:54.214
EUW1_7820798579,7L9v51JA9TFcd_Ow8crkaFLUPPwa79vHE6BH6Ig_f1k_XU4Q8PJ3Nsqy7NrAc7wpMyofuVJuBL-eQg,1776204032843,1776205697841,1665,False,Sett,3,10,2,GOLD IV,2026-04-14 22:28:17.841
EUW1_7820760060,7L9v51JA9TFcd_Ow8crkaFLUPPwa79vHE6BH6Ig_f1k_XU4Q8PJ3Nsqy7NrAc7wpMyofuVJuBL-eQg,1776202077239,1776203618000,1541,True,Sett,2,3,2,GOLD IV,2026-04-14 21:53:38.000
EUW1_7820554495,7L9v51JA9TFcd_Ow8crkaFLUPPwa79vHE6BH6Ig_f1k_XU4Q8PJ3Nsqy7NrAc7wpMyofuVJuBL-eQg,1776192507227,1776194206087,1699,False,Sett,7,8,3,GOLD IV,2026-04-14 19:16:46.087
EUW1_7819890110,7L9v51JA9TFcd_Ow8crkaFLUPPwa79vHE6BH6Ig_f1k_XU4Q8PJ3Nsqy7NrAc7wpMyofuVJuBL-eQg,1776117867394,1776119554653,1687,True,Sett,7,5,6,GOLD IV,2026-04-13 22:32:34.653
EUW1_7819853941,7L9v51JA9TFcd_Ow8crkaFLUPPwa79vHE6BH6Ig_f1k_XU4Q8PJ3Nsqy7NrAc7wpMyofuVJuBL-eQg,1776115909573,1776117632233,1723,False,Sett,1,9,0,GOLD IV,2026-04-13 22:00:32.233
EUW1_7819667269,7L9v51JA9TFcd_Ow8crkaFLUPPwa79vHE6BH6Ig_f1k_XU4Q8PJ3Nsqy7NrAc7wpMyofuVJuBL-eQg,1776108280602,1776110559695,2279,False,Sett,16,10,6,GOLD IV,2026-04-13 20:02:39.695
EUW1_7819615482,7L9v51JA9TFcd_Ow8crkaFLUPPwa79vHE6BH6Ig_f1k_XU4Q8PJ3Nsqy7NrAc7wpMyofuVJuBL-eQg,1776105939763,1776107950564,2011,True,Sett,10,7,6,GOLD IV,2026-04-13 19:19:10.564
EUW1_7819526552,7L9v51JA9TFcd_Ow8crkaFLUPPwa79vHE6BH6Ig_f1k_XU4Q8PJ3Nsqy7NrAc7wpMyofuVJuBL-eQg,1776102192996,1776104015265,1822,False,Sett,4,11,0,GOLD IV,2026-04-13 18:13:35.265
EUW1_7818900310,7L9v51JA9TFcd_Ow8crkaFLUPPwa79vHE6BH6Ig_f1k_XU4Q8PJ3Nsqy7NrAc7wpMyofuVJuBL-eQg,1776030376679,1776032847201,2470,False,Sett,7,12,5,GOLD IV,2026-04-12 22:27:27.201
