match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7841605845,8AWUhan-RZSlmza6jJM0bt5Glv2k6rIuGDYBCk-hQRcP0zzS99jhcSeRm_oqfb-BATcFGpb1CXx26w,1777838731122,1777840600945,1870,True,Jinx,3,3,3,GOLD III,2026-05-03 20:36:40.945
EUW1_7841543172,8AWUhan-RZSlmza6jJM0bt5Glv2k6rIuGDYBCk-hQRcP0zzS99jhcSeRm_oqfb-BATcFGpb1CXx26w,1777836607193,1777838392088,1786,True,Caitlyn,11,7,4,GOLD III,2026-05-03 19:59:52.088
EUW1_7839956065,8AWUhan-RZSlmza6jJM0bt5Glv2k6rIuGDYBCk-hQRcP0zzS99jhcSeRm_oqfb-BATcFGpb1CXx26w,1777735681099,1777737688151,2007,False,Caitlyn,12,10,4,GOLD III,2026-05-02 16:01:28.151
EUW1_7839764355,8AWUhan-RZSlmza6jJM0bt5Glv2k6rIuGDYBCk-hQRcP0zzS99jhcSeRm_oqfb-BATcFGpb1CXx26w,1777725397931,1777727269438,1871,True,Caitlyn,2,10,7,GOLD III,2026-05-02 13:07:49.438
EUW1_7839476212,8AWUhan-RZSlmza6jJM0bt5Glv2k6rIuGDYBCk-hQRcP0zzS99jhcSeRm_oqfb-BATcFGpb1CXx26w,1777684211568,1777686064461,1853,True,Jinx,17,8,11,GOLD III,2026-05-02 01:41:04.461
EUW1_7838812643,8AWUhan-RZSlmza6jJM0bt5Glv2k6rIuGDYBCk-hQRcP0zzS99jhcSeRm_oqfb-BATcFGpb1CXx26w,1777650193865,1777652062882,1869,False,Jinx,2,7,3,GOLD III,2026-05-01 16:14:22.882
EUW1_7838805650,8AWUhan-RZSlmza6jJM0bt5Glv2k6rIuGDYBCk-hQRcP0zzS99jhcSeRm_oqfb-BATcFGpb1CXx26w,1777649747551,1777649848254,101,True,Caitlyn,0,0,0,GOLD III,2026-05-01 15:37:28.254
EUW1_7838707212,8AWUhan-RZSlmza6jJM0bt5Glv2k6rIuGDYBCk-hQRcP0zzS99jhcSeRm_oqfb-BATcFGpb1CXx26w,1777645064342,1777647333973,2269,True,Caitlyn,15,4,6,GOLD III,2026-05-01 14:55:33.973
EUW1_7838681018,8AWUhan-RZSlmza6jJM0bt5Glv2k6rIuGDYBCk-hQRcP0zzS99jhcSeRm_oqfb-BATcFGpb1CXx26w,1777643675931,1777644733721,1058,True,Jinx,7,0,0,GOLD III,2026-05-01 14:12:13.721
EUW1_7838132799,8AWUhan-RZSlmza6jJM0bt5Glv2k6rIuGDYBCk-hQRcP0zzS99jhcSeRm_oqfb-BATcFGpb1CXx26w,1777586183052,1777588160012,1977,True,Caitlyn,11,5,9,GOLD III,2026-04-30 22:29:20.012
