match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7841997062,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777887396856,1777889352390,1955,True,Amumu,5,6,19,GOLD III,2026-05-04 10:09:12.390
EUW1_7841976501,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777884179529,1777886421600,2242,False,Amumu,5,7,7,GOLD III,2026-05-04 09:20:21.600
EUW1_7841960979,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777882796113,1777883917166,1121,False,Amumu,2,3,1,GOLD III,2026-05-04 08:38:37.166
EUW1_7841950658,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777880322148,1777881330567,1008,True,Amumu,4,2,8,GOLD III,2026-05-04 07:55:30.567
EUW1_7839405400,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777677642464,1777679299411,1657,True,Amumu,4,7,19,GOLD III,2026-05-01 23:48:19.411
EUW1_7839369117,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777675241297,1777677388848,2147,False,Amumu,4,4,12,GOLD III,2026-05-01 23:16:28.848
EUW1_7838432307,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777627835923,1777630091266,2255,False,Amumu,1,9,18,GOLD III,2026-05-01 10:08:11.266
EUW1_7838434495,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777627385992,1777627456436,70,True,Amumu,0,0,0,GOLD III,2026-05-01 09:24:16.436
EUW1_7838420585,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777626058270,1777626725357,667,True,Amumu,1,3,4,GOLD III,2026-05-01 09:12:05.357
EUW1_7838392067,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777623744249,1777625812941,2069,False,Amumu,0,5,11,GOLD III,2026-05-01 08:56:52.941
EUW1_7838340222,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777613500740,1777615215690,1715,False,Xerath,8,11,2,GOLD III,2026-05-01 06:00:15.690
EUW1_7838344666,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777612984904,1777613116247,131,False,Xerath,0,0,0,GOLD III,2026-05-01 05:25:16.247
EUW1_7838333199,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777610301247,1777612203605,1902,True,Amumu,6,5,19,GOLD III,2026-05-01 05:10:03.605
EUW1_7838334656,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777608104915,1777609598994,1494,False,Briar,3,8,1,GOLD III,2026-05-01 04:26:38.994
EUW1_7838318617,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777601993755,1777603957778,1964,False,Amumu,8,10,8,GOLD III,2026-05-01 02:52:37.778
EUW1_7838293765,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777597337664,1777600043087,2705,True,Amumu,10,8,32,GOLD III,2026-05-01 01:47:23.087
EUW1_7838273709,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777594850218,1777596421322,1571,False,Amumu,1,6,11,GOLD III,2026-05-01 00:47:01.322
EUW1_7838246095,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777592648361,1777594278566,1630,True,Amumu,6,3,14,GOLD III,2026-05-01 00:11:18.566
EUW1_7838182873,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777588679573,1777590699460,2020,True,Amumu,2,5,26,GOLD III,2026-04-30 23:11:39.460
EUW1_7838136403,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777586640888,1777587931698,1291,True,Amumu,1,4,13,GOLD III,2026-04-30 22:25:31.698
EUW1_7838030371,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777582320822,1777584810691,2490,True,Amumu,6,10,15,GOLD III,2026-04-30 21:33:30.691
EUW1_7837274671,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777528253860,1777529901648,1648,True,Amumu,2,2,16,GOLD III,2026-04-30 06:18:21.648
EUW1_7837247515,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777514687252,1777516735893,2049,True,Amumu,2,7,20,GOLD III,2026-04-30 02:38:55.893
EUW1_7837222976,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777510482541,1777512098246,1615,False,Amumu,0,8,17,GOLD III,2026-04-30 01:21:38.246
EUW1_7837202313,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777507937613,1777509833342,1896,True,Amumu,5,6,10,GOLD III,2026-04-30 00:43:53.342
EUW1_7837098182,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777499762708,1777499833815,71,False,Amumu,0,0,0,GOLD III,2026-04-29 21:57:13.815
EUW1_7837095552,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777499231681,1777499312572,81,True,Amumu,0,0,0,GOLD III,2026-04-29 21:48:32.572
EUW1_7837044385,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777497239493,1777498971643,1732,False,Amumu,5,8,21,GOLD III,2026-04-29 21:42:51.643
EUW1_7836088669,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777417325271,1777419571846,2246,False,Amumu,2,15,18,GOLD III,2026-04-28 23:39:31.846
EUW1_7836032739,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777413305291,1777415554779,2249,True,Amumu,10,7,31,GOLD III,2026-04-28 22:32:34.779
EUW1_7835861362,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777405611129,1777407927316,2316,True,Amumu,2,10,29,GOLD III,2026-04-28 20:25:27.316
EUW1_7835811657,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777403104057,1777405109953,2006,True,Amumu,1,6,16,GOLD III,2026-04-28 19:38:29.953
EUW1_7835756837,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777400779835,1777402595739,1816,True,Amumu,2,5,18,GOLD III,2026-04-28 18:56:35.739
EUW1_7835650745,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777395732181,1777397421221,1689,False,Amumu,3,3,0,GOLD III,2026-04-28 17:30:21.221
EUW1_7835217423,9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,1777348830515,1777350507676,1677,True,Amumu,2,1,14,GOLD III,2026-04-28 04:28:27.676
