match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7826604722,9TXYyHLMWzsI3HpVXvuDaIJErFDWyMQrz5X59jU5u-02oDQ1-LA4R0rjLprZWxhocGHcVhf46L7jlQ,1776634453593,1776635847447,1394,False,Diana,5,7,3,GOLD II,2026-04-19 21:57:27.447
EUW1_7825436788,9TXYyHLMWzsI3HpVXvuDaIJErFDWyMQrz5X59jU5u-02oDQ1-LA4R0rjLprZWxhocGHcVhf46L7jlQ,1776558669497,1776560548097,1878,True,Katarina,18,6,6,GOLD II,2026-04-19 01:02:28.097
EUW1_7822929930,9TXYyHLMWzsI3HpVXvuDaIJErFDWyMQrz5X59jU5u-02oDQ1-LA4R0rjLprZWxhocGHcVhf46L7jlQ,1776374712288,1776376941767,2229,False,Akali,8,17,9,GOLD II,2026-04-16 22:02:21.767
EUW1_7822857436,9TXYyHLMWzsI3HpVXvuDaIJErFDWyMQrz5X59jU5u-02oDQ1-LA4R0rjLprZWxhocGHcVhf46L7jlQ,1776371914745,1776374153476,2239,True,Naafiri,8,13,8,GOLD II,2026-04-16 21:15:53.476
EUW1_7822814008,9TXYyHLMWzsI3HpVXvuDaIJErFDWyMQrz5X59jU5u-02oDQ1-LA4R0rjLprZWxhocGHcVhf46L7jlQ,1776370124100,1776371057740,933,True,Katarina,6,3,2,GOLD II,2026-04-16 20:24:17.740
EUW1_7822712849,9TXYyHLMWzsI3HpVXvuDaIJErFDWyMQrz5X59jU5u-02oDQ1-LA4R0rjLprZWxhocGHcVhf46L7jlQ,1776366365603,1776367930958,1565,True,Khazix,10,8,2,GOLD II,2026-04-16 19:32:10.958
EUW1_7821822676,9TXYyHLMWzsI3HpVXvuDaIJErFDWyMQrz5X59jU5u-02oDQ1-LA4R0rjLprZWxhocGHcVhf46L7jlQ,1776288796760,1776289992318,1195,True,Briar,14,3,6,GOLD II,2026-04-15 21:53:12.318
EUW1_7821777680,9TXYyHLMWzsI3HpVXvuDaIJErFDWyMQrz5X59jU5u-02oDQ1-LA4R0rjLprZWxhocGHcVhf46L7jlQ,1776286879772,1776288220634,1341,True,Vladimir,4,6,8,GOLD II,2026-04-15 21:23:40.634
EUW1_7821720962,9TXYyHLMWzsI3HpVXvuDaIJErFDWyMQrz5X59jU5u-02oDQ1-LA4R0rjLprZWxhocGHcVhf46L7jlQ,1776284529418,1776286519815,1990,True,Fizz,11,12,10,GOLD II,2026-04-15 20:55:19.815
EUW1_7820844188,9TXYyHLMWzsI3HpVXvuDaIJErFDWyMQrz5X59jU5u-02oDQ1-LA4R0rjLprZWxhocGHcVhf46L7jlQ,1776207423557,1776209306580,1883,False,Fizz,5,11,7,GOLD II,2026-04-14 23:28:26.580
EUW1_7820823736,9TXYyHLMWzsI3HpVXvuDaIJErFDWyMQrz5X59jU5u-02oDQ1-LA4R0rjLprZWxhocGHcVhf46L7jlQ,1776205552056,1776207186241,1634,False,Yone,7,8,3,GOLD II,2026-04-14 22:53:06.241
EUW1_7820793557,9TXYyHLMWzsI3HpVXvuDaIJErFDWyMQrz5X59jU5u-02oDQ1-LA4R0rjLprZWxhocGHcVhf46L7jlQ,1776203601606,1776205287452,1686,True,Katarina,9,4,5,GOLD II,2026-04-14 22:21:27.452
EUW1_7819969148,9TXYyHLMWzsI3HpVXvuDaIJErFDWyMQrz5X59jU5u-02oDQ1-LA4R0rjLprZWxhocGHcVhf46L7jlQ,1776125746847,1776127431117,1689,True,Vladimir,11,5,8,GOLD II,2026-04-14 00:43:51.117
EUW1_7819928004,9TXYyHLMWzsI3HpVXvuDaIJErFDWyMQrz5X59jU5u-02oDQ1-LA4R0rjLprZWxhocGHcVhf46L7jlQ,1776120580645,1776123646006,3065,True,Khazix,32,13,4,GOLD II,2026-04-13 23:40:46.006
EUW1_7819892231,9TXYyHLMWzsI3HpVXvuDaIJErFDWyMQrz5X59jU5u-02oDQ1-LA4R0rjLprZWxhocGHcVhf46L7jlQ,1776118058430,1776120220117,2166,False,Akali,11,7,7,GOLD II,2026-04-13 22:43:40.117
EUW1_7819023720,9TXYyHLMWzsI3HpVXvuDaIJErFDWyMQrz5X59jU5u-02oDQ1-LA4R0rjLprZWxhocGHcVhf46L7jlQ,1776042041436,1776044837771,2796,True,Vex,12,16,14,GOLD II,2026-04-13 01:47:17.771
EUW1_7818960203,9TXYyHLMWzsI3HpVXvuDaIJErFDWyMQrz5X59jU5u-02oDQ1-LA4R0rjLprZWxhocGHcVhf46L7jlQ,1776034305537,1776035635493,1330,True,Vladimir,11,6,1,GOLD II,2026-04-12 23:13:55.493
EUW1_7818925831,9TXYyHLMWzsI3HpVXvuDaIJErFDWyMQrz5X59jU5u-02oDQ1-LA4R0rjLprZWxhocGHcVhf46L7jlQ,1776031690745,1776034005037,2314,False,Vladimir,5,8,8,GOLD II,2026-04-12 22:46:45.037
EUW1_7818885914,9TXYyHLMWzsI3HpVXvuDaIJErFDWyMQrz5X59jU5u-02oDQ1-LA4R0rjLprZWxhocGHcVhf46L7jlQ,1776029538557,1776031448919,1910,False,Fizz,16,5,2,GOLD II,2026-04-12 22:04:08.919
EUW1_7818840150,9TXYyHLMWzsI3HpVXvuDaIJErFDWyMQrz5X59jU5u-02oDQ1-LA4R0rjLprZWxhocGHcVhf46L7jlQ,1776027440342,1776029030170,1590,False,Vladimir,4,8,2,GOLD II,2026-04-12 21:23:50.170
EUW1_7816272532,9TXYyHLMWzsI3HpVXvuDaIJErFDWyMQrz5X59jU5u-02oDQ1-LA4R0rjLprZWxhocGHcVhf46L7jlQ,1775844286052,1775846760736,2475,True,Yone,7,13,12,GOLD II,2026-04-10 18:46:00.736
EUW1_7816209677,9TXYyHLMWzsI3HpVXvuDaIJErFDWyMQrz5X59jU5u-02oDQ1-LA4R0rjLprZWxhocGHcVhf46L7jlQ,1775841086623,1775843051205,1965,False,Briar,6,14,13,GOLD II,2026-04-10 17:44:11.205
