match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7821324983,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1776267978546,1776269509593,1531,True,Mel,6,2,9,GOLD IV,2026-04-15 16:11:49.593
EUW1_7820654383,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1776197223563,1776199498461,2275,True,Malzahar,3,11,7,GOLD IV,2026-04-14 20:44:58.461
EUW1_7802459204,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1774732784986,1774734792926,2008,True,Malzahar,5,5,11,GOLD IV,2026-03-28 21:53:12.926
EUW1_7802406830,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1774730780122,1774732493723,1714,False,Mel,12,10,2,GOLD IV,2026-03-28 21:14:53.723
EUW1_7798591166,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1774467847182,1774470756341,2909,True,Malzahar,6,14,16,GOLD IV,2026-03-25 20:32:36.341
EUW1_7792043234,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1774132437571,1774134657473,2220,True,Malzahar,11,7,10,GOLD IV,2026-03-21 23:10:57.473
EUW1_7791971831,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1774130202919,1774132144823,1942,True,Mel,11,4,3,GOLD IV,2026-03-21 22:29:04.823
EUW1_7790347379,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1774052989699,1774055126224,2136,True,Mel,8,7,5,GOLD IV,2026-03-21 01:05:26.224
EUW1_7790083415,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1774043538856,1774044683101,1147,True,Mel,11,3,4,GOLD IV,2026-03-20 22:11:23.101
EUW1_7786681232,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1773865400241,1773867339732,1939,True,Mel,15,10,5,GOLD IV,2026-03-18 20:55:39.732
EUW1_7779995037,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1773530938648,1773532965161,2026,False,Mel,8,6,1,GOLD IV,2026-03-15 00:02:45.161
EUW1_7779183698,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1773504148404,1773505749303,1601,False,Malzahar,2,7,3,GOLD IV,2026-03-14 16:29:09.303
EUW1_7779115329,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1773502127498,1773503907088,1780,False,Mel,5,8,7,GOLD IV,2026-03-14 15:58:27.088
EUW1_7779071842,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1773500460146,1773501829763,1369,False,Malzahar,2,6,4,GOLD IV,2026-03-14 15:23:49.763
EUW1_7779021742,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1773498710702,1773500242478,1532,False,Mel,9,6,0,GOLD IV,2026-03-14 14:57:22.478
EUW1_7772155638,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1773145341115,1773147022725,1682,True,Malzahar,3,8,10,GOLD IV,2026-03-10 12:50:22.725
EUW1_7770521379,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1773059631078,1773061314236,1683,True,Malzahar,6,6,7,GOLD IV,2026-03-09 13:01:54.236
EUW1_7769818521,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1773008345293,1773010289859,1944,False,Malzahar,3,14,4,GOLD IV,2026-03-08 22:51:29.859
EUW1_7769758262,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1773006609099,1773007998983,1390,True,Malzahar,7,1,4,GOLD IV,2026-03-08 22:13:18.983
EUW1_7767975387,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1772923333800,1772925043542,1710,True,Malzahar,9,2,6,GOLD IV,2026-03-07 23:10:43.542
EUW1_7757619988,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1772317177770,1772319133711,1956,False,Veigar,8,3,12,GOLD IV,2026-02-28 22:52:13.711
EUW1_7756947263,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1772292925540,1772295290416,2365,False,Malzahar,9,9,8,GOLD IV,2026-02-28 16:14:50.416
EUW1_7756907287,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1772291230689,1772292592170,1361,False,Malzahar,2,4,0,GOLD IV,2026-02-28 15:29:52.170
EUW1_7749913055,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771937593519,1771940048161,2454,False,Malzahar,8,8,6,GOLD IV,2026-02-24 13:34:08.161
EUW1_7749864587,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771934867764,1771937266064,2398,False,Morgana,2,10,1,GOLD IV,2026-02-24 12:47:46.064
EUW1_7749313211,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771890418424,1771892105717,1687,False,Malzahar,5,6,8,GOLD IV,2026-02-24 00:15:05.717
EUW1_7749269146,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771888554656,1771890140580,1586,False,Morgana,2,11,7,GOLD IV,2026-02-23 23:42:20.580
EUW1_7749237573,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771887116236,1771888146565,1030,True,Lissandra,2,0,8,GOLD IV,2026-02-23 23:09:06.565
EUW1_7749169257,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771885029579,1771886836974,1807,True,Malzahar,1,2,3,GOLD IV,2026-02-23 22:47:16.974
EUW1_7748665682,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771871165674,1771872873452,1708,True,Malzahar,4,5,9,GOLD IV,2026-02-23 18:54:33.452
EUW1_7748605606,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771869360165,1771870950809,1590,False,Malzahar,0,7,4,GOLD IV,2026-02-23 18:22:30.809
EUW1_7748169647,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771852390981,1771854154095,1763,True,Malzahar,7,2,15,GOLD IV,2026-02-23 13:42:34.095
EUW1_7747544515,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771803214213,1771805930874,2716,False,Malzahar,14,7,15,GOLD IV,2026-02-23 00:18:50.874
EUW1_7743906547,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771643473205,1771645018895,1546,True,Lissandra,7,2,6,GOLD IV,2026-02-21 03:36:58.895
EUW1_7743498806,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771622331485,1771624328395,1997,True,Malzahar,6,6,13,GOLD IV,2026-02-20 21:52:08.395
EUW1_7740474241,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771470852054,1771472799828,1948,False,Malzahar,1,8,6,GOLD IV,2026-02-19 03:46:39.828
EUW1_7740457123,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771469156471,1771470461418,1305,True,Malzahar,8,0,6,GOLD IV,2026-02-19 03:07:41.418
EUW1_7739964434,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771447299378,1771448944466,1645,False,Malzahar,0,7,3,GOLD IV,2026-02-18 21:09:04.466
EUW1_7739884324,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771445073502,1771446655340,1582,False,Malzahar,6,7,2,GOLD IV,2026-02-18 20:30:55.340
EUW1_7739650822,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771437990188,1771439929965,1940,False,Malzahar,11,10,10,GOLD IV,2026-02-18 18:38:49.965
EUW1_7739458237,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771431640773,1771433455989,1815,False,Malzahar,2,3,6,GOLD IV,2026-02-18 16:50:55.989
EUW1_7739395390,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771429185710,1771431282557,2097,True,Malzahar,4,6,14,GOLD IV,2026-02-18 16:14:42.557
EUW1_7739355591,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771427378602,1771428900501,1522,False,Malzahar,2,8,2,GOLD IV,2026-02-18 15:35:00.501
EUW1_7738762361,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771387741079,1771389493286,1752,True,Malzahar,5,6,9,GOLD IV,2026-02-18 04:38:13.286
EUW1_7738401267,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771365984337,1771368220960,2237,True,Morgana,6,10,15,GOLD IV,2026-02-17 22:43:40.960
EUW1_7737795353,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771348029422,1771350381153,2352,True,Varus,6,10,7,GOLD IV,2026-02-17 17:46:21.153
EUW1_7737701874,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771344413535,1771346056865,1643,False,Veigar,3,6,5,GOLD IV,2026-02-17 16:34:16.865
EUW1_7736168910,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771263192189,1771265222222,2030,False,Camille,6,6,11,GOLD IV,2026-02-16 18:07:02.222
EUW1_7735476592,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771227968891,1771229605866,1637,False,Camille,1,8,2,GOLD IV,2026-02-16 08:13:25.866
EUW1_7735449693,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771225171243,1771227532754,2361,False,Camille,9,6,12,GOLD IV,2026-02-16 07:38:52.754
EUW1_7735428336,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771223080420,1771224868912,1788,False,Teemo,6,8,10,GOLD IV,2026-02-16 06:54:28.912
EUW1_7735419517,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771220282709,1771222818603,2536,False,Zyra,2,9,10,GOLD IV,2026-02-16 06:20:18.603
EUW1_7735399407,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771218050025,1771219959753,1911,False,Zyra,4,5,6,GOLD IV,2026-02-16 05:32:39.753
EUW1_7735397631,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771216252078,1771217710232,1458,True,Zyra,5,3,8,GOLD IV,2026-02-16 04:55:10.232
EUW1_7735347678,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771209167639,1771211154271,1987,True,Olaf,13,5,5,GOLD IV,2026-02-16 03:05:54.271
EUW1_7734950229,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771190578429,1771192074094,1496,False,Camille,0,6,4,GOLD IV,2026-02-15 21:47:54.094
EUW1_7734443467,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771176494954,1771178265114,1770,False,Camille,2,9,9,GOLD IV,2026-02-15 17:57:45.114
EUW1_7734377001,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771174793044,1771176047759,1255,True,Lucian,0,4,1,GOLD IV,2026-02-15 17:20:47.759
EUW1_7734304403,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771172808350,1771174521057,1717,False,Camille,6,8,1,GOLD IV,2026-02-15 16:55:21.057
EUW1_7733485704,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771125882135,1771127740687,1858,False,Camille,2,8,4,GOLD IV,2026-02-15 03:55:40.687
EUW1_7733465364,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771124429624,1771125557905,1128,False,Camille,1,6,1,GOLD IV,2026-02-15 03:19:17.905
EUW1_7733444642,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771121860149,1771123954806,2095,True,Camille,7,10,9,GOLD IV,2026-02-15 02:52:34.806
EUW1_7733423153,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771120407189,1771121512059,1105,True,Camille,3,0,2,GOLD IV,2026-02-15 02:11:52.059
EUW1_7733392662,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771118093659,1771120148338,2055,False,Camille,13,8,4,GOLD IV,2026-02-15 01:49:08.338
EUW1_7733219560,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771110348483,1771112408660,2060,True,Camille,4,3,13,GOLD IV,2026-02-14 23:40:08.660
EUW1_7732553912,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771087799510,1771090147638,2348,True,Camille,4,13,15,GOLD IV,2026-02-14 17:29:07.638
EUW1_7732504610,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771085935213,1771087486106,1551,False,Camille,1,6,4,GOLD IV,2026-02-14 16:44:46.106
EUW1_7732493058,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1771085631970,1771085718450,86,False,Camille,0,0,0,GOLD IV,2026-02-14 16:15:18.450
EUW1_7730483344,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1770986762802,1770988594170,1831,True,Camille,3,8,8,GOLD IV,2026-02-13 13:16:34.170
EUW1_7730452522,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1770984718841,1770986285296,1566,False,Camille,4,7,3,GOLD IV,2026-02-13 12:38:05.296
EUW1_7723541088,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1770594179935,1770595499771,1320,True,Malzahar,12,3,12,GOLD IV,2026-02-09 00:04:59.771
EUW1_7718973491,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1770385322092,1770387070122,1748,False,Malzahar,3,8,3,GOLD IV,2026-02-06 14:11:10.122
EUW1_7718947724,A13b1Zj0m6IRGmk4p_9hxieYqbxbISo8qmMWfj8mjJbrKgJoy563aDp4-pPD_UJRh5jEZvSo36Z9fA,1770384023505,1770385009160,986,False,Malzahar,2,4,3,GOLD IV,2026-02-06 13:36:49.160
