match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7825884176,BI4XOZBUABC9DEGg36MsMfRKAaUvJHcgXpgxNfo1Fh6q1X0qa71L3yd8Oco0Nm8Es5nQp22mGt83bg,1776606930160,1776608616551,1686,True,Nasus,7,6,6,SILVER I,2026-04-19 14:23:36.551
EUW1_7825820566,BI4XOZBUABC9DEGg36MsMfRKAaUvJHcgXpgxNfo1Fh6q1X0qa71L3yd8Oco0Nm8Es5nQp22mGt83bg,1776603783821,1776606674321,2890,True,Diana,9,13,20,SILVER I,2026-04-19 13:51:14.321
EUW1_7823725385,BI4XOZBUABC9DEGg36MsMfRKAaUvJHcgXpgxNfo1Fh6q1X0qa71L3yd8Oco0Nm8Es5nQp22mGt83bg,1776449141377,1776451203782,2062,True,Trundle,4,5,9,SILVER I,2026-04-17 18:40:03.782
EUW1_7823682077,BI4XOZBUABC9DEGg36MsMfRKAaUvJHcgXpgxNfo1Fh6q1X0qa71L3yd8Oco0Nm8Es5nQp22mGt83bg,1776446974652,1776448926767,1952,True,Nasus,4,6,10,SILVER I,2026-04-17 18:02:06.767
EUW1_7823651504,BI4XOZBUABC9DEGg36MsMfRKAaUvJHcgXpgxNfo1Fh6q1X0qa71L3yd8Oco0Nm8Es5nQp22mGt83bg,1776445140841,1776446729750,1589,False,Nasus,2,6,0,SILVER I,2026-04-17 17:25:29.750
EUW1_7822894267,BI4XOZBUABC9DEGg36MsMfRKAaUvJHcgXpgxNfo1Fh6q1X0qa71L3yd8Oco0Nm8Es5nQp22mGt83bg,1776373267428,1776375063765,1796,False,Diana,2,14,14,SILVER I,2026-04-16 21:31:03.765
EUW1_7822843448,BI4XOZBUABC9DEGg36MsMfRKAaUvJHcgXpgxNfo1Fh6q1X0qa71L3yd8Oco0Nm8Es5nQp22mGt83bg,1776371307060,1776372936284,1629,True,Nasus,5,7,17,SILVER I,2026-04-16 20:55:36.284
EUW1_7822787866,BI4XOZBUABC9DEGg36MsMfRKAaUvJHcgXpgxNfo1Fh6q1X0qa71L3yd8Oco0Nm8Es5nQp22mGt83bg,1776369211494,1776370942684,1731,False,Jax,8,11,3,SILVER I,2026-04-16 20:22:22.684
EUW1_7821720962,BI4XOZBUABC9DEGg36MsMfRKAaUvJHcgXpgxNfo1Fh6q1X0qa71L3yd8Oco0Nm8Es5nQp22mGt83bg,1776284529418,1776286519815,1990,True,Nasus,3,6,10,SILVER I,2026-04-15 20:55:19.815
EUW1_7821665887,BI4XOZBUABC9DEGg36MsMfRKAaUvJHcgXpgxNfo1Fh6q1X0qa71L3yd8Oco0Nm8Es5nQp22mGt83bg,1776282392271,1776284236505,1845,True,Malphite,3,4,10,SILVER I,2026-04-15 20:17:16.505
EUW1_7821652542,BI4XOZBUABC9DEGg36MsMfRKAaUvJHcgXpgxNfo1Fh6q1X0qa71L3yd8Oco0Nm8Es5nQp22mGt83bg,1776282013328,1776282081282,68,False,Nasus,0,0,0,SILVER I,2026-04-15 19:41:21.282
EUW1_7821387795,BI4XOZBUABC9DEGg36MsMfRKAaUvJHcgXpgxNfo1Fh6q1X0qa71L3yd8Oco0Nm8Es5nQp22mGt83bg,1776270871438,1776271795167,924,True,Darius,7,0,0,SILVER I,2026-04-15 16:49:55.167
EUW1_7821182808,BI4XOZBUABC9DEGg36MsMfRKAaUvJHcgXpgxNfo1Fh6q1X0qa71L3yd8Oco0Nm8Es5nQp22mGt83bg,1776259897558,1776262033457,2136,True,Nasus,8,8,2,SILVER I,2026-04-15 14:07:13.457
