match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7828253244,BUl2GLWTSSOhq82V9mpCclpUsksrjEetROtISAXlNW6uA5BErKZbNaQNoMosfet4jRSYDwiwca16UQ,1776788481941,1776791446830,2965,False,Mordekaiser,11,8,13,SILVER IV,2026-04-21 17:10:46.830
EUW1_7827103550,BUl2GLWTSSOhq82V9mpCclpUsksrjEetROtISAXlNW6uA5BErKZbNaQNoMosfet4jRSYDwiwca16UQ,1776696609240,1776699226131,2617,True,Annie,10,12,14,SILVER IV,2026-04-20 15:33:46.131
EUW1_7827074335,BUl2GLWTSSOhq82V9mpCclpUsksrjEetROtISAXlNW6uA5BErKZbNaQNoMosfet4jRSYDwiwca16UQ,1776695370470,1776696372521,1002,False,Ahri,0,5,1,SILVER IV,2026-04-20 14:46:12.521
EUW1_7826729813,BUl2GLWTSSOhq82V9mpCclpUsksrjEetROtISAXlNW6uA5BErKZbNaQNoMosfet4jRSYDwiwca16UQ,1776643993477,1776645456236,1463,False,Fizz,1,11,2,SILVER IV,2026-04-20 00:37:36.236
EUW1_7826580400,BUl2GLWTSSOhq82V9mpCclpUsksrjEetROtISAXlNW6uA5BErKZbNaQNoMosfet4jRSYDwiwca16UQ,1776633590321,1776635323774,1733,True,Garen,13,3,6,SILVER IV,2026-04-19 21:48:43.774
EUW1_7826569325,BUl2GLWTSSOhq82V9mpCclpUsksrjEetROtISAXlNW6uA5BErKZbNaQNoMosfet4jRSYDwiwca16UQ,1776633034156,1776633117449,83,True,Annie,0,0,0,SILVER IV,2026-04-19 21:11:57.449
EUW1_7826442952,BUl2GLWTSSOhq82V9mpCclpUsksrjEetROtISAXlNW6uA5BErKZbNaQNoMosfet4jRSYDwiwca16UQ,1776628199832,1776630093735,1894,True,Fizz,11,3,3,SILVER IV,2026-04-19 20:21:33.735
EUW1_7826370675,BUl2GLWTSSOhq82V9mpCclpUsksrjEetROtISAXlNW6uA5BErKZbNaQNoMosfet4jRSYDwiwca16UQ,1776625856335,1776627912477,2056,True,Ahri,10,5,13,SILVER IV,2026-04-19 19:45:12.477
EUW1_7825939687,BUl2GLWTSSOhq82V9mpCclpUsksrjEetROtISAXlNW6uA5BErKZbNaQNoMosfet4jRSYDwiwca16UQ,1776609146809,1776611264289,2117,True,Mel,7,9,6,SILVER IV,2026-04-19 15:07:44.289
EUW1_7825891091,BUl2GLWTSSOhq82V9mpCclpUsksrjEetROtISAXlNW6uA5BErKZbNaQNoMosfet4jRSYDwiwca16UQ,1776607274826,1776608909959,1635,False,Fizz,3,9,9,SILVER IV,2026-04-19 14:28:29.959
