match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7821502874,BglRiZTZ7qwj3HP7fCW-rKJgXPVIUUF9FRcsIIVP0QAwdFwAcL9k1u8H7-6idC7-T4Ppnuv4EGzRgQ,1776276069084,1776277903732,1834,True,Morgana,1,8,11,GOLD IV,2026-04-15 18:31:43.732
EUW1_7821325765,BglRiZTZ7qwj3HP7fCW-rKJgXPVIUUF9FRcsIIVP0QAwdFwAcL9k1u8H7-6idC7-T4Ppnuv4EGzRgQ,1776267865388,1776269916254,2051,True,Morgana,1,5,19,GOLD IV,2026-04-15 16:18:36.254
EUW1_7821283204,BglRiZTZ7qwj3HP7fCW-rKJgXPVIUUF9FRcsIIVP0QAwdFwAcL9k1u8H7-6idC7-T4Ppnuv4EGzRgQ,1776266006892,1776266924717,918,True,Neeko,3,1,5,GOLD IV,2026-04-15 15:28:44.717
EUW1_7821280053,BglRiZTZ7qwj3HP7fCW-rKJgXPVIUUF9FRcsIIVP0QAwdFwAcL9k1u8H7-6idC7-T4Ppnuv4EGzRgQ,1776265624125,1776265739161,115,False,Morgana,0,0,0,GOLD IV,2026-04-15 15:08:59.161
EUW1_7821232412,BglRiZTZ7qwj3HP7fCW-rKJgXPVIUUF9FRcsIIVP0QAwdFwAcL9k1u8H7-6idC7-T4Ppnuv4EGzRgQ,1776263290520,1776265361056,2070,True,Morgana,6,6,19,GOLD IV,2026-04-15 15:02:41.056
EUW1_7821084658,BglRiZTZ7qwj3HP7fCW-rKJgXPVIUUF9FRcsIIVP0QAwdFwAcL9k1u8H7-6idC7-T4Ppnuv4EGzRgQ,1776252495457,1776254604629,2109,False,Morgana,3,7,13,GOLD IV,2026-04-15 12:03:24.629
EUW1_7821051028,BglRiZTZ7qwj3HP7fCW-rKJgXPVIUUF9FRcsIIVP0QAwdFwAcL9k1u8H7-6idC7-T4Ppnuv4EGzRgQ,1776250121326,1776251888739,1767,True,Morgana,4,11,13,GOLD IV,2026-04-15 11:18:08.739
EUW1_7821023455,BglRiZTZ7qwj3HP7fCW-rKJgXPVIUUF9FRcsIIVP0QAwdFwAcL9k1u8H7-6idC7-T4Ppnuv4EGzRgQ,1776247955830,1776249818015,1862,False,Morgana,3,10,13,GOLD IV,2026-04-15 10:43:38.015
EUW1_7820454795,BglRiZTZ7qwj3HP7fCW-rKJgXPVIUUF9FRcsIIVP0QAwdFwAcL9k1u8H7-6idC7-T4Ppnuv4EGzRgQ,1776188122000,1776189575856,1454,True,Morgana,2,5,19,GOLD IV,2026-04-14 17:59:35.856
EUW1_7820415344,BglRiZTZ7qwj3HP7fCW-rKJgXPVIUUF9FRcsIIVP0QAwdFwAcL9k1u8H7-6idC7-T4Ppnuv4EGzRgQ,1776186404318,1776187827737,1423,False,Lux,2,3,8,GOLD IV,2026-04-14 17:30:27.737
EUW1_7820375962,BglRiZTZ7qwj3HP7fCW-rKJgXPVIUUF9FRcsIIVP0QAwdFwAcL9k1u8H7-6idC7-T4Ppnuv4EGzRgQ,1776184177958,1776185421561,1244,True,Senna,0,1,18,GOLD IV,2026-04-14 16:50:21.561
EUW1_7820146692,BglRiZTZ7qwj3HP7fCW-rKJgXPVIUUF9FRcsIIVP0QAwdFwAcL9k1u8H7-6idC7-T4Ppnuv4EGzRgQ,1776166577008,1776169175973,2599,False,Morgana,4,13,20,GOLD IV,2026-04-14 12:19:35.973
EUW1_7820118655,BglRiZTZ7qwj3HP7fCW-rKJgXPVIUUF9FRcsIIVP0QAwdFwAcL9k1u8H7-6idC7-T4Ppnuv4EGzRgQ,1776163554789,1776165515689,1961,True,Morgana,5,5,24,GOLD IV,2026-04-14 11:18:35.689
EUW1_7820101000,BglRiZTZ7qwj3HP7fCW-rKJgXPVIUUF9FRcsIIVP0QAwdFwAcL9k1u8H7-6idC7-T4Ppnuv4EGzRgQ,1776161835731,1776162845090,1009,True,Morgana,2,1,6,GOLD IV,2026-04-14 10:34:05.090
EUW1_7820080120,BglRiZTZ7qwj3HP7fCW-rKJgXPVIUUF9FRcsIIVP0QAwdFwAcL9k1u8H7-6idC7-T4Ppnuv4EGzRgQ,1776159244843,1776161359955,2115,False,Zyra,1,6,9,GOLD IV,2026-04-14 10:09:19.955
EUW1_7819521077,BglRiZTZ7qwj3HP7fCW-rKJgXPVIUUF9FRcsIIVP0QAwdFwAcL9k1u8H7-6idC7-T4Ppnuv4EGzRgQ,1776102227634,1776104070840,1843,False,Brand,6,8,4,GOLD IV,2026-04-13 18:14:30.840
EUW1_7819480997,BglRiZTZ7qwj3HP7fCW-rKJgXPVIUUF9FRcsIIVP0QAwdFwAcL9k1u8H7-6idC7-T4Ppnuv4EGzRgQ,1776100034511,1776101467740,1433,True,Brand,5,5,15,GOLD IV,2026-04-13 17:31:07.740
EUW1_7819435618,BglRiZTZ7qwj3HP7fCW-rKJgXPVIUUF9FRcsIIVP0QAwdFwAcL9k1u8H7-6idC7-T4Ppnuv4EGzRgQ,1776097670444,1776099683088,2012,False,Senna,3,8,20,GOLD IV,2026-04-13 17:01:23.088
