match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7824863076,C1_N10Jr-s7hGuu-g_XseTvcqNXJeVTRdsDmfQf_zEe1l995woTkxA5WSKRzhO4pcrF8ew07XdJ7-g,1776531564720,1776533975403,2411,True,Leblanc,11,7,3,GOLD IV,2026-04-18 17:39:35.403
EUW1_7824401091,C1_N10Jr-s7hGuu-g_XseTvcqNXJeVTRdsDmfQf_zEe1l995woTkxA5WSKRzhO4pcrF8ew07XdJ7-g,1776505613599,1776507821073,2207,False,Leblanc,15,7,1,GOLD IV,2026-04-18 10:23:41.073
EUW1_7822820316,C1_N10Jr-s7hGuu-g_XseTvcqNXJeVTRdsDmfQf_zEe1l995woTkxA5WSKRzhO4pcrF8ew07XdJ7-g,1776370583917,1776372478620,1895,False,Leblanc,1,9,5,GOLD IV,2026-04-16 20:47:58.620
EUW1_7821401671,C1_N10Jr-s7hGuu-g_XseTvcqNXJeVTRdsDmfQf_zEe1l995woTkxA5WSKRzhO4pcrF8ew07XdJ7-g,1776271533673,1776273928122,2394,True,Leblanc,13,7,8,GOLD IV,2026-04-15 17:25:28.122
EUW1_7821122382,C1_N10Jr-s7hGuu-g_XseTvcqNXJeVTRdsDmfQf_zEe1l995woTkxA5WSKRzhO4pcrF8ew07XdJ7-g,1776256101052,1776257328293,1227,False,Shen,3,5,2,GOLD IV,2026-04-15 12:48:48.293
EUW1_7812577944,C1_N10Jr-s7hGuu-g_XseTvcqNXJeVTRdsDmfQf_zEe1l995woTkxA5WSKRzhO4pcrF8ew07XdJ7-g,1775506751952,1775508404470,1652,False,Leblanc,11,6,2,GOLD IV,2026-04-06 20:46:44.470
EUW1_7812102272,C1_N10Jr-s7hGuu-g_XseTvcqNXJeVTRdsDmfQf_zEe1l995woTkxA5WSKRzhO4pcrF8ew07XdJ7-g,1775485828759,1775487916525,2088,True,Leblanc,11,6,2,GOLD IV,2026-04-06 15:05:16.525
EUW1_7812010012,C1_N10Jr-s7hGuu-g_XseTvcqNXJeVTRdsDmfQf_zEe1l995woTkxA5WSKRzhO4pcrF8ew07XdJ7-g,1775480680670,1775481601614,921,True,Leblanc,4,1,0,GOLD IV,2026-04-06 13:20:01.614
EUW1_7811184428,C1_N10Jr-s7hGuu-g_XseTvcqNXJeVTRdsDmfQf_zEe1l995woTkxA5WSKRzhO4pcrF8ew07XdJ7-g,1775412446057,1775414702364,2256,False,Leblanc,10,5,5,GOLD IV,2026-04-05 18:45:02.364
EUW1_7809755143,C1_N10Jr-s7hGuu-g_XseTvcqNXJeVTRdsDmfQf_zEe1l995woTkxA5WSKRzhO4pcrF8ew07XdJ7-g,1775310468122,1775312546997,2079,False,Leblanc,8,10,6,GOLD IV,2026-04-04 14:22:26.997
EUW1_7809655913,C1_N10Jr-s7hGuu-g_XseTvcqNXJeVTRdsDmfQf_zEe1l995woTkxA5WSKRzhO4pcrF8ew07XdJ7-g,1775304103094,1775306502172,2399,True,Leblanc,23,7,8,GOLD IV,2026-04-04 12:41:42.172
EUW1_7809565642,C1_N10Jr-s7hGuu-g_XseTvcqNXJeVTRdsDmfQf_zEe1l995woTkxA5WSKRzhO4pcrF8ew07XdJ7-g,1775297213365,1775298908440,1695,False,Leblanc,11,5,4,GOLD IV,2026-04-04 10:35:08.440
EUW1_7807831745,C1_N10Jr-s7hGuu-g_XseTvcqNXJeVTRdsDmfQf_zEe1l995woTkxA5WSKRzhO4pcrF8ew07XdJ7-g,1775158006942,1775159427586,1421,True,Leblanc,8,3,7,GOLD IV,2026-04-02 19:50:27.586
EUW1_7786173375,C1_N10Jr-s7hGuu-g_XseTvcqNXJeVTRdsDmfQf_zEe1l995woTkxA5WSKRzhO4pcrF8ew07XdJ7-g,1773848895974,1773851064298,2168,False,Leblanc,8,8,3,GOLD IV,2026-03-18 16:24:24.298
EUW1_7786083948,C1_N10Jr-s7hGuu-g_XseTvcqNXJeVTRdsDmfQf_zEe1l995woTkxA5WSKRzhO4pcrF8ew07XdJ7-g,1773845216996,1773847036455,1819,False,Annie,3,7,7,GOLD IV,2026-03-18 15:17:16.455
EUW1_7785798179,C1_N10Jr-s7hGuu-g_XseTvcqNXJeVTRdsDmfQf_zEe1l995woTkxA5WSKRzhO4pcrF8ew07XdJ7-g,1773829770309,1773831274389,1504,True,Shen,1,5,8,GOLD IV,2026-03-18 10:54:34.389
EUW1_7785185074,C1_N10Jr-s7hGuu-g_XseTvcqNXJeVTRdsDmfQf_zEe1l995woTkxA5WSKRzhO4pcrF8ew07XdJ7-g,1773782755799,1773784263048,1507,True,Leblanc,1,2,4,GOLD IV,2026-03-17 21:51:03.048
EUW1_7782959391,C1_N10Jr-s7hGuu-g_XseTvcqNXJeVTRdsDmfQf_zEe1l995woTkxA5WSKRzhO4pcrF8ew07XdJ7-g,1773680215687,1773682192017,1976,True,Leblanc,14,2,1,GOLD IV,2026-03-16 17:29:52.017
EUW1_7781162192,C1_N10Jr-s7hGuu-g_XseTvcqNXJeVTRdsDmfQf_zEe1l995woTkxA5WSKRzhO4pcrF8ew07XdJ7-g,1773592536678,1773594348857,1812,True,Leblanc,9,6,5,GOLD IV,2026-03-15 17:05:48.857
EUW1_7779041911,C1_N10Jr-s7hGuu-g_XseTvcqNXJeVTRdsDmfQf_zEe1l995woTkxA5WSKRzhO4pcrF8ew07XdJ7-g,1773499530620,1773501859388,2329,False,Leblanc,11,5,8,GOLD IV,2026-03-14 15:24:19.388
EUW1_7775369092,C1_N10Jr-s7hGuu-g_XseTvcqNXJeVTRdsDmfQf_zEe1l995woTkxA5WSKRzhO4pcrF8ew07XdJ7-g,1773313076307,1773315010932,1935,False,Leblanc,10,6,2,GOLD IV,2026-03-12 11:30:10.932
EUW1_7767607510,C1_N10Jr-s7hGuu-g_XseTvcqNXJeVTRdsDmfQf_zEe1l995woTkxA5WSKRzhO4pcrF8ew07XdJ7-g,1772911345063,1772913817951,2473,False,Shen,9,7,12,GOLD IV,2026-03-07 20:03:37.951
