match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7843042935,CQWlHONwBsLuW5tyA148TDCU_SOVz2qwRPvIJilpLjNJtx4dt7TdUHHw5oMeCzACVZHOyqFEO9WFjA,1777939740595,1777941694651,1954,False,Shyvana,4,6,5,GOLD III,2026-05-05 00:41:34.651
EUW1_7843022786,CQWlHONwBsLuW5tyA148TDCU_SOVz2qwRPvIJilpLjNJtx4dt7TdUHHw5oMeCzACVZHOyqFEO9WFjA,1777937216836,1777939328830,2112,False,Shyvana,9,7,16,GOLD III,2026-05-05 00:02:08.830
EUW1_7841883875,CQWlHONwBsLuW5tyA148TDCU_SOVz2qwRPvIJilpLjNJtx4dt7TdUHHw5oMeCzACVZHOyqFEO9WFjA,1777856622193,1777858283813,1661,False,Vi,2,6,7,GOLD III,2026-05-04 01:31:23.813
EUW1_7841873706,CQWlHONwBsLuW5tyA148TDCU_SOVz2qwRPvIJilpLjNJtx4dt7TdUHHw5oMeCzACVZHOyqFEO9WFjA,1777854659822,1777856264530,1605,False,Shyvana,1,4,0,GOLD III,2026-05-04 00:57:44.530
EUW1_7841849583,CQWlHONwBsLuW5tyA148TDCU_SOVz2qwRPvIJilpLjNJtx4dt7TdUHHw5oMeCzACVZHOyqFEO9WFjA,1777851656702,1777853975382,2319,True,Shyvana,7,4,12,GOLD III,2026-05-04 00:19:35.382
EUW1_7841827592,CQWlHONwBsLuW5tyA148TDCU_SOVz2qwRPvIJilpLjNJtx4dt7TdUHHw5oMeCzACVZHOyqFEO9WFjA,1777849401851,1777851318419,1916,False,Shyvana,8,6,5,GOLD III,2026-05-03 23:35:18.419
EUW1_7840652456,CQWlHONwBsLuW5tyA148TDCU_SOVz2qwRPvIJilpLjNJtx4dt7TdUHHw5oMeCzACVZHOyqFEO9WFjA,1777772173806,1777774435754,2262,False,Shyvana,8,7,11,GOLD III,2026-05-03 02:13:55.754
EUW1_7840632627,CQWlHONwBsLuW5tyA148TDCU_SOVz2qwRPvIJilpLjNJtx4dt7TdUHHw5oMeCzACVZHOyqFEO9WFjA,1777769440455,1777771516340,2076,False,Shyvana,5,10,4,GOLD III,2026-05-03 01:25:16.340
EUW1_7840610194,CQWlHONwBsLuW5tyA148TDCU_SOVz2qwRPvIJilpLjNJtx4dt7TdUHHw5oMeCzACVZHOyqFEO9WFjA,1777767441353,1777769137947,1696,False,Shyvana,7,9,4,GOLD III,2026-05-03 00:45:37.947
EUW1_7840583155,CQWlHONwBsLuW5tyA148TDCU_SOVz2qwRPvIJilpLjNJtx4dt7TdUHHw5oMeCzACVZHOyqFEO9WFjA,1777765245475,1777767121187,1875,False,Vi,6,8,2,GOLD III,2026-05-03 00:12:01.187
EUW1_7840533300,CQWlHONwBsLuW5tyA148TDCU_SOVz2qwRPvIJilpLjNJtx4dt7TdUHHw5oMeCzACVZHOyqFEO9WFjA,1777762294028,1777764967573,2673,True,Shyvana,5,6,19,GOLD III,2026-05-02 23:36:07.573
EUW1_7839444682,CQWlHONwBsLuW5tyA148TDCU_SOVz2qwRPvIJilpLjNJtx4dt7TdUHHw5oMeCzACVZHOyqFEO9WFjA,1777680156140,1777681883780,1727,True,Shyvana,3,5,8,GOLD III,2026-05-02 00:31:23.780
EUW1_7839405971,CQWlHONwBsLuW5tyA148TDCU_SOVz2qwRPvIJilpLjNJtx4dt7TdUHHw5oMeCzACVZHOyqFEO9WFjA,1777677496533,1777679632098,2135,True,Shyvana,5,7,14,GOLD III,2026-05-01 23:53:52.098
EUW1_7839362811,CQWlHONwBsLuW5tyA148TDCU_SOVz2qwRPvIJilpLjNJtx4dt7TdUHHw5oMeCzACVZHOyqFEO9WFjA,1777674893660,1777677179319,2286,False,Vi,11,11,9,GOLD III,2026-05-01 23:12:59.319
EUW1_7839305345,CQWlHONwBsLuW5tyA148TDCU_SOVz2qwRPvIJilpLjNJtx4dt7TdUHHw5oMeCzACVZHOyqFEO9WFjA,1777672315825,1777674244830,1929,True,Shyvana,10,4,13,GOLD III,2026-05-01 22:24:04.830
EUW1_7839269610,CQWlHONwBsLuW5tyA148TDCU_SOVz2qwRPvIJilpLjNJtx4dt7TdUHHw5oMeCzACVZHOyqFEO9WFjA,1777670565257,1777672088785,1523,True,Shyvana,4,3,10,GOLD III,2026-05-01 21:48:08.785
