match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7829568315,CSAk66Gft5gCTDfcZxJqolMiKM1_Fi7is31WIKXa7TPP4yljEDILkSp4xPACdWqz-Uwsjymsok9QxA,1776888041845,1776890474508,2433,False,Sivir,6,12,15,GOLD IV,2026-04-22 20:41:14.508
EUW1_7829494932,CSAk66Gft5gCTDfcZxJqolMiKM1_Fi7is31WIKXa7TPP4yljEDILkSp4xPACdWqz-Uwsjymsok9QxA,1776885033886,1776887301345,2267,True,Caitlyn,8,7,11,GOLD IV,2026-04-22 19:48:21.345
EUW1_7829454472,CSAk66Gft5gCTDfcZxJqolMiKM1_Fi7is31WIKXa7TPP4yljEDILkSp4xPACdWqz-Uwsjymsok9QxA,1776883173452,1776884709216,1536,True,Caitlyn,12,2,6,GOLD IV,2026-04-22 19:05:09.216
EUW1_7829393857,CSAk66Gft5gCTDfcZxJqolMiKM1_Fi7is31WIKXa7TPP4yljEDILkSp4xPACdWqz-Uwsjymsok9QxA,1776880677335,1776882854249,2177,False,Jinx,5,12,15,GOLD IV,2026-04-22 18:34:14.249
EUW1_7828422223,CSAk66Gft5gCTDfcZxJqolMiKM1_Fi7is31WIKXa7TPP4yljEDILkSp4xPACdWqz-Uwsjymsok9QxA,1776795813554,1776797411044,1597,False,Ezreal,1,8,1,GOLD IV,2026-04-21 18:50:11.044
EUW1_7828359197,CSAk66Gft5gCTDfcZxJqolMiKM1_Fi7is31WIKXa7TPP4yljEDILkSp4xPACdWqz-Uwsjymsok9QxA,1776793565531,1776795436962,1871,False,Caitlyn,1,6,8,GOLD IV,2026-04-21 18:17:16.962
EUW1_7828318260,CSAk66Gft5gCTDfcZxJqolMiKM1_Fi7is31WIKXa7TPP4yljEDILkSp4xPACdWqz-Uwsjymsok9QxA,1776791687802,1776793109600,1422,False,Jinx,8,5,9,GOLD IV,2026-04-21 17:38:29.600
EUW1_7828274311,CSAk66Gft5gCTDfcZxJqolMiKM1_Fi7is31WIKXa7TPP4yljEDILkSp4xPACdWqz-Uwsjymsok9QxA,1776789666262,1776791421487,1755,False,Jinx,3,8,10,GOLD IV,2026-04-21 17:10:21.487
EUW1_7828242580,CSAk66Gft5gCTDfcZxJqolMiKM1_Fi7is31WIKXa7TPP4yljEDILkSp4xPACdWqz-Uwsjymsok9QxA,1776787608529,1776789403391,1795,True,Jinx,5,4,12,GOLD IV,2026-04-21 16:36:43.391
EUW1_7822206752,CSAk66Gft5gCTDfcZxJqolMiKM1_Fi7is31WIKXa7TPP4yljEDILkSp4xPACdWqz-Uwsjymsok9QxA,1776340724667,1776342312726,1588,False,Vayne,5,9,4,GOLD IV,2026-04-16 12:25:12.726
EUW1_7822173346,CSAk66Gft5gCTDfcZxJqolMiKM1_Fi7is31WIKXa7TPP4yljEDILkSp4xPACdWqz-Uwsjymsok9QxA,1776338542277,1776340422288,1880,True,Jinx,5,8,14,GOLD IV,2026-04-16 11:53:42.288
