match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7832360891,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1777130561865,1777133597636,3036,False,LeeSin,8,13,9,GOLD IV,2026-04-25 16:13:17.636
EUW1_7831925924,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1777085922133,1777087647107,1725,True,LeeSin,0,6,6,GOLD IV,2026-04-25 03:27:27.107
EUW1_7825474080,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1776564948854,1776567192636,2244,False,Irelia,3,12,8,GOLD IV,2026-04-19 02:53:12.636
EUW1_7825461081,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1776562271927,1776564416141,2144,True,Irelia,2,10,5,GOLD IV,2026-04-19 02:06:56.141
EUW1_7825442006,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1776559789849,1776561901680,2112,False,Irelia,4,11,7,GOLD IV,2026-04-19 01:25:01.680
EUW1_7825331445,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1776551861238,1776553777579,1916,True,Irelia,11,4,5,GOLD IV,2026-04-18 23:09:37.579
EUW1_7824903795,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1776533508184,1776535807660,2299,False,Irelia,8,10,5,GOLD IV,2026-04-18 18:10:07.660
EUW1_7824856395,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1776531351698,1776532992354,1641,True,Irelia,12,10,6,GOLD IV,2026-04-18 17:23:12.354
EUW1_7824853768,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1776530976640,1776531052582,76,False,Mel,0,0,0,GOLD IV,2026-04-18 16:50:52.582
EUW1_7823988265,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1776459834709,1776461884033,2049,True,Irelia,9,5,5,GOLD IV,2026-04-17 21:38:04.033
EUW1_7823941107,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1776457809426,1776459402101,1592,True,Irelia,13,11,6,GOLD IV,2026-04-17 20:56:42.101
EUW1_7823863984,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1776454865516,1776456014507,1149,True,Irelia,12,0,2,GOLD IV,2026-04-17 20:00:14.507
EUW1_7823158102,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1776407597115,1776409203390,1606,False,Rengar,5,10,3,GOLD IV,2026-04-17 07:00:03.390
EUW1_7823152750,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1776404976751,1776407361928,2385,False,LeeSin,10,5,8,GOLD IV,2026-04-17 06:29:21.928
EUW1_7823141422,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1776402984979,1776403901155,916,False,Gragas,0,4,5,GOLD IV,2026-04-17 05:31:41.155
EUW1_7823139937,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1776400368147,1776402635581,2267,False,Kayn,12,14,3,GOLD IV,2026-04-17 05:10:35.581
EUW1_7823133243,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1776397722861,1776399412848,1690,True,Irelia,14,9,3,GOLD IV,2026-04-17 04:16:52.848
EUW1_7823130665,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1776394330891,1776396125080,1794,False,Irelia,1,15,2,GOLD IV,2026-04-17 03:22:05.080
EUW1_7823122172,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1776392660403,1776394010550,1350,False,Irelia,4,7,0,GOLD IV,2026-04-17 02:46:50.550
EUW1_7823044416,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1776381200360,1776382470600,1270,False,Mel,0,7,0,GOLD IV,2026-04-16 23:34:30.600
EUW1_7822048816,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1776323650598,1776323759267,108,False,Irelia,0,0,0,GOLD IV,2026-04-16 07:15:59.267
EUW1_7821988189,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1776303069492,1776305032018,1962,False,Irelia,13,7,4,GOLD IV,2026-04-16 02:03:52.018
EUW1_7821646713,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1776281614532,1776283652670,2038,True,Irelia,15,5,6,GOLD IV,2026-04-15 20:07:32.670
EUW1_7820360538,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1776183000254,1776185147034,2147,False,Irelia,5,16,3,GOLD IV,2026-04-14 16:45:47.034
EUW1_7819419946,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1776096909122,1776098553727,1644,True,Irelia,9,5,1,GOLD IV,2026-04-13 16:42:33.727
EUW1_7815677542,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1775781653008,1775783742787,2090,True,Irelia,8,14,4,GOLD IV,2026-04-10 01:15:42.787
EUW1_7814764537,DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,1775708922727,1775710817381,1895,False,Irelia,8,12,9,GOLD IV,2026-04-09 05:00:17.381
