match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7826823452,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776673203613,1776675392809,2189,False,Jax,8,8,0,SILVER I,2026-04-20 08:56:32.809
EUW1_7826712711,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776641908792,1776643480265,1571,True,Jax,14,3,5,SILVER I,2026-04-20 00:04:40.265
EUW1_7826696561,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776640024283,1776641523543,1499,False,Jax,7,6,0,SILVER I,2026-04-19 23:32:03.543
EUW1_7826183330,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776619413638,1776621877190,2464,True,Jax,3,19,5,SILVER I,2026-04-19 18:04:37.190
EUW1_7826081499,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776615003149,1776616596712,1594,True,MonkeyKing,16,2,6,SILVER I,2026-04-19 16:36:36.712
EUW1_7826045694,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776613657716,1776614646792,989,True,MonkeyKing,5,0,2,SILVER I,2026-04-19 16:04:06.792
EUW1_7825989970,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776611401128,1776613047885,1647,True,Jax,5,5,6,SILVER I,2026-04-19 15:37:27.885
EUW1_7825840538,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776604688876,1776607446928,2758,False,Talon,16,7,9,SILVER I,2026-04-19 14:04:06.928
EUW1_7824875585,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776531956284,1776533624663,1668,True,Talon,7,2,11,SILVER I,2026-04-18 17:33:44.663
EUW1_7824828941,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776529833860,1776531544097,1710,True,Talon,11,2,5,SILVER I,2026-04-18 16:59:04.097
EUW1_7824789773,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776527897757,1776529422978,1525,True,Jax,7,6,4,SILVER I,2026-04-18 16:23:42.978
EUW1_7824748367,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776526098105,1776527666716,1569,False,Kaisa,2,7,0,SILVER I,2026-04-18 15:54:26.716
EUW1_7824630298,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776520083019,1776521531658,1449,False,Kaisa,0,2,0,SILVER I,2026-04-18 14:12:11.658
EUW1_7824593807,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776517775670,1776519696816,1921,False,Talon,11,10,4,SILVER I,2026-04-18 13:41:36.816
EUW1_7824080530,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776462951288,1776464264349,1313,True,Jax,9,1,2,SILVER I,2026-04-17 22:17:44.349
EUW1_7824034430,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776461372064,1776462554250,1182,True,Jax,6,0,2,SILVER I,2026-04-17 21:49:14.250
EUW1_7823967541,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776458634509,1776460898432,2264,False,Talon,12,8,4,SILVER I,2026-04-17 21:21:38.432
EUW1_7823029262,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776380170307,1776382490564,2320,False,Talon,7,4,9,SILVER I,2026-04-16 23:34:50.564
EUW1_7823030774,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776379796788,1776379879259,82,False,Talon,0,0,0,SILVER I,2026-04-16 22:51:19.259
EUW1_7822979913,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776377109752,1776379538377,2428,False,Talon,9,6,15,SILVER I,2026-04-16 22:45:38.377
EUW1_7822950475,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776375242230,1776376637156,1395,True,Talon,4,1,4,SILVER I,2026-04-16 21:57:17.156
EUW1_7822916968,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776374068129,1776375008439,940,False,Talon,1,5,1,SILVER I,2026-04-16 21:30:08.439
EUW1_7821998979,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776305437360,1776307024138,1587,True,Talon,17,0,7,SILVER I,2026-04-16 02:37:04.138
EUW1_7821990030,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776303458076,1776305146855,1689,False,Talon,5,5,6,SILVER I,2026-04-16 02:05:46.855
EUW1_7821990740,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776303127596,1776303235295,108,True,Talon,0,0,0,SILVER I,2026-04-16 01:33:55.295
EUW1_7821981593,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776301098769,1776302728168,1629,True,Talon,16,1,10,SILVER I,2026-04-16 01:25:28.168
EUW1_7821965083,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776299070080,1776300464668,1395,False,Sett,5,2,2,SILVER I,2026-04-16 00:47:44.668
EUW1_7821944682,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776296467987,1776298786577,2318,True,Sett,9,8,6,SILVER I,2026-04-16 00:19:46.577
EUW1_7821921895,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776294660202,1776296190652,1530,False,Rengar,2,6,6,SILVER I,2026-04-15 23:36:30.652
EUW1_7821893744,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776292557542,1776294380977,1823,False,Talon,3,16,5,SILVER I,2026-04-15 23:06:20.977
EUW1_7819951632,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776122388042,1776123749403,1361,False,Pantheon,5,6,5,SILVER I,2026-04-13 23:42:29.403
EUW1_7819476506,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1776099866813,1776101671986,1805,False,Talon,10,4,5,SILVER I,2026-04-13 17:34:31.986
EUW1_7817955002,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1775982794782,1775984218321,1423,False,Pantheon,7,4,2,SILVER I,2026-04-12 08:56:58.321
EUW1_7817789271,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1775949564249,1775951380048,1816,True,Pantheon,9,0,7,SILVER I,2026-04-11 23:49:40.048
EUW1_7817352920,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1775928898405,1775930439600,1541,False,Talon,5,5,7,SILVER I,2026-04-11 18:00:39.600
EUW1_7817320701,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1775926860492,1775928521149,1661,False,Rengar,2,9,4,SILVER I,2026-04-11 17:28:41.149
EUW1_7817073393,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1775913542521,1775915108591,1566,True,Talon,12,4,3,SILVER I,2026-04-11 13:45:08.591
EUW1_7817057939,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1775912300376,1775913231519,931,True,Talon,7,0,3,SILVER I,2026-04-11 13:13:51.519
EUW1_7817021484,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1775909643786,1775911490518,1847,True,Talon,8,1,11,SILVER I,2026-04-11 12:44:50.518
EUW1_7816883515,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1775898280914,1775899717654,1437,True,Talon,7,1,4,SILVER I,2026-04-11 09:28:37.654
EUW1_7816844031,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1775893555145,1775895277677,1722,True,Talon,10,3,3,SILVER I,2026-04-11 08:14:37.677
EUW1_7816605363,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1775858591087,1775860049600,1458,True,Talon,9,0,7,SILVER I,2026-04-10 22:27:29.600
EUW1_7816532950,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1775855431319,1775857787767,2356,True,Rengar,7,13,8,SILVER I,2026-04-10 21:49:47.767
EUW1_7812205027,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1775490908937,1775492659825,1751,True,Talon,18,2,10,SILVER I,2026-04-06 16:24:19.825
EUW1_7811375065,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1775420082068,1775421211420,1129,False,Rengar,1,4,0,SILVER I,2026-04-05 20:33:31.420
EUW1_7811311929,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1775417690870,1775419667757,1977,False,Rengar,7,1,3,SILVER I,2026-04-05 20:07:47.757
EUW1_7811203845,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1775413046816,1775415039109,1992,True,Rengar,13,4,8,SILVER I,2026-04-05 18:50:39.109
EUW1_7810672584,DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,1775381468818,1775383985193,2516,False,Rengar,20,9,4,SILVER I,2026-04-05 10:13:05.193
