match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7830689514,E7uWhBg4TilfxicoFxWpDiwfK8Kb5NhGe12I3tIX_SXzccv7kAW7L4NPrA76ggiW8QdhN67PeS389A,1776979136660,1776980750132,1613,True,Ziggs,3,3,5,SILVER I,2026-04-23 21:45:50.132
EUW1_7830410322,E7uWhBg4TilfxicoFxWpDiwfK8Kb5NhGe12I3tIX_SXzccv7kAW7L4NPrA76ggiW8QdhN67PeS389A,1776967969084,1776969922317,1953,True,Ziggs,4,7,8,SILVER I,2026-04-23 18:45:22.317
EUW1_7830391504,E7uWhBg4TilfxicoFxWpDiwfK8Kb5NhGe12I3tIX_SXzccv7kAW7L4NPrA76ggiW8QdhN67PeS389A,1776966788897,1776967716189,927,False,Ziggs,2,0,0,SILVER I,2026-04-23 18:08:36.189
EUW1_7830352793,E7uWhBg4TilfxicoFxWpDiwfK8Kb5NhGe12I3tIX_SXzccv7kAW7L4NPrA76ggiW8QdhN67PeS389A,1776965057173,1776966467847,1411,False,Ziggs,3,6,3,SILVER I,2026-04-23 17:47:47.847
EUW1_7830294274,E7uWhBg4TilfxicoFxWpDiwfK8Kb5NhGe12I3tIX_SXzccv7kAW7L4NPrA76ggiW8QdhN67PeS389A,1776962284570,1776964800813,2516,False,TwistedFate,14,11,10,SILVER I,2026-04-23 17:20:00.813
EUW1_7830249690,E7uWhBg4TilfxicoFxWpDiwfK8Kb5NhGe12I3tIX_SXzccv7kAW7L4NPrA76ggiW8QdhN67PeS389A,1776959559395,1776961909976,2350,False,KogMaw,17,6,13,SILVER I,2026-04-23 16:31:49.976
EUW1_7830209743,E7uWhBg4TilfxicoFxWpDiwfK8Kb5NhGe12I3tIX_SXzccv7kAW7L4NPrA76ggiW8QdhN67PeS389A,1776957240345,1776959227894,1987,True,TwistedFate,21,0,7,SILVER I,2026-04-23 15:47:07.894
EUW1_7830166447,E7uWhBg4TilfxicoFxWpDiwfK8Kb5NhGe12I3tIX_SXzccv7kAW7L4NPrA76ggiW8QdhN67PeS389A,1776954952317,1776956925855,1973,True,TwistedFate,11,6,4,SILVER I,2026-04-23 15:08:45.855
EUW1_7830148193,E7uWhBg4TilfxicoFxWpDiwfK8Kb5NhGe12I3tIX_SXzccv7kAW7L4NPrA76ggiW8QdhN67PeS389A,1776953682357,1776954714801,1032,False,TwistedFate,7,3,0,SILVER I,2026-04-23 14:31:54.801
EUW1_7830123165,E7uWhBg4TilfxicoFxWpDiwfK8Kb5NhGe12I3tIX_SXzccv7kAW7L4NPrA76ggiW8QdhN67PeS389A,1776951824701,1776953277411,1453,False,Ziggs,8,6,2,SILVER I,2026-04-23 14:07:57.411
EUW1_7830098622,E7uWhBg4TilfxicoFxWpDiwfK8Kb5NhGe12I3tIX_SXzccv7kAW7L4NPrA76ggiW8QdhN67PeS389A,1776949624976,1776951342214,1717,False,Ziggs,3,7,2,SILVER I,2026-04-23 13:35:42.214
EUW1_7830054969,E7uWhBg4TilfxicoFxWpDiwfK8Kb5NhGe12I3tIX_SXzccv7kAW7L4NPrA76ggiW8QdhN67PeS389A,1776946520047,1776949259624,2742,True,Ziggs,16,5,14,SILVER I,2026-04-23 13:00:59.624
EUW1_7830024431,E7uWhBg4TilfxicoFxWpDiwfK8Kb5NhGe12I3tIX_SXzccv7kAW7L4NPrA76ggiW8QdhN67PeS389A,1776944058080,1776945982613,1924,True,Ziggs,10,3,12,SILVER I,2026-04-23 12:06:22.613
EUW1_7829857605,E7uWhBg4TilfxicoFxWpDiwfK8Kb5NhGe12I3tIX_SXzccv7kAW7L4NPrA76ggiW8QdhN67PeS389A,1776909120085,1776910884983,1765,False,Ziggs,12,5,9,SILVER I,2026-04-23 02:21:24.983
EUW1_7829845502,E7uWhBg4TilfxicoFxWpDiwfK8Kb5NhGe12I3tIX_SXzccv7kAW7L4NPrA76ggiW8QdhN67PeS389A,1776906238374,1776908737420,2499,False,Ziggs,11,6,23,SILVER I,2026-04-23 01:45:37.420
EUW1_7829844465,E7uWhBg4TilfxicoFxWpDiwfK8Kb5NhGe12I3tIX_SXzccv7kAW7L4NPrA76ggiW8QdhN67PeS389A,1776905912703,1776905992425,80,True,TwistedFate,0,0,0,SILVER I,2026-04-23 00:59:52.425
EUW1_7829814313,E7uWhBg4TilfxicoFxWpDiwfK8Kb5NhGe12I3tIX_SXzccv7kAW7L4NPrA76ggiW8QdhN67PeS389A,1776902048932,1776904046910,1998,True,Ziggs,14,2,5,SILVER I,2026-04-23 00:27:26.910
EUW1_7829678849,E7uWhBg4TilfxicoFxWpDiwfK8Kb5NhGe12I3tIX_SXzccv7kAW7L4NPrA76ggiW8QdhN67PeS389A,1776892476812,1776894691712,2215,True,Ziggs,7,5,17,SILVER I,2026-04-22 21:51:31.712
EUW1_7829619002,E7uWhBg4TilfxicoFxWpDiwfK8Kb5NhGe12I3tIX_SXzccv7kAW7L4NPrA76ggiW8QdhN67PeS389A,1776890039585,1776892223199,2183,False,Ziggs,11,5,16,SILVER I,2026-04-22 21:10:23.199
EUW1_7829549381,E7uWhBg4TilfxicoFxWpDiwfK8Kb5NhGe12I3tIX_SXzccv7kAW7L4NPrA76ggiW8QdhN67PeS389A,1776887292691,1776889562549,2270,False,Teemo,1,8,4,SILVER I,2026-04-22 20:26:02.549
