match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7841284496,EIBWAQSEc5cUOn5Rl7A9s9mvNnth_Gm2gZC6MPhMQWl-e_cY-h68zV-orS3zw7ZAudq-2Wv3SlTRag,1777826241053,1777828468271,2227,False,Ziggs,0,12,9,SILVER II,2026-05-03 17:14:28.271
EUW1_7834479096,EIBWAQSEc5cUOn5Rl7A9s9mvNnth_Gm2gZC6MPhMQWl-e_cY-h68zV-orS3zw7ZAudq-2Wv3SlTRag,1777299152750,1777301236839,2084,True,MissFortune,11,5,11,SILVER II,2026-04-27 14:47:16.839
EUW1_7832216639,EIBWAQSEc5cUOn5Rl7A9s9mvNnth_Gm2gZC6MPhMQWl-e_cY-h68zV-orS3zw7ZAudq-2Wv3SlTRag,1777122352850,1777124216668,1864,True,Smolder,9,4,5,SILVER II,2026-04-25 13:36:56.668
EUW1_7832169922,EIBWAQSEc5cUOn5Rl7A9s9mvNnth_Gm2gZC6MPhMQWl-e_cY-h68zV-orS3zw7ZAudq-2Wv3SlTRag,1777119466305,1777122016192,2550,True,Senna,14,6,17,SILVER II,2026-04-25 13:00:16.192
EUW1_7832139553,EIBWAQSEc5cUOn5Rl7A9s9mvNnth_Gm2gZC6MPhMQWl-e_cY-h68zV-orS3zw7ZAudq-2Wv3SlTRag,1777117200905,1777119200520,1999,False,MissFortune,12,8,6,SILVER II,2026-04-25 12:13:20.520
EUW1_7831557943,EIBWAQSEc5cUOn5Rl7A9s9mvNnth_Gm2gZC6MPhMQWl-e_cY-h68zV-orS3zw7ZAudq-2Wv3SlTRag,1777060145301,1777062143746,1998,False,MissFortune,12,10,6,SILVER II,2026-04-24 20:22:23.746
EUW1_7831153003,EIBWAQSEc5cUOn5Rl7A9s9mvNnth_Gm2gZC6MPhMQWl-e_cY-h68zV-orS3zw7ZAudq-2Wv3SlTRag,1777038776347,1777040587788,1811,True,MissFortune,10,5,9,SILVER II,2026-04-24 14:23:07.788
EUW1_7831025125,EIBWAQSEc5cUOn5Rl7A9s9mvNnth_Gm2gZC6MPhMQWl-e_cY-h68zV-orS3zw7ZAudq-2Wv3SlTRag,1777029196122,1777031753179,2557,True,MissFortune,11,7,7,SILVER II,2026-04-24 11:55:53.179
EUW1_7830658378,EIBWAQSEc5cUOn5Rl7A9s9mvNnth_Gm2gZC6MPhMQWl-e_cY-h68zV-orS3zw7ZAudq-2Wv3SlTRag,1776978178608,1776979633411,1455,False,Taliyah,3,9,1,SILVER II,2026-04-23 21:27:13.411
EUW1_7830654073,EIBWAQSEc5cUOn5Rl7A9s9mvNnth_Gm2gZC6MPhMQWl-e_cY-h68zV-orS3zw7ZAudq-2Wv3SlTRag,1776977780566,1776977856519,76,True,Taliyah,0,0,0,SILVER II,2026-04-23 20:57:36.519
EUW1_7830565316,EIBWAQSEc5cUOn5Rl7A9s9mvNnth_Gm2gZC6MPhMQWl-e_cY-h68zV-orS3zw7ZAudq-2Wv3SlTRag,1776974456114,1776977299801,2844,True,Anivia,1,12,6,SILVER II,2026-04-23 20:48:19.801
EUW1_7830240635,EIBWAQSEc5cUOn5Rl7A9s9mvNnth_Gm2gZC6MPhMQWl-e_cY-h68zV-orS3zw7ZAudq-2Wv3SlTRag,1776958995820,1776961229396,2233,True,MissFortune,14,6,12,SILVER II,2026-04-23 16:20:29.396
