match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7837096577,EMTMNnVOFvC2N2BhH-Y9ITv9owWMfoXTDJndbsHimGvQO89NeGfQKcMyc87x0OfvmvmObzlnw7kPRg,1777499251686,1777501247456,1996,True,Soraka,1,8,16,GOLD IV,2026-04-29 22:20:47.456
EUW1_7837045567,EMTMNnVOFvC2N2BhH-Y9ITv9owWMfoXTDJndbsHimGvQO89NeGfQKcMyc87x0OfvmvmObzlnw7kPRg,1777496918795,1777498954415,2035,False,Pyke,14,16,10,GOLD IV,2026-04-29 21:42:34.415
EUW1_7836978391,EMTMNnVOFvC2N2BhH-Y9ITv9owWMfoXTDJndbsHimGvQO89NeGfQKcMyc87x0OfvmvmObzlnw7kPRg,1777494596489,1777496629597,2033,True,Ahri,1,6,19,GOLD IV,2026-04-29 21:03:49.597
EUW1_7836925112,EMTMNnVOFvC2N2BhH-Y9ITv9owWMfoXTDJndbsHimGvQO89NeGfQKcMyc87x0OfvmvmObzlnw7kPRg,1777492648500,1777494263858,1615,False,Morgana,5,11,11,GOLD IV,2026-04-29 20:24:23.858
EUW1_7836794719,EMTMNnVOFvC2N2BhH-Y9ITv9owWMfoXTDJndbsHimGvQO89NeGfQKcMyc87x0OfvmvmObzlnw7kPRg,1777487469448,1777489626947,2157,True,Bard,2,8,19,GOLD IV,2026-04-29 19:07:06.947
EUW1_7836727862,EMTMNnVOFvC2N2BhH-Y9ITv9owWMfoXTDJndbsHimGvQO89NeGfQKcMyc87x0OfvmvmObzlnw7kPRg,1777484937263,1777487149014,2212,False,Poppy,8,11,19,GOLD IV,2026-04-29 18:25:49.014
EUW1_7836665394,EMTMNnVOFvC2N2BhH-Y9ITv9owWMfoXTDJndbsHimGvQO89NeGfQKcMyc87x0OfvmvmObzlnw7kPRg,1777482406140,1777484292104,1886,True,Poppy,0,8,13,GOLD IV,2026-04-29 17:38:12.104
EUW1_7835934428,EMTMNnVOFvC2N2BhH-Y9ITv9owWMfoXTDJndbsHimGvQO89NeGfQKcMyc87x0OfvmvmObzlnw7kPRg,1777408782863,1777410735466,1952,True,Poppy,8,8,20,GOLD IV,2026-04-28 21:12:15.466
EUW1_7835888370,EMTMNnVOFvC2N2BhH-Y9ITv9owWMfoXTDJndbsHimGvQO89NeGfQKcMyc87x0OfvmvmObzlnw7kPRg,1777406707562,1777408379868,1673,False,Bard,2,12,13,GOLD IV,2026-04-28 20:32:59.868
EUW1_7835849313,EMTMNnVOFvC2N2BhH-Y9ITv9owWMfoXTDJndbsHimGvQO89NeGfQKcMyc87x0OfvmvmObzlnw7kPRg,1777405138071,1777406381048,1243,True,Poppy,1,5,13,GOLD IV,2026-04-28 19:59:41.048
EUW1_7835801022,EMTMNnVOFvC2N2BhH-Y9ITv9owWMfoXTDJndbsHimGvQO89NeGfQKcMyc87x0OfvmvmObzlnw7kPRg,1777402814987,1777404845723,2031,True,Lux,1,13,10,GOLD IV,2026-04-28 19:34:05.723
EUW1_7835591315,EMTMNnVOFvC2N2BhH-Y9ITv9owWMfoXTDJndbsHimGvQO89NeGfQKcMyc87x0OfvmvmObzlnw7kPRg,1777392817886,1777394726538,1909,False,Soraka,1,10,11,GOLD IV,2026-04-28 16:45:26.538
EUW1_7835584196,EMTMNnVOFvC2N2BhH-Y9ITv9owWMfoXTDJndbsHimGvQO89NeGfQKcMyc87x0OfvmvmObzlnw7kPRg,1777392460462,1777392552578,92,False,Morgana,0,0,1,GOLD IV,2026-04-28 16:09:12.578
EUW1_7835028182,EMTMNnVOFvC2N2BhH-Y9ITv9owWMfoXTDJndbsHimGvQO89NeGfQKcMyc87x0OfvmvmObzlnw7kPRg,1777324482004,1777326399983,1918,True,Pyke,9,10,9,GOLD IV,2026-04-27 21:46:39.983
EUW1_7834972269,EMTMNnVOFvC2N2BhH-Y9ITv9owWMfoXTDJndbsHimGvQO89NeGfQKcMyc87x0OfvmvmObzlnw7kPRg,1777322152681,1777324099335,1946,False,Bard,4,11,16,GOLD IV,2026-04-27 21:08:19.335
EUW1_7834911966,EMTMNnVOFvC2N2BhH-Y9ITv9owWMfoXTDJndbsHimGvQO89NeGfQKcMyc87x0OfvmvmObzlnw7kPRg,1777319756144,1777321903018,2147,True,Bard,4,10,22,GOLD IV,2026-04-27 20:31:43.018
EUW1_7834851308,EMTMNnVOFvC2N2BhH-Y9ITv9owWMfoXTDJndbsHimGvQO89NeGfQKcMyc87x0OfvmvmObzlnw7kPRg,1777317635068,1777319394336,1759,True,Bard,4,6,8,GOLD IV,2026-04-27 19:49:54.336
EUW1_7834798053,EMTMNnVOFvC2N2BhH-Y9ITv9owWMfoXTDJndbsHimGvQO89NeGfQKcMyc87x0OfvmvmObzlnw7kPRg,1777315560823,1777317342555,1782,False,Morgana,2,7,13,GOLD IV,2026-04-27 19:15:42.555
EUW1_7834711620,EMTMNnVOFvC2N2BhH-Y9ITv9owWMfoXTDJndbsHimGvQO89NeGfQKcMyc87x0OfvmvmObzlnw7kPRg,1777311694563,1777313398806,1704,True,Ahri,1,11,11,GOLD IV,2026-04-27 18:09:58.806
EUW1_7834656543,EMTMNnVOFvC2N2BhH-Y9ITv9owWMfoXTDJndbsHimGvQO89NeGfQKcMyc87x0OfvmvmObzlnw7kPRg,1777309036329,1777311399746,2363,True,Lux,8,13,18,GOLD IV,2026-04-27 17:36:39.746
EUW1_7832411367,EMTMNnVOFvC2N2BhH-Y9ITv9owWMfoXTDJndbsHimGvQO89NeGfQKcMyc87x0OfvmvmObzlnw7kPRg,1777133548867,1777135644494,2095,True,Akali,5,10,6,GOLD IV,2026-04-25 16:47:24.494
EUW1_7828674268,EMTMNnVOFvC2N2BhH-Y9ITv9owWMfoXTDJndbsHimGvQO89NeGfQKcMyc87x0OfvmvmObzlnw7kPRg,1776805439843,1776808145351,2705,False,Kayn,5,13,23,GOLD IV,2026-04-21 21:49:05.351
EUW1_7828619091,EMTMNnVOFvC2N2BhH-Y9ITv9owWMfoXTDJndbsHimGvQO89NeGfQKcMyc87x0OfvmvmObzlnw7kPRg,1776803194702,1776805028349,1834,False,Thresh,2,13,9,GOLD IV,2026-04-21 20:57:08.349
EUW1_7828563024,EMTMNnVOFvC2N2BhH-Y9ITv9owWMfoXTDJndbsHimGvQO89NeGfQKcMyc87x0OfvmvmObzlnw7kPRg,1776801147697,1776802682265,1534,False,Soraka,3,14,10,GOLD IV,2026-04-21 20:18:02.265
