match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7828477521,EU0ixOPqOzHWmCekWoywu80aOd5boVqGu1Ez1eTAtLCR9Krv72rTBRHY6w6vUPHinlpJVhvP46CFig,1776797738231,1776799338792,1600,False,Ekko,5,7,6,SILVER I,2026-04-21 19:22:18.792
EUW1_7828335627,EU0ixOPqOzHWmCekWoywu80aOd5boVqGu1Ez1eTAtLCR9Krv72rTBRHY6w6vUPHinlpJVhvP46CFig,1776792229736,1776794321120,2091,False,MasterYi,6,12,6,SILVER I,2026-04-21 17:58:41.120
EUW1_7828199615,EU0ixOPqOzHWmCekWoywu80aOd5boVqGu1Ez1eTAtLCR9Krv72rTBRHY6w6vUPHinlpJVhvP46CFig,1776785472455,1776786587189,1115,True,Jax,2,2,1,SILVER I,2026-04-21 15:49:47.189
EUW1_7827896466,EU0ixOPqOzHWmCekWoywu80aOd5boVqGu1Ez1eTAtLCR9Krv72rTBRHY6w6vUPHinlpJVhvP46CFig,1776759900025,1776762138592,2238,False,Jax,10,10,2,SILVER I,2026-04-21 09:02:18.592
EUW1_7827891598,EU0ixOPqOzHWmCekWoywu80aOd5boVqGu1Ez1eTAtLCR9Krv72rTBRHY6w6vUPHinlpJVhvP46CFig,1776759531497,1776759600849,69,False,MasterYi,0,0,0,SILVER I,2026-04-21 08:20:00.849
EUW1_7826306875,EU0ixOPqOzHWmCekWoywu80aOd5boVqGu1Ez1eTAtLCR9Krv72rTBRHY6w6vUPHinlpJVhvP46CFig,1776623843847,1776625798900,1955,False,MasterYi,6,11,7,SILVER I,2026-04-19 19:09:58.900
EUW1_7825691714,EU0ixOPqOzHWmCekWoywu80aOd5boVqGu1Ez1eTAtLCR9Krv72rTBRHY6w6vUPHinlpJVhvP46CFig,1776596965280,1776599295985,2330,True,MasterYi,18,9,7,SILVER I,2026-04-19 11:48:15.985
EUW1_7822755558,EU0ixOPqOzHWmCekWoywu80aOd5boVqGu1Ez1eTAtLCR9Krv72rTBRHY6w6vUPHinlpJVhvP46CFig,1776367862036,1776370762101,2900,True,Yorick,18,6,5,SILVER I,2026-04-16 20:19:22.101
EUW1_7822642427,EU0ixOPqOzHWmCekWoywu80aOd5boVqGu1Ez1eTAtLCR9Krv72rTBRHY6w6vUPHinlpJVhvP46CFig,1776363891167,1776366454805,2563,True,Jax,8,11,5,SILVER I,2026-04-16 19:07:34.805
EUW1_7822462297,EU0ixOPqOzHWmCekWoywu80aOd5boVqGu1Ez1eTAtLCR9Krv72rTBRHY6w6vUPHinlpJVhvP46CFig,1776356479014,1776357656185,1178,True,Jax,4,4,4,SILVER I,2026-04-16 16:40:56.185
EUW1_7822055549,EU0ixOPqOzHWmCekWoywu80aOd5boVqGu1Ez1eTAtLCR9Krv72rTBRHY6w6vUPHinlpJVhvP46CFig,1776324714093,1776325868976,1155,False,Jax,6,6,0,SILVER I,2026-04-16 07:51:08.976
