match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7830214032,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776957650307,1776959574338,1924,False,Brand,8,8,5,GOLD IV,2026-04-23 15:52:54.338
EUW1_7830177075,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776955401226,1776957387118,1986,True,Ahri,3,6,6,GOLD IV,2026-04-23 15:16:27.118
EUW1_7830136667,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776952477515,1776954150376,1673,False,Xerath,7,4,2,GOLD IV,2026-04-23 14:22:30.376
EUW1_7829191665,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776869940294,1776872164188,2224,False,Vex,9,12,5,GOLD IV,2026-04-22 15:36:04.188
EUW1_7829037734,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776858557005,1776860870559,2313,False,Zoe,10,4,2,GOLD IV,2026-04-22 12:27:50.559
EUW1_7829005369,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776856023458,1776857805249,1782,False,Mel,15,6,2,GOLD IV,2026-04-22 11:36:45.249
EUW1_7828985433,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776854046374,1776855644115,1602,True,Zoe,6,3,2,GOLD IV,2026-04-22 11:00:44.115
EUW1_7828932791,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776847429313,1776850108446,2679,False,Mel,12,6,9,GOLD IV,2026-04-22 09:28:28.446
EUW1_7828913238,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776845075686,1776846996117,1920,False,Brand,4,10,8,GOLD IV,2026-04-22 08:36:36.117
EUW1_7828418206,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776795706579,1776797449434,1743,True,Amumu,4,0,8,GOLD IV,2026-04-21 18:50:49.434
EUW1_7828245637,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776787848126,1776790555880,2708,True,Mel,22,13,9,GOLD IV,2026-04-21 16:55:55.880
EUW1_7828199099,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776785694010,1776787582970,1889,True,Vex,2,2,10,GOLD IV,2026-04-21 16:06:22.970
EUW1_7828157957,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776783040811,1776785404522,2364,True,AurelionSol,8,6,15,GOLD IV,2026-04-21 15:30:04.522
EUW1_7828123490,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776780745036,1776782748833,2004,True,Vex,7,5,8,GOLD IV,2026-04-21 14:45:48.833
EUW1_7828084236,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776778557147,1776780307442,1750,False,Vex,4,8,4,GOLD IV,2026-04-21 14:05:07.442
EUW1_7828057155,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776776329844,1776778307167,1977,False,Vex,5,8,11,GOLD IV,2026-04-21 13:31:47.167
EUW1_7828031220,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776774435272,1776776017377,1582,True,Brand,5,5,9,GOLD IV,2026-04-21 12:53:37.377
EUW1_7827180008,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776701180884,1776702769450,1588,False,Vex,2,7,1,GOLD IV,2026-04-20 16:32:49.450
EUW1_7827137126,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776698823597,1776700718420,1895,False,Vex,5,9,6,GOLD IV,2026-04-20 15:58:38.420
EUW1_7827079671,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776695321041,1776697195024,1874,True,Vex,13,6,15,GOLD IV,2026-04-20 14:59:55.024
EUW1_7827036043,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776692634204,1776695009218,2375,True,Akshan,13,6,7,GOLD IV,2026-04-20 14:23:29.218
EUW1_7827006034,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776690610078,1776692191439,1581,True,Vex,17,5,4,GOLD IV,2026-04-20 13:36:31.439
EUW1_7826979061,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776688659409,1776690325906,1666,True,Vex,9,5,2,GOLD IV,2026-04-20 13:05:25.906
EUW1_7826123686,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776616767420,1776618280343,1513,True,Xerath,2,2,10,GOLD IV,2026-04-19 17:04:40.343
EUW1_7825907875,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776607885732,1776609321013,1435,False,Vex,1,6,4,GOLD IV,2026-04-19 14:35:21.013
EUW1_7825851767,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776605459783,1776607486336,2026,False,Vex,8,11,3,GOLD IV,2026-04-19 14:04:46.336
EUW1_7825825338,FxnSxrMXQvnCMTigjKPZEy-EytUSBw5nVbkqfO54MCRF8MjrsYC5D5SeyeGdHOtCfnFvi8ILUtK10g,1776604325022,1776605138774,814,True,Vex,3,3,0,GOLD IV,2026-04-19 13:25:38.774
