match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7827137763,GBSn9GcysW2SxCDzV4aI2aLa2c_ATYtQEh7oENSIhC8kct0q3ABTho06S8NLPZAvlhLDbRpLYOikFw,1776698741039,1776701391543,2650,True,Shaco,7,11,26,GOLD IV,2026-04-20 16:09:51.543
EUW1_7823550276,GBSn9GcysW2SxCDzV4aI2aLa2c_ATYtQEh7oENSIhC8kct0q3ABTho06S8NLPZAvlhLDbRpLYOikFw,1776440435024,1776441831005,1396,True,Shaco,3,3,7,GOLD IV,2026-04-17 16:03:51.005
EUW1_7823365901,GBSn9GcysW2SxCDzV4aI2aLa2c_ATYtQEh7oENSIhC8kct0q3ABTho06S8NLPZAvlhLDbRpLYOikFw,1776429194370,1776431281128,2087,False,Shaco,6,4,10,GOLD IV,2026-04-17 13:08:01.128
EUW1_7823325119,GBSn9GcysW2SxCDzV4aI2aLa2c_ATYtQEh7oENSIhC8kct0q3ABTho06S8NLPZAvlhLDbRpLYOikFw,1776426399026,1776428306868,1908,True,Shaco,8,3,7,GOLD IV,2026-04-17 12:18:26.868
EUW1_7823295386,GBSn9GcysW2SxCDzV4aI2aLa2c_ATYtQEh7oENSIhC8kct0q3ABTho06S8NLPZAvlhLDbRpLYOikFw,1776424292138,1776426092978,1801,False,Shaco,5,2,8,GOLD IV,2026-04-17 11:41:32.978
EUW1_7822569620,GBSn9GcysW2SxCDzV4aI2aLa2c_ATYtQEh7oENSIhC8kct0q3ABTho06S8NLPZAvlhLDbRpLYOikFw,1776360399357,1776362386403,1987,False,Shaco,7,11,3,GOLD IV,2026-04-16 17:59:46.403
EUW1_7822293704,GBSn9GcysW2SxCDzV4aI2aLa2c_ATYtQEh7oENSIhC8kct0q3ABTho06S8NLPZAvlhLDbRpLYOikFw,1776346986873,1776348845690,1859,True,Shaco,6,5,10,GOLD IV,2026-04-16 14:14:05.690
EUW1_7821718232,GBSn9GcysW2SxCDzV4aI2aLa2c_ATYtQEh7oENSIhC8kct0q3ABTho06S8NLPZAvlhLDbRpLYOikFw,1776284580320,1776286479561,1899,False,Pyke,8,9,9,GOLD IV,2026-04-15 20:54:39.561
EUW1_7821659461,GBSn9GcysW2SxCDzV4aI2aLa2c_ATYtQEh7oENSIhC8kct0q3ABTho06S8NLPZAvlhLDbRpLYOikFw,1776281927607,1776283892334,1965,True,Shaco,6,2,12,GOLD IV,2026-04-15 20:11:32.334
EUW1_7821381035,GBSn9GcysW2SxCDzV4aI2aLa2c_ATYtQEh7oENSIhC8kct0q3ABTho06S8NLPZAvlhLDbRpLYOikFw,1776270802718,1776272758317,1956,False,Shaco,2,6,5,GOLD IV,2026-04-15 17:05:58.317
EUW1_7820190595,GBSn9GcysW2SxCDzV4aI2aLa2c_ATYtQEh7oENSIhC8kct0q3ABTho06S8NLPZAvlhLDbRpLYOikFw,1776170901134,1776173521017,2620,False,Shaco,5,11,17,GOLD IV,2026-04-14 13:32:01.017
EUW1_7819590459,GBSn9GcysW2SxCDzV4aI2aLa2c_ATYtQEh7oENSIhC8kct0q3ABTho06S8NLPZAvlhLDbRpLYOikFw,1776105029555,1776106424796,1395,True,Shaco,3,5,10,GOLD IV,2026-04-13 18:53:44.796
EUW1_7819524254,GBSn9GcysW2SxCDzV4aI2aLa2c_ATYtQEh7oENSIhC8kct0q3ABTho06S8NLPZAvlhLDbRpLYOikFw,1776102326905,1776104490775,2164,True,Shaco,3,7,7,GOLD IV,2026-04-13 18:21:30.775
EUW1_7817625109,GBSn9GcysW2SxCDzV4aI2aLa2c_ATYtQEh7oENSIhC8kct0q3ABTho06S8NLPZAvlhLDbRpLYOikFw,1775941531444,1775943760906,2229,True,Shaco,14,5,12,GOLD IV,2026-04-11 21:42:40.906
EUW1_7817063350,GBSn9GcysW2SxCDzV4aI2aLa2c_ATYtQEh7oENSIhC8kct0q3ABTho06S8NLPZAvlhLDbRpLYOikFw,1775912894087,1775915126455,2232,False,Anivia,1,11,16,GOLD IV,2026-04-11 13:45:26.455
EUW1_7817021979,GBSn9GcysW2SxCDzV4aI2aLa2c_ATYtQEh7oENSIhC8kct0q3ABTho06S8NLPZAvlhLDbRpLYOikFw,1775909989256,1775911752627,1763,True,Fizz,3,4,5,GOLD IV,2026-04-11 12:49:12.627
EUW1_7817017660,GBSn9GcysW2SxCDzV4aI2aLa2c_ATYtQEh7oENSIhC8kct0q3ABTho06S8NLPZAvlhLDbRpLYOikFw,1775909655514,1775909724734,69,True,Fizz,0,0,0,GOLD IV,2026-04-11 12:15:24.734
EUW1_7816546409,GBSn9GcysW2SxCDzV4aI2aLa2c_ATYtQEh7oENSIhC8kct0q3ABTho06S8NLPZAvlhLDbRpLYOikFw,1775856159088,1775858003864,1845,False,Shaco,2,4,5,GOLD IV,2026-04-10 21:53:23.864
EUW1_7816498972,GBSn9GcysW2SxCDzV4aI2aLa2c_ATYtQEh7oENSIhC8kct0q3ABTho06S8NLPZAvlhLDbRpLYOikFw,1775854039857,1775855876309,1836,False,Shaco,2,10,10,GOLD IV,2026-04-10 21:17:56.309
EUW1_7816453794,GBSn9GcysW2SxCDzV4aI2aLa2c_ATYtQEh7oENSIhC8kct0q3ABTho06S8NLPZAvlhLDbRpLYOikFw,1775852213540,1775853763372,1550,True,Shaco,4,2,12,GOLD IV,2026-04-10 20:42:43.372
EUW1_7816389738,GBSn9GcysW2SxCDzV4aI2aLa2c_ATYtQEh7oENSIhC8kct0q3ABTho06S8NLPZAvlhLDbRpLYOikFw,1775849630024,1775851569942,1940,False,Shaco,2,7,11,GOLD IV,2026-04-10 20:06:09.942
EUW1_7816330765,GBSn9GcysW2SxCDzV4aI2aLa2c_ATYtQEh7oENSIhC8kct0q3ABTho06S8NLPZAvlhLDbRpLYOikFw,1775847129618,1775848586684,1457,True,Shaco,2,0,6,GOLD IV,2026-04-10 19:16:26.684
EUW1_7815890698,GBSn9GcysW2SxCDzV4aI2aLa2c_ATYtQEh7oENSIhC8kct0q3ABTho06S8NLPZAvlhLDbRpLYOikFw,1775821279717,1775823730939,2451,True,Shaco,11,2,4,GOLD IV,2026-04-10 12:22:10.939
EUW1_7815546036,GBSn9GcysW2SxCDzV4aI2aLa2c_ATYtQEh7oENSIhC8kct0q3ABTho06S8NLPZAvlhLDbRpLYOikFw,1775771057778,1775772368210,1310,True,Jax,1,2,3,GOLD IV,2026-04-09 22:06:08.210
