match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7838359137,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1777618394088,1777620294689,1902,False,Ornn,1,7,4,BRONZE I,2026-05-01 07:24:54.689
EUW1_7837673568,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1777565709399,1777567454040,1744,True,TahmKench,14,2,5,BRONZE I,2026-04-30 16:44:14.040
EUW1_7837276080,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1777529497518,1777531021311,1524,False,TahmKench,7,5,1,BRONZE I,2026-04-30 06:37:01.311
EUW1_7837105609,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1777499809863,1777501422544,1612,True,TahmKench,13,2,2,BRONZE I,2026-04-29 22:23:42.544
EUW1_7836652993,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1777481726662,1777483836342,2110,False,Ornn,7,10,4,BRONZE I,2026-04-29 17:30:36.342
EUW1_7836390193,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1777466720786,1777468316181,1595,True,TahmKench,8,2,1,BRONZE I,2026-04-29 13:11:56.181
EUW1_7835831036,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1777404170242,1777406643856,2474,False,TahmKench,11,6,7,BRONZE I,2026-04-28 20:04:03.856
EUW1_7835233796,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1777355415250,1777357824235,2409,True,Ornn,3,5,13,BRONZE I,2026-04-28 06:30:24.235
EUW1_7835224824,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1777350727850,1777352413267,1685,False,Ornn,7,5,2,BRONZE I,2026-04-28 05:00:13.267
EUW1_7833665081,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1777223640257,1777225724076,2084,False,Garen,23,6,2,BRONZE I,2026-04-26 17:48:44.076
EUW1_7833410965,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1777212076899,1777214441639,2365,False,TahmKench,10,9,7,BRONZE I,2026-04-26 14:40:41.639
EUW1_7833367565,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1777209869496,1777211840902,1971,False,Ornn,7,7,1,BRONZE I,2026-04-26 13:57:20.902
EUW1_7833052278,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1777181060032,1777182314146,1254,True,TahmKench,10,3,3,BRONZE I,2026-04-26 05:45:14.146
EUW1_7833033549,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1777169985348,1777172115706,2130,True,Ornn,7,7,10,BRONZE I,2026-04-26 02:55:15.706
EUW1_7832819520,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1777152569252,1777153967327,1398,True,Garen,8,4,2,BRONZE I,2026-04-25 21:52:47.327
EUW1_7832279615,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1777125949432,1777128121369,2172,False,Garen,6,9,5,BRONZE I,2026-04-25 14:42:01.369
EUW1_7831729803,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1777067096894,1777068828789,1732,False,Leona,2,11,11,BRONZE I,2026-04-24 22:13:48.789
EUW1_7831677353,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1777065042396,1777066700837,1658,False,Thresh,0,11,7,BRONZE I,2026-04-24 21:38:20.837
EUW1_7831125023,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1777037071026,1777038675984,1605,True,Garen,15,1,2,BRONZE I,2026-04-24 13:51:15.984
EUW1_7830887021,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1777008012354,1777010490744,2478,False,TahmKench,22,12,10,BRONZE I,2026-04-24 06:01:30.744
EUW1_7830883196,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1777005767839,1777007776527,2009,False,TahmKench,5,7,2,BRONZE I,2026-04-24 05:16:16.527
EUW1_7830111761,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1776950742576,1776952914348,2172,False,Garen,9,8,2,BRONZE I,2026-04-23 14:01:54.348
EUW1_7828907894,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1776843182575,1776844970901,1788,False,Garen,11,6,1,BRONZE I,2026-04-22 08:02:50.901
EUW1_7828904635,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1776841908024,1776842909902,1002,False,Gragas,0,1,1,BRONZE I,2026-04-22 07:28:29.902
EUW1_7828892770,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1776839581891,1776841595869,2014,False,Hecarim,12,9,5,BRONZE I,2026-04-22 07:06:35.869
EUW1_7828881271,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1776837157330,1776839123401,1966,True,Ornn,6,4,6,BRONZE I,2026-04-22 06:25:23.401
EUW1_7828879972,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1776834888780,1776836827088,1938,True,TahmKench,6,8,1,BRONZE I,2026-04-22 05:47:07.088
EUW1_7827344919,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1776708631479,1776710315572,1684,False,Thresh,2,6,10,BRONZE I,2026-04-20 18:38:35.572
EUW1_7826793002,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1776665368321,1776668621118,3253,False,Hecarim,21,14,13,BRONZE I,2026-04-20 07:03:41.118
EUW1_7825507813,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1776577292675,1776578902178,1610,True,TahmKench,12,5,5,BRONZE I,2026-04-19 06:08:22.178
EUW1_7823405818,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1776431881278,1776433593182,1712,False,Thresh,1,9,5,BRONZE I,2026-04-17 13:46:33.182
EUW1_7823129185,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1776395724557,1776397716524,1992,False,Garen,7,7,2,BRONZE I,2026-04-17 03:48:36.524
EUW1_7822599261,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1776362124667,1776363763268,1638,False,Gragas,3,6,3,BRONZE I,2026-04-16 18:22:43.268
EUW1_7822574880,GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,1776360738152,1776361666129,928,False,Garen,2,3,0,BRONZE I,2026-04-16 17:47:46.129
