match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7828357380,GLqSmvdTbgrgZd2nBd__AcfxJiYLP-zUIDTKdDArsudYCz8hWWnrQzkNRcHLuE_yMejx9TF52Wnmdg,1776793524560,1776795442355,1918,False,MasterYi,10,7,3,SILVER II,2026-04-21 18:17:22.355
EUW1_7828339477,GLqSmvdTbgrgZd2nBd__AcfxJiYLP-zUIDTKdDArsudYCz8hWWnrQzkNRcHLuE_yMejx9TF52Wnmdg,1776792304701,1776793221572,917,True,MasterYi,8,1,2,SILVER II,2026-04-21 17:40:21.572
EUW1_7828285365,GLqSmvdTbgrgZd2nBd__AcfxJiYLP-zUIDTKdDArsudYCz8hWWnrQzkNRcHLuE_yMejx9TF52Wnmdg,1776790199344,1776792021722,1822,True,MasterYi,11,5,9,SILVER II,2026-04-21 17:20:21.722
EUW1_7828260260,GLqSmvdTbgrgZd2nBd__AcfxJiYLP-zUIDTKdDArsudYCz8hWWnrQzkNRcHLuE_yMejx9TF52Wnmdg,1776788909143,1776789966612,1057,False,MasterYi,4,5,2,SILVER II,2026-04-21 16:46:06.612
EUW1_7828226923,GLqSmvdTbgrgZd2nBd__AcfxJiYLP-zUIDTKdDArsudYCz8hWWnrQzkNRcHLuE_yMejx9TF52Wnmdg,1776787091505,1776788605593,1514,False,MasterYi,7,9,3,SILVER II,2026-04-21 16:23:25.593
EUW1_7827963326,GLqSmvdTbgrgZd2nBd__AcfxJiYLP-zUIDTKdDArsudYCz8hWWnrQzkNRcHLuE_yMejx9TF52Wnmdg,1776768582926,1776770004424,1421,True,MasterYi,5,0,4,SILVER II,2026-04-21 11:13:24.424
EUW1_7827950542,GLqSmvdTbgrgZd2nBd__AcfxJiYLP-zUIDTKdDArsudYCz8hWWnrQzkNRcHLuE_yMejx9TF52Wnmdg,1776766527272,1776767865220,1338,False,Nocturne,0,4,2,SILVER II,2026-04-21 10:37:45.220
EUW1_7827503258,GLqSmvdTbgrgZd2nBd__AcfxJiYLP-zUIDTKdDArsudYCz8hWWnrQzkNRcHLuE_yMejx9TF52Wnmdg,1776714642797,1776716463527,1821,True,MasterYi,18,3,1,SILVER II,2026-04-20 20:21:03.527
EUW1_7827263039,GLqSmvdTbgrgZd2nBd__AcfxJiYLP-zUIDTKdDArsudYCz8hWWnrQzkNRcHLuE_yMejx9TF52Wnmdg,1776705130228,1776706712700,1582,True,MasterYi,10,2,4,SILVER II,2026-04-20 17:38:32.700
EUW1_7827217115,GLqSmvdTbgrgZd2nBd__AcfxJiYLP-zUIDTKdDArsudYCz8hWWnrQzkNRcHLuE_yMejx9TF52Wnmdg,1776703036754,1776704753510,1717,False,MasterYi,4,9,3,SILVER II,2026-04-20 17:05:53.510
EUW1_7827174513,GLqSmvdTbgrgZd2nBd__AcfxJiYLP-zUIDTKdDArsudYCz8hWWnrQzkNRcHLuE_yMejx9TF52Wnmdg,1776700577344,1776702644955,2067,True,MasterYi,14,4,6,SILVER II,2026-04-20 16:30:44.955
EUW1_7827133628,GLqSmvdTbgrgZd2nBd__AcfxJiYLP-zUIDTKdDArsudYCz8hWWnrQzkNRcHLuE_yMejx9TF52Wnmdg,1776698440649,1776700099491,1659,True,MasterYi,14,3,11,SILVER II,2026-04-20 15:48:19.491
EUW1_7826152376,GLqSmvdTbgrgZd2nBd__AcfxJiYLP-zUIDTKdDArsudYCz8hWWnrQzkNRcHLuE_yMejx9TF52Wnmdg,1776618085959,1776620687633,2602,False,MasterYi,13,10,9,SILVER II,2026-04-19 17:44:47.633
EUW1_7826083112,GLqSmvdTbgrgZd2nBd__AcfxJiYLP-zUIDTKdDArsudYCz8hWWnrQzkNRcHLuE_yMejx9TF52Wnmdg,1776615430683,1776617838952,2408,False,MasterYi,13,8,10,SILVER II,2026-04-19 16:57:18.952
EUW1_7826039725,GLqSmvdTbgrgZd2nBd__AcfxJiYLP-zUIDTKdDArsudYCz8hWWnrQzkNRcHLuE_yMejx9TF52Wnmdg,1776613418063,1776615026635,1608,False,Nocturne,0,12,4,SILVER II,2026-04-19 16:10:26.635
EUW1_7825657119,GLqSmvdTbgrgZd2nBd__AcfxJiYLP-zUIDTKdDArsudYCz8hWWnrQzkNRcHLuE_yMejx9TF52Wnmdg,1776595029221,1776596854538,1825,True,MasterYi,5,3,5,SILVER II,2026-04-19 11:07:34.538
EUW1_7825602458,GLqSmvdTbgrgZd2nBd__AcfxJiYLP-zUIDTKdDArsudYCz8hWWnrQzkNRcHLuE_yMejx9TF52Wnmdg,1776590836260,1776592750765,1914,True,MasterYi,16,4,8,SILVER II,2026-04-19 09:59:10.765
EUW1_7825577955,GLqSmvdTbgrgZd2nBd__AcfxJiYLP-zUIDTKdDArsudYCz8hWWnrQzkNRcHLuE_yMejx9TF52Wnmdg,1776589185901,1776590133949,948,True,Nocturne,1,0,4,SILVER II,2026-04-19 09:15:33.949
EUW1_7822075995,GLqSmvdTbgrgZd2nBd__AcfxJiYLP-zUIDTKdDArsudYCz8hWWnrQzkNRcHLuE_yMejx9TF52Wnmdg,1776328417683,1776330914177,2496,True,MasterYi,23,10,10,SILVER II,2026-04-16 09:15:14.177
EUW1_7822054874,GLqSmvdTbgrgZd2nBd__AcfxJiYLP-zUIDTKdDArsudYCz8hWWnrQzkNRcHLuE_yMejx9TF52Wnmdg,1776325083129,1776327731663,2648,False,MasterYi,10,6,10,SILVER II,2026-04-16 08:22:11.663
