match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7827819093,GbzDjfh4cUM7y3pgrQj2JrsrOYLGWO9wGa1aR4-nPgfCiuM74IZlHR-6YdV0CfpniCcpbxS4DX8RhA,1776736221320,1776737788270,1567,False,Nasus,0,9,3,SILVER II,2026-04-21 02:16:28.270
EUW1_7827809949,GbzDjfh4cUM7y3pgrQj2JrsrOYLGWO9wGa1aR4-nPgfCiuM74IZlHR-6YdV0CfpniCcpbxS4DX8RhA,1776733660407,1776735945039,2285,True,Nasus,7,6,7,SILVER II,2026-04-21 01:45:45.039
EUW1_7827755967,GbzDjfh4cUM7y3pgrQj2JrsrOYLGWO9wGa1aR4-nPgfCiuM74IZlHR-6YdV0CfpniCcpbxS4DX8RhA,1776726597290,1776728176175,1579,False,Mordekaiser,1,9,3,SILVER II,2026-04-20 23:36:16.175
EUW1_7827721057,GbzDjfh4cUM7y3pgrQj2JrsrOYLGWO9wGa1aR4-nPgfCiuM74IZlHR-6YdV0CfpniCcpbxS4DX8RhA,1776723998630,1776726200624,2202,False,Garen,8,14,10,SILVER II,2026-04-20 23:03:20.624
EUW1_7827097640,GbzDjfh4cUM7y3pgrQj2JrsrOYLGWO9wGa1aR4-nPgfCiuM74IZlHR-6YdV0CfpniCcpbxS4DX8RhA,1776696269796,1776698478189,2208,True,Nasus,8,4,6,SILVER II,2026-04-20 15:21:18.189
EUW1_7827086106,GbzDjfh4cUM7y3pgrQj2JrsrOYLGWO9wGa1aR4-nPgfCiuM74IZlHR-6YdV0CfpniCcpbxS4DX8RhA,1776695903525,1776696001301,98,True,Nasus,0,0,0,SILVER II,2026-04-20 14:40:01.301
EUW1_7827055352,GbzDjfh4cUM7y3pgrQj2JrsrOYLGWO9wGa1aR4-nPgfCiuM74IZlHR-6YdV0CfpniCcpbxS4DX8RhA,1776694112139,1776695604096,1492,True,Darius,3,4,1,SILVER II,2026-04-20 14:33:24.096
EUW1_7826739265,GbzDjfh4cUM7y3pgrQj2JrsrOYLGWO9wGa1aR4-nPgfCiuM74IZlHR-6YdV0CfpniCcpbxS4DX8RhA,1776645962342,1776647463142,1501,False,Tryndamere,2,12,3,SILVER II,2026-04-20 01:11:03.142
EUW1_7826737569,GbzDjfh4cUM7y3pgrQj2JrsrOYLGWO9wGa1aR4-nPgfCiuM74IZlHR-6YdV0CfpniCcpbxS4DX8RhA,1776644687976,1776645674046,986,True,Nasus,0,1,1,SILVER II,2026-04-20 00:41:14.046
EUW1_7826717406,GbzDjfh4cUM7y3pgrQj2JrsrOYLGWO9wGa1aR4-nPgfCiuM74IZlHR-6YdV0CfpniCcpbxS4DX8RhA,1776643000067,1776644273002,1273,False,Darius,6,7,1,SILVER II,2026-04-20 00:17:53.002
EUW1_7826692205,GbzDjfh4cUM7y3pgrQj2JrsrOYLGWO9wGa1aR4-nPgfCiuM74IZlHR-6YdV0CfpniCcpbxS4DX8RhA,1776640204998,1776641859821,1655,False,Diana,4,11,4,SILVER II,2026-04-19 23:37:39.821
EUW1_7826138362,GbzDjfh4cUM7y3pgrQj2JrsrOYLGWO9wGa1aR4-nPgfCiuM74IZlHR-6YdV0CfpniCcpbxS4DX8RhA,1776617483401,1776619185790,1702,False,Nasus,12,6,3,SILVER II,2026-04-19 17:19:45.790
