match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7835202255,Ge4hTy1HZpPn11jR5FxkNM5ASI0KyhA1euAmlz7VgCrHxC9FSyRqVBntWsYE86yNlvUiRo0oWCvBWw,1777341859050,1777343227600,1368,False,Warwick,2,12,3,GOLD IV,2026-04-28 02:27:07.600
EUW1_7835205556,Ge4hTy1HZpPn11jR5FxkNM5ASI0KyhA1euAmlz7VgCrHxC9FSyRqVBntWsYE86yNlvUiRo0oWCvBWw,1777340629218,1777340907401,278,False,Warwick,1,0,0,GOLD IV,2026-04-28 01:48:27.401
EUW1_7835190947,Ge4hTy1HZpPn11jR5FxkNM5ASI0KyhA1euAmlz7VgCrHxC9FSyRqVBntWsYE86yNlvUiRo0oWCvBWw,1777338146602,1777340272518,2126,True,Nocturne,6,5,10,GOLD IV,2026-04-28 01:37:52.518
EUW1_7829854904,Ge4hTy1HZpPn11jR5FxkNM5ASI0KyhA1euAmlz7VgCrHxC9FSyRqVBntWsYE86yNlvUiRo0oWCvBWw,1776909291554,1776910985953,1694,False,Teemo,3,7,2,GOLD IV,2026-04-23 02:23:05.953
EUW1_7829844808,Ge4hTy1HZpPn11jR5FxkNM5ASI0KyhA1euAmlz7VgCrHxC9FSyRqVBntWsYE86yNlvUiRo0oWCvBWw,1776906510975,1776908643784,2133,True,Warwick,12,7,10,GOLD IV,2026-04-23 01:44:03.784
EUW1_7829792810,Ge4hTy1HZpPn11jR5FxkNM5ASI0KyhA1euAmlz7VgCrHxC9FSyRqVBntWsYE86yNlvUiRo0oWCvBWw,1776899549384,1776899620269,71,False,Nocturne,0,0,0,GOLD IV,2026-04-22 23:13:40.269
EUW1_7829752696,Ge4hTy1HZpPn11jR5FxkNM5ASI0KyhA1euAmlz7VgCrHxC9FSyRqVBntWsYE86yNlvUiRo0oWCvBWw,1776896275579,1776898233425,1958,True,FiddleSticks,8,3,12,GOLD IV,2026-04-22 22:50:33.425
EUW1_7826695198,Ge4hTy1HZpPn11jR5FxkNM5ASI0KyhA1euAmlz7VgCrHxC9FSyRqVBntWsYE86yNlvUiRo0oWCvBWw,1776640534210,1776642538436,2004,True,Teemo,3,8,17,GOLD IV,2026-04-19 23:48:58.436
EUW1_7826666625,Ge4hTy1HZpPn11jR5FxkNM5ASI0KyhA1euAmlz7VgCrHxC9FSyRqVBntWsYE86yNlvUiRo0oWCvBWw,1776637852846,1776639706523,1854,False,Tryndamere,4,9,4,GOLD IV,2026-04-19 23:01:46.523
EUW1_7825432007,Ge4hTy1HZpPn11jR5FxkNM5ASI0KyhA1euAmlz7VgCrHxC9FSyRqVBntWsYE86yNlvUiRo0oWCvBWw,1776558613290,1776560777294,2164,False,Teemo,1,8,10,GOLD IV,2026-04-19 01:06:17.294
EUW1_7825410465,Ge4hTy1HZpPn11jR5FxkNM5ASI0KyhA1euAmlz7VgCrHxC9FSyRqVBntWsYE86yNlvUiRo0oWCvBWw,1776556073110,1776557815295,1742,True,Trundle,4,3,3,GOLD IV,2026-04-19 00:16:55.295
EUW1_7825332273,Ge4hTy1HZpPn11jR5FxkNM5ASI0KyhA1euAmlz7VgCrHxC9FSyRqVBntWsYE86yNlvUiRo0oWCvBWw,1776551717524,1776553484870,1771,False,Warwick,6,9,3,GOLD IV,2026-04-18 23:04:44.870
EUW1_7825261898,Ge4hTy1HZpPn11jR5FxkNM5ASI0KyhA1euAmlz7VgCrHxC9FSyRqVBntWsYE86yNlvUiRo0oWCvBWw,1776548288924,1776550974909,2686,False,Teemo,8,10,12,GOLD IV,2026-04-18 22:22:54.909
EUW1_7825156691,Ge4hTy1HZpPn11jR5FxkNM5ASI0KyhA1euAmlz7VgCrHxC9FSyRqVBntWsYE86yNlvUiRo0oWCvBWw,1776544011887,1776546428492,2417,True,Warwick,3,14,12,GOLD IV,2026-04-18 21:07:08.492
