match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7827788166,Gq1diPMswREGbhl1pPJfhHvHY8rt8o1cZtk1VX7rJXlFg5cAlqi1-PVh_rvYcddz7hJlMWWhMpa3KA,1776730436290,1776733177196,2741,False,Quinn,14,8,21,SILVER II,2026-04-21 00:59:37.196
EUW1_7827778675,Gq1diPMswREGbhl1pPJfhHvHY8rt8o1cZtk1VX7rJXlFg5cAlqi1-PVh_rvYcddz7hJlMWWhMpa3KA,1776728509346,1776730118699,1609,True,Quinn,10,5,11,SILVER II,2026-04-21 00:08:38.699
EUW1_7827755107,Gq1diPMswREGbhl1pPJfhHvHY8rt8o1cZtk1VX7rJXlFg5cAlqi1-PVh_rvYcddz7hJlMWWhMpa3KA,1776726527206,1776728247657,1720,False,Garen,8,7,3,SILVER II,2026-04-20 23:37:27.657
EUW1_7827506891,Gq1diPMswREGbhl1pPJfhHvHY8rt8o1cZtk1VX7rJXlFg5cAlqi1-PVh_rvYcddz7hJlMWWhMpa3KA,1776714675080,1776715854116,1179,True,Quinn,8,1,2,SILVER II,2026-04-20 20:10:54.116
EUW1_7827192806,Gq1diPMswREGbhl1pPJfhHvHY8rt8o1cZtk1VX7rJXlFg5cAlqi1-PVh_rvYcddz7hJlMWWhMpa3KA,1776701705020,1776703428662,1723,True,Garen,9,3,6,SILVER II,2026-04-20 16:43:48.662
EUW1_7826777353,Gq1diPMswREGbhl1pPJfhHvHY8rt8o1cZtk1VX7rJXlFg5cAlqi1-PVh_rvYcddz7hJlMWWhMpa3KA,1776659477840,1776661131618,1654,False,Sejuani,2,6,4,SILVER II,2026-04-20 04:58:51.618
EUW1_7826777884,Gq1diPMswREGbhl1pPJfhHvHY8rt8o1cZtk1VX7rJXlFg5cAlqi1-PVh_rvYcddz7hJlMWWhMpa3KA,1776657364136,1776659127285,1763,False,Quinn,4,9,5,SILVER II,2026-04-20 04:25:27.285
EUW1_7826753103,Gq1diPMswREGbhl1pPJfhHvHY8rt8o1cZtk1VX7rJXlFg5cAlqi1-PVh_rvYcddz7hJlMWWhMpa3KA,1776648522527,1776650731554,2209,True,Quinn,6,7,11,SILVER II,2026-04-20 02:05:31.554
EUW1_7826741302,Gq1diPMswREGbhl1pPJfhHvHY8rt8o1cZtk1VX7rJXlFg5cAlqi1-PVh_rvYcddz7hJlMWWhMpa3KA,1776646510763,1776647712437,1202,True,Garen,8,0,2,SILVER II,2026-04-20 01:15:12.437
EUW1_7826734772,Gq1diPMswREGbhl1pPJfhHvHY8rt8o1cZtk1VX7rJXlFg5cAlqi1-PVh_rvYcddz7hJlMWWhMpa3KA,1776644770324,1776646104732,1334,True,Quinn,4,3,10,SILVER II,2026-04-20 00:48:24.732
EUW1_7826478645,Gq1diPMswREGbhl1pPJfhHvHY8rt8o1cZtk1VX7rJXlFg5cAlqi1-PVh_rvYcddz7hJlMWWhMpa3KA,1776629278998,1776631435753,2157,True,Quinn,2,3,7,SILVER II,2026-04-19 20:43:55.753
EUW1_7826382214,Gq1diPMswREGbhl1pPJfhHvHY8rt8o1cZtk1VX7rJXlFg5cAlqi1-PVh_rvYcddz7hJlMWWhMpa3KA,1776626356544,1776628134950,1778,False,Quinn,6,10,12,SILVER II,2026-04-19 19:48:54.950
EUW1_7825480179,Gq1diPMswREGbhl1pPJfhHvHY8rt8o1cZtk1VX7rJXlFg5cAlqi1-PVh_rvYcddz7hJlMWWhMpa3KA,1776567130189,1776568711092,1581,False,Quinn,2,7,9,SILVER II,2026-04-19 03:18:31.092
EUW1_7825472206,Gq1diPMswREGbhl1pPJfhHvHY8rt8o1cZtk1VX7rJXlFg5cAlqi1-PVh_rvYcddz7hJlMWWhMpa3KA,1776564977846,1776566854493,1877,True,Quinn,4,7,9,SILVER II,2026-04-19 02:47:34.493
EUW1_7825213145,Gq1diPMswREGbhl1pPJfhHvHY8rt8o1cZtk1VX7rJXlFg5cAlqi1-PVh_rvYcddz7hJlMWWhMpa3KA,1776546340371,1776547699577,1359,False,Quinn,3,6,7,SILVER II,2026-04-18 21:28:19.577
EUW1_7824950018,Gq1diPMswREGbhl1pPJfhHvHY8rt8o1cZtk1VX7rJXlFg5cAlqi1-PVh_rvYcddz7hJlMWWhMpa3KA,1776535824216,1776537440849,1617,True,Quinn,6,4,9,SILVER II,2026-04-18 18:37:20.849
EUW1_7823092132,Gq1diPMswREGbhl1pPJfhHvHY8rt8o1cZtk1VX7rJXlFg5cAlqi1-PVh_rvYcddz7hJlMWWhMpa3KA,1776386069352,1776387440042,1371,False,Quinn,6,6,1,SILVER II,2026-04-17 00:57:20.042
EUW1_7823076680,Gq1diPMswREGbhl1pPJfhHvHY8rt8o1cZtk1VX7rJXlFg5cAlqi1-PVh_rvYcddz7hJlMWWhMpa3KA,1776383838085,1776385671819,1834,True,Quinn,3,2,4,SILVER II,2026-04-17 00:27:51.819
