match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7841921246,H8EeN839yqt0Xf7THiuIdubuj_1koSXg0XTzVScjApVptcO5XyjqMsc_CRSqXGQx7DtXDJ9dahJtXQ,1777872972637,1777874857047,1884,False,Nocturne,9,14,5,SILVER II,2026-05-04 06:07:37.047
EUW1_7841919963,H8EeN839yqt0Xf7THiuIdubuj_1koSXg0XTzVScjApVptcO5XyjqMsc_CRSqXGQx7DtXDJ9dahJtXQ,1777870698845,1777872491320,1792,False,Nocturne,4,10,3,SILVER II,2026-05-04 05:28:11.320
EUW1_7841914320,H8EeN839yqt0Xf7THiuIdubuj_1koSXg0XTzVScjApVptcO5XyjqMsc_CRSqXGQx7DtXDJ9dahJtXQ,1777868548360,1777870252936,1704,False,Nocturne,2,12,5,SILVER II,2026-05-04 04:50:52.936
EUW1_7841786594,H8EeN839yqt0Xf7THiuIdubuj_1koSXg0XTzVScjApVptcO5XyjqMsc_CRSqXGQx7DtXDJ9dahJtXQ,1777846706477,1777848611290,1905,False,Garen,7,7,0,SILVER II,2026-05-03 22:50:11.290
EUW1_7841733861,H8EeN839yqt0Xf7THiuIdubuj_1koSXg0XTzVScjApVptcO5XyjqMsc_CRSqXGQx7DtXDJ9dahJtXQ,1777843955614,1777845904006,1948,False,Garen,7,10,5,SILVER II,2026-05-03 22:05:04.006
EUW1_7840044535,H8EeN839yqt0Xf7THiuIdubuj_1koSXg0XTzVScjApVptcO5XyjqMsc_CRSqXGQx7DtXDJ9dahJtXQ,1777740142430,1777741641372,1499,True,Garen,5,7,12,SILVER II,2026-05-02 17:07:21.372
EUW1_7839970510,H8EeN839yqt0Xf7THiuIdubuj_1koSXg0XTzVScjApVptcO5XyjqMsc_CRSqXGQx7DtXDJ9dahJtXQ,1777736228674,1777738822937,2594,True,Garen,10,9,6,SILVER II,2026-05-02 16:20:22.937
EUW1_7839689966,H8EeN839yqt0Xf7THiuIdubuj_1koSXg0XTzVScjApVptcO5XyjqMsc_CRSqXGQx7DtXDJ9dahJtXQ,1777720182280,1777722857232,2680,False,Amumu,5,14,13,SILVER II,2026-05-02 11:54:17.232
EUW1_7839635436,H8EeN839yqt0Xf7THiuIdubuj_1koSXg0XTzVScjApVptcO5XyjqMsc_CRSqXGQx7DtXDJ9dahJtXQ,1777716512517,1777718714318,2202,False,Nocturne,6,11,18,SILVER II,2026-05-02 10:45:14.318
EUW1_7839618336,H8EeN839yqt0Xf7THiuIdubuj_1koSXg0XTzVScjApVptcO5XyjqMsc_CRSqXGQx7DtXDJ9dahJtXQ,1777715217282,1777715285197,68,True,Nocturne,0,0,0,SILVER II,2026-05-02 09:48:05.197
EUW1_7839584844,H8EeN839yqt0Xf7THiuIdubuj_1koSXg0XTzVScjApVptcO5XyjqMsc_CRSqXGQx7DtXDJ9dahJtXQ,1777711420684,1777713762817,2342,False,Nocturne,7,10,6,SILVER II,2026-05-02 09:22:42.817
EUW1_7839550845,H8EeN839yqt0Xf7THiuIdubuj_1koSXg0XTzVScjApVptcO5XyjqMsc_CRSqXGQx7DtXDJ9dahJtXQ,1777706727161,1777708905053,2178,True,Amumu,8,8,22,SILVER II,2026-05-02 08:01:45.053
EUW1_7839540583,H8EeN839yqt0Xf7THiuIdubuj_1koSXg0XTzVScjApVptcO5XyjqMsc_CRSqXGQx7DtXDJ9dahJtXQ,1777703902003,1777705525084,1623,False,Garen,3,7,3,SILVER II,2026-05-02 07:05:25.084
EUW1_7839539648,H8EeN839yqt0Xf7THiuIdubuj_1koSXg0XTzVScjApVptcO5XyjqMsc_CRSqXGQx7DtXDJ9dahJtXQ,1777703533152,1777703607826,75,True,Olaf,0,0,0,SILVER II,2026-05-02 06:33:27.826
EUW1_7839529484,H8EeN839yqt0Xf7THiuIdubuj_1koSXg0XTzVScjApVptcO5XyjqMsc_CRSqXGQx7DtXDJ9dahJtXQ,1777699033079,1777701057924,2025,True,Garen,13,1,7,SILVER II,2026-05-02 05:50:57.924
EUW1_7839515187,H8EeN839yqt0Xf7THiuIdubuj_1koSXg0XTzVScjApVptcO5XyjqMsc_CRSqXGQx7DtXDJ9dahJtXQ,1777695272573,1777696898956,1626,True,Garen,4,6,2,SILVER II,2026-05-02 04:41:38.956
EUW1_7831014509,H8EeN839yqt0Xf7THiuIdubuj_1koSXg0XTzVScjApVptcO5XyjqMsc_CRSqXGQx7DtXDJ9dahJtXQ,1777027691834,1777030218329,2526,False,Nasus,2,12,12,SILVER II,2026-04-24 11:30:18.329
