match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7825144440,HLPzQ-ptkCsrw0nrwXALyJ0oFUqXzwbX8v-DESJEq9Xo0J_Cor_OX5MbkUQTH3VEOEBxd373JXPHvA,1776543804244,1776545293773,1489,False,Jinx,2,7,5,GOLD IV,2026-04-18 20:48:13.773
EUW1_7825074688,HLPzQ-ptkCsrw0nrwXALyJ0oFUqXzwbX8v-DESJEq9Xo0J_Cor_OX5MbkUQTH3VEOEBxd373JXPHvA,1776540828242,1776542618979,1791,False,Ezreal,3,13,6,GOLD IV,2026-04-18 20:03:38.979
EUW1_7825034055,HLPzQ-ptkCsrw0nrwXALyJ0oFUqXzwbX8v-DESJEq9Xo0J_Cor_OX5MbkUQTH3VEOEBxd373JXPHvA,1776539530972,1776539602088,71,False,Jinx,0,0,0,GOLD IV,2026-04-18 19:13:22.088
EUW1_7824749542,HLPzQ-ptkCsrw0nrwXALyJ0oFUqXzwbX8v-DESJEq9Xo0J_Cor_OX5MbkUQTH3VEOEBxd373JXPHvA,1776525802743,1776527343588,1541,True,Ashe,6,3,11,GOLD IV,2026-04-18 15:49:03.588
EUW1_7824702926,HLPzQ-ptkCsrw0nrwXALyJ0oFUqXzwbX8v-DESJEq9Xo0J_Cor_OX5MbkUQTH3VEOEBxd373JXPHvA,1776523744680,1776525532116,1787,True,Ashe,4,6,12,GOLD IV,2026-04-18 15:18:52.116
EUW1_7824658625,HLPzQ-ptkCsrw0nrwXALyJ0oFUqXzwbX8v-DESJEq9Xo0J_Cor_OX5MbkUQTH3VEOEBxd373JXPHvA,1776521259962,1776523168998,1909,False,Yunara,5,9,4,GOLD IV,2026-04-18 14:39:28.998
EUW1_7824611589,HLPzQ-ptkCsrw0nrwXALyJ0oFUqXzwbX8v-DESJEq9Xo0J_Cor_OX5MbkUQTH3VEOEBxd373JXPHvA,1776518676223,1776520079744,1403,True,Yunara,15,4,4,GOLD IV,2026-04-18 13:47:59.744
EUW1_7824295956,HLPzQ-ptkCsrw0nrwXALyJ0oFUqXzwbX8v-DESJEq9Xo0J_Cor_OX5MbkUQTH3VEOEBxd373JXPHvA,1776491731890,1776494006396,2274,True,Ashe,8,10,14,GOLD IV,2026-04-18 06:33:26.396
EUW1_7824288154,HLPzQ-ptkCsrw0nrwXALyJ0oFUqXzwbX8v-DESJEq9Xo0J_Cor_OX5MbkUQTH3VEOEBxd373JXPHvA,1776489143595,1776491110562,1967,False,Yunara,22,8,9,GOLD IV,2026-04-18 05:45:10.562
EUW1_7824289644,HLPzQ-ptkCsrw0nrwXALyJ0oFUqXzwbX8v-DESJEq9Xo0J_Cor_OX5MbkUQTH3VEOEBxd373JXPHvA,1776486913677,1776488639757,1726,True,Ashe,5,5,10,GOLD IV,2026-04-18 05:03:59.757
EUW1_7824285495,HLPzQ-ptkCsrw0nrwXALyJ0oFUqXzwbX8v-DESJEq9Xo0J_Cor_OX5MbkUQTH3VEOEBxd373JXPHvA,1776485159133,1776486570445,1411,True,Ashe,6,3,3,GOLD IV,2026-04-18 04:29:30.445
