match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7827253312,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776704906925,1776706882684,1976,True,Kindred,10,5,9,GOLD II,2026-04-20 17:41:22.684
EUW1_7827213181,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776702905282,1776704549243,1644,False,Kindred,6,14,9,GOLD II,2026-04-20 17:02:29.243
EUW1_7826275909,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776622634509,1776624480414,1846,False,Zaahen,4,8,7,GOLD II,2026-04-19 18:48:00.414
EUW1_7826211265,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776620340489,1776622405046,2064,False,Zaahen,8,13,10,GOLD II,2026-04-19 18:13:25.046
EUW1_7826157649,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776617964074,1776619106424,1142,True,Ambessa,2,1,5,GOLD II,2026-04-19 17:18:26.424
EUW1_7825998086,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776611733620,1776613373110,1639,False,Zaahen,1,15,4,GOLD II,2026-04-19 15:42:53.110
EUW1_7825947324,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776609774034,1776611466751,1693,False,Zaahen,15,9,7,GOLD II,2026-04-19 15:11:06.751
EUW1_7825782758,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776601990175,1776604443731,2454,False,Zaahen,4,9,6,GOLD II,2026-04-19 13:14:03.731
EUW1_7825739008,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776599738253,1776601764979,2027,True,Zaahen,18,5,15,GOLD II,2026-04-19 12:29:24.979
EUW1_7825573977,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776588865237,1776590680276,1815,True,Ambessa,20,3,5,GOLD II,2026-04-19 09:24:40.276
EUW1_7825346131,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776552381492,1776554331380,1950,True,Zaahen,5,11,11,GOLD II,2026-04-18 23:18:51.380
EUW1_7825299329,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776550127806,1776552170750,2043,False,Zaahen,7,15,5,GOLD II,2026-04-18 22:42:50.750
EUW1_7825181360,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776545212550,1776547127605,1915,True,Zaahen,8,11,12,GOLD II,2026-04-18 21:18:47.605
EUW1_7825132346,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776543317257,1776544957925,1641,False,Zaahen,6,7,5,GOLD II,2026-04-18 20:42:37.925
EUW1_7825034848,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776539278537,1776541546891,2268,True,Zaahen,7,12,13,GOLD II,2026-04-18 19:45:46.891
EUW1_7824877493,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776531996768,1776534087635,2091,False,Zaahen,7,9,5,GOLD II,2026-04-18 17:41:27.635
EUW1_7824831066,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776530055640,1776531500246,1445,False,Zaahen,1,7,7,GOLD II,2026-04-18 16:58:20.246
EUW1_7824773195,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776527180642,1776529112247,1932,True,Zaahen,5,8,3,GOLD II,2026-04-18 16:18:32.247
EUW1_7824732930,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776525035994,1776526832824,1797,True,Zaahen,4,7,6,GOLD II,2026-04-18 15:40:32.824
EUW1_7823899844,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776456246696,1776457642784,1396,True,Zaahen,9,2,4,GOLD II,2026-04-17 20:27:22.784
EUW1_7823854612,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776454361575,1776456008893,1647,False,Zaahen,5,6,5,GOLD II,2026-04-17 20:00:08.893
EUW1_7823798988,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776452410269,1776454110676,1700,True,Zaahen,7,5,13,GOLD II,2026-04-17 19:28:30.676
EUW1_7823752907,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776450260011,1776452070983,1811,False,Zaahen,7,8,8,GOLD II,2026-04-17 18:54:30.983
EUW1_7823707501,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776448008512,1776449902696,1894,False,Zaahen,9,8,5,GOLD II,2026-04-17 18:18:22.696
EUW1_7821677040,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776282831592,1776284847101,2015,True,Zaahen,14,6,12,GOLD II,2026-04-15 20:27:27.101
EUW1_7821613178,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776280511694,1776282266282,1754,True,Zaahen,12,3,9,GOLD II,2026-04-15 19:44:26.282
EUW1_7821532873,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776277197292,1776279850919,2654,True,Zaahen,9,9,12,GOLD II,2026-04-15 19:04:10.919
EUW1_7821498168,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776275783963,1776276961373,1177,False,Zaahen,3,3,2,GOLD II,2026-04-15 18:16:01.373
EUW1_7820685200,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776198524319,1776200330638,1806,True,Zaahen,6,4,16,GOLD II,2026-04-14 20:58:50.638
EUW1_7820611109,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776195312302,1776198096757,2784,False,Zaahen,13,9,12,GOLD II,2026-04-14 20:21:36.757
EUW1_7820559967,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776193017672,1776195058375,2041,False,Zaahen,6,11,7,GOLD II,2026-04-14 19:30:58.375
EUW1_7819843882,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776115376757,1776116341469,965,False,Zaahen,5,5,3,GOLD II,2026-04-13 21:39:01.469
EUW1_7819811066,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776113846726,1776115102457,1256,False,Zaahen,2,8,3,GOLD II,2026-04-13 21:18:22.457
EUW1_7819750978,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776111344568,1776113608983,2264,False,Zaahen,12,8,8,GOLD II,2026-04-13 20:53:28.983
EUW1_7819690664,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776108929842,1776111085640,2156,True,Zaahen,14,2,16,GOLD II,2026-04-13 20:11:25.640
EUW1_7819475983,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776099866630,1776101730337,1864,True,Zaahen,7,9,14,GOLD II,2026-04-13 17:35:30.337
EUW1_7819441608,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776097938142,1776099650422,1712,False,Zaahen,6,9,5,GOLD II,2026-04-13 17:00:50.422
EUW1_7819405533,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776095970529,1776097662754,1692,False,Zaahen,3,11,11,GOLD II,2026-04-13 16:27:42.754
EUW1_7819368905,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776094058102,1776095728815,1671,False,Zaahen,5,11,6,GOLD II,2026-04-13 15:55:28.815
EUW1_7818920168,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776031490617,1776033780481,2290,True,Zaahen,19,9,15,GOLD II,2026-04-12 22:43:00.481
EUW1_7818883042,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776029514936,1776031219385,1704,False,Zaahen,4,9,4,GOLD II,2026-04-12 22:00:19.385
EUW1_7818826220,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776026965417,1776029034960,2069,True,Zaahen,12,8,16,GOLD II,2026-04-12 21:23:54.960
EUW1_7818789555,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776025250502,1776026681434,1431,False,Zaahen,2,9,6,GOLD II,2026-04-12 20:44:41.434
EUW1_7818680289,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776021223762,1776023044164,1820,True,Zaahen,14,5,17,GOLD II,2026-04-12 19:44:04.164
EUW1_7818646655,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776019719944,1776020900804,1181,True,Zaahen,5,2,6,GOLD II,2026-04-12 19:08:20.804
EUW1_7818513504,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776014159395,1776016426276,2267,False,Zaahen,14,8,7,GOLD II,2026-04-12 17:53:46.276
EUW1_7818442509,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776011030565,1776012757141,1726,True,Zaahen,8,5,11,GOLD II,2026-04-12 16:52:37.141
EUW1_7818397001,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776009325310,1776010818692,1493,False,Zaahen,1,6,1,GOLD II,2026-04-12 16:20:18.692
EUW1_7818352480,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776007083891,1776008956571,1872,True,Zaahen,14,9,8,GOLD II,2026-04-12 15:49:16.571
EUW1_7818291810,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776004493748,1776006294507,1801,True,Zaahen,8,6,10,GOLD II,2026-04-12 15:04:54.507
EUW1_7818258013,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776002984999,1776004250310,1265,True,Zaahen,8,3,4,GOLD II,2026-04-12 14:30:50.310
EUW1_7818211862,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1776000598954,1776002673459,2074,True,Zaahen,11,8,18,GOLD II,2026-04-12 14:04:33.459
EUW1_7818187720,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1775999282106,1776000198584,916,False,Zaahen,2,6,1,GOLD II,2026-04-12 13:23:18.584
EUW1_7818147482,HN1DGdBuIUrqoa0czQb8wNPRjluQr3a6fGlW07cCNo8HlIh_rbksUIqHPoHaQVv2v1y_7w9BTUPc0A,1775996960028,1775999042723,2083,True,Zaahen,11,7,14,GOLD II,2026-04-12 13:04:02.723
