match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7827894776,I4s-_efv642VfLn8BCzhKbQsuNAr2b5fOf4rx8IjBxU68Obe3Tf_pHU0BEPtqvuF1rBpaJTFRS-NJw,1776760110137,1776761920333,1810,False,Jinx,3,9,4,GOLD III,2026-04-21 08:58:40.333
EUW1_7827453968,I4s-_efv642VfLn8BCzhKbQsuNAr2b5fOf4rx8IjBxU68Obe3Tf_pHU0BEPtqvuF1rBpaJTFRS-NJw,1776712775673,1776714491400,1716,True,Jinx,8,2,8,GOLD III,2026-04-20 19:48:11.400
EUW1_7822611168,I4s-_efv642VfLn8BCzhKbQsuNAr2b5fOf4rx8IjBxU68Obe3Tf_pHU0BEPtqvuF1rBpaJTFRS-NJw,1776362450881,1776364255919,1805,True,Jinx,2,2,9,GOLD III,2026-04-16 18:30:55.919
EUW1_7822597790,I4s-_efv642VfLn8BCzhKbQsuNAr2b5fOf4rx8IjBxU68Obe3Tf_pHU0BEPtqvuF1rBpaJTFRS-NJw,1776361846149,1776362176457,330,False,Jinx,1,0,0,GOLD III,2026-04-16 17:56:16.457
EUW1_7822463579,I4s-_efv642VfLn8BCzhKbQsuNAr2b5fOf4rx8IjBxU68Obe3Tf_pHU0BEPtqvuF1rBpaJTFRS-NJw,1776356135720,1776357557281,1421,True,Jinx,1,3,8,GOLD III,2026-04-16 16:39:17.281
EUW1_7822410508,I4s-_efv642VfLn8BCzhKbQsuNAr2b5fOf4rx8IjBxU68Obe3Tf_pHU0BEPtqvuF1rBpaJTFRS-NJw,1776353773804,1776355678523,1905,True,Jinx,17,6,8,GOLD III,2026-04-16 16:07:58.523
EUW1_7822189491,I4s-_efv642VfLn8BCzhKbQsuNAr2b5fOf4rx8IjBxU68Obe3Tf_pHU0BEPtqvuF1rBpaJTFRS-NJw,1776339191398,1776340842867,1651,True,Jinx,9,4,10,GOLD III,2026-04-16 12:00:42.867
EUW1_7822134092,I4s-_efv642VfLn8BCzhKbQsuNAr2b5fOf4rx8IjBxU68Obe3Tf_pHU0BEPtqvuF1rBpaJTFRS-NJw,1776334847552,1776336638338,1791,True,Caitlyn,5,6,4,GOLD III,2026-04-16 10:50:38.338
EUW1_7821899464,I4s-_efv642VfLn8BCzhKbQsuNAr2b5fOf4rx8IjBxU68Obe3Tf_pHU0BEPtqvuF1rBpaJTFRS-NJw,1776292697472,1776294603609,1906,False,Jinx,1,9,4,GOLD III,2026-04-15 23:10:03.609
EUW1_7821854163,I4s-_efv642VfLn8BCzhKbQsuNAr2b5fOf4rx8IjBxU68Obe3Tf_pHU0BEPtqvuF1rBpaJTFRS-NJw,1776290525362,1776292417786,1892,False,Caitlyn,15,9,3,GOLD III,2026-04-15 22:33:37.786
EUW1_7821328182,I4s-_efv642VfLn8BCzhKbQsuNAr2b5fOf4rx8IjBxU68Obe3Tf_pHU0BEPtqvuF1rBpaJTFRS-NJw,1776268183429,1776270301888,2118,False,Jinx,4,6,6,GOLD III,2026-04-15 16:25:01.888
EUW1_7821206371,I4s-_efv642VfLn8BCzhKbQsuNAr2b5fOf4rx8IjBxU68Obe3Tf_pHU0BEPtqvuF1rBpaJTFRS-NJw,1776261616479,1776263296525,1680,True,Jinx,6,4,10,GOLD III,2026-04-15 14:28:16.525
EUW1_7821038466,I4s-_efv642VfLn8BCzhKbQsuNAr2b5fOf4rx8IjBxU68Obe3Tf_pHU0BEPtqvuF1rBpaJTFRS-NJw,1776247996261,1776249910636,1914,False,Jinx,3,3,5,GOLD III,2026-04-15 10:45:10.636
EUW1_7820944842,I4s-_efv642VfLn8BCzhKbQsuNAr2b5fOf4rx8IjBxU68Obe3Tf_pHU0BEPtqvuF1rBpaJTFRS-NJw,1776235828634,1776238617776,2789,False,Jinx,13,7,12,GOLD III,2026-04-15 07:36:57.776
EUW1_7820948473,I4s-_efv642VfLn8BCzhKbQsuNAr2b5fOf4rx8IjBxU68Obe3Tf_pHU0BEPtqvuF1rBpaJTFRS-NJw,1776235522986,1776235593429,70,True,Jinx,0,0,0,GOLD III,2026-04-15 06:46:33.429
EUW1_7819713099,I4s-_efv642VfLn8BCzhKbQsuNAr2b5fOf4rx8IjBxU68Obe3Tf_pHU0BEPtqvuF1rBpaJTFRS-NJw,1776109949135,1776112210416,2261,True,Jinx,12,4,9,GOLD III,2026-04-13 20:30:10.416
EUW1_7819300679,I4s-_efv642VfLn8BCzhKbQsuNAr2b5fOf4rx8IjBxU68Obe3Tf_pHU0BEPtqvuF1rBpaJTFRS-NJw,1776089310390,1776091475255,2170,True,Jinx,10,5,14,GOLD III,2026-04-13 14:44:35.255
EUW1_7815677102,I4s-_efv642VfLn8BCzhKbQsuNAr2b5fOf4rx8IjBxU68Obe3Tf_pHU0BEPtqvuF1rBpaJTFRS-NJw,1775782636591,1775785095192,2459,True,Jinx,14,5,6,GOLD III,2026-04-10 01:38:15.192
EUW1_7815667622,I4s-_efv642VfLn8BCzhKbQsuNAr2b5fOf4rx8IjBxU68Obe3Tf_pHU0BEPtqvuF1rBpaJTFRS-NJw,1775780219797,1775781948916,1729,False,Jinx,4,4,9,GOLD III,2026-04-10 00:45:48.916
EUW1_7815645467,I4s-_efv642VfLn8BCzhKbQsuNAr2b5fOf4rx8IjBxU68Obe3Tf_pHU0BEPtqvuF1rBpaJTFRS-NJw,1775777564368,1775779923694,2359,True,Jinx,15,6,16,GOLD III,2026-04-10 00:12:03.694
EUW1_7814619879,I4s-_efv642VfLn8BCzhKbQsuNAr2b5fOf4rx8IjBxU68Obe3Tf_pHU0BEPtqvuF1rBpaJTFRS-NJw,1775685586286,1775687792597,2206,True,Jinx,4,5,11,GOLD III,2026-04-08 22:36:32.597
EUW1_7814582660,I4s-_efv642VfLn8BCzhKbQsuNAr2b5fOf4rx8IjBxU68Obe3Tf_pHU0BEPtqvuF1rBpaJTFRS-NJw,1775683597331,1775685230561,1633,False,Jinx,4,5,0,GOLD III,2026-04-08 21:53:50.561
EUW1_7814529617,I4s-_efv642VfLn8BCzhKbQsuNAr2b5fOf4rx8IjBxU68Obe3Tf_pHU0BEPtqvuF1rBpaJTFRS-NJw,1775680918164,1775683231473,2318,False,Jinx,7,3,6,GOLD III,2026-04-08 21:20:31.473
EUW1_7811589663,I4s-_efv642VfLn8BCzhKbQsuNAr2b5fOf4rx8IjBxU68Obe3Tf_pHU0BEPtqvuF1rBpaJTFRS-NJw,1775428523354,1775430898433,2375,False,Jinx,14,4,8,GOLD III,2026-04-05 23:14:58.433
