match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7823808332,IF6WCXXIKR-nvDnS71hHOvSvJlGbBuZI5T3NZkALTdibYm9JU8bRtkyu6Q3nSN-zdO9NZLrC5vIJDA,1776452911279,1776455485696,2574,False,Malzahar,8,8,9,SILVER IV,2026-04-17 19:51:25.696
EUW1_7823694575,IF6WCXXIKR-nvDnS71hHOvSvJlGbBuZI5T3NZkALTdibYm9JU8bRtkyu6Q3nSN-zdO9NZLrC5vIJDA,1776447301473,1776450399524,3098,True,Malzahar,9,8,16,SILVER IV,2026-04-17 18:26:39.524
EUW1_7823644532,IF6WCXXIKR-nvDnS71hHOvSvJlGbBuZI5T3NZkALTdibYm9JU8bRtkyu6Q3nSN-zdO9NZLrC5vIJDA,1776444802285,1776446885841,2083,False,Pantheon,6,7,4,SILVER IV,2026-04-17 17:28:05.841
EUW1_7823471949,IF6WCXXIKR-nvDnS71hHOvSvJlGbBuZI5T3NZkALTdibYm9JU8bRtkyu6Q3nSN-zdO9NZLrC5vIJDA,1776436064350,1776438064849,2001,True,Malzahar,7,4,10,SILVER IV,2026-04-17 15:01:04.849
EUW1_7823399435,IF6WCXXIKR-nvDnS71hHOvSvJlGbBuZI5T3NZkALTdibYm9JU8bRtkyu6Q3nSN-zdO9NZLrC5vIJDA,1776432029047,1776433051788,1023,True,Pantheon,4,2,0,SILVER IV,2026-04-17 13:37:31.788
EUW1_7822947848,IF6WCXXIKR-nvDnS71hHOvSvJlGbBuZI5T3NZkALTdibYm9JU8bRtkyu6Q3nSN-zdO9NZLrC5vIJDA,1776375343931,1776377291719,1948,True,Pantheon,13,4,10,SILVER IV,2026-04-16 22:08:11.719
EUW1_7822623334,IF6WCXXIKR-nvDnS71hHOvSvJlGbBuZI5T3NZkALTdibYm9JU8bRtkyu6Q3nSN-zdO9NZLrC5vIJDA,1776362975420,1776365032830,2057,True,Malzahar,3,3,13,SILVER IV,2026-04-16 18:43:52.830
EUW1_7822546407,IF6WCXXIKR-nvDnS71hHOvSvJlGbBuZI5T3NZkALTdibYm9JU8bRtkyu6Q3nSN-zdO9NZLrC5vIJDA,1776359813805,1776360780217,966,True,Malzahar,3,0,3,SILVER IV,2026-04-16 17:33:00.217
EUW1_7822497471,IF6WCXXIKR-nvDnS71hHOvSvJlGbBuZI5T3NZkALTdibYm9JU8bRtkyu6Q3nSN-zdO9NZLrC5vIJDA,1776357679449,1776359109545,1430,True,Malzahar,1,4,11,SILVER IV,2026-04-16 17:05:09.545
EUW1_7822108349,IF6WCXXIKR-nvDnS71hHOvSvJlGbBuZI5T3NZkALTdibYm9JU8bRtkyu6Q3nSN-zdO9NZLrC5vIJDA,1776332292087,1776333437574,1146,False,Malzahar,1,4,1,SILVER IV,2026-04-16 09:57:17.574
EUW1_7822095653,IF6WCXXIKR-nvDnS71hHOvSvJlGbBuZI5T3NZkALTdibYm9JU8bRtkyu6Q3nSN-zdO9NZLrC5vIJDA,1776330335315,1776331995784,1660,False,Yone,0,8,0,SILVER IV,2026-04-16 09:33:15.784
