match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7830121601,IofmaV0mndFUxlaoQcK-hJm0Pf0GsG7EMXLrhAixlyUk9Begj2yayY7_KiyJYNLaI3ICFTinX7nAow,1776951301498,1776953423817,2122,False,Bard,0,4,10,GOLD IV,2026-04-23 14:10:23.817
EUW1_7830092133,IofmaV0mndFUxlaoQcK-hJm0Pf0GsG7EMXLrhAixlyUk9Begj2yayY7_KiyJYNLaI3ICFTinX7nAow,1776949420139,1776950964230,1544,True,Lux,6,2,17,GOLD IV,2026-04-23 13:29:24.230
EUW1_7830048316,IofmaV0mndFUxlaoQcK-hJm0Pf0GsG7EMXLrhAixlyUk9Begj2yayY7_KiyJYNLaI3ICFTinX7nAow,1776946067475,1776947709603,1642,False,Senna,3,4,5,GOLD IV,2026-04-23 12:35:09.603
EUW1_7830030035,IofmaV0mndFUxlaoQcK-hJm0Pf0GsG7EMXLrhAixlyUk9Begj2yayY7_KiyJYNLaI3ICFTinX7nAow,1776944220987,1776945884610,1663,False,Teemo,0,3,1,GOLD IV,2026-04-23 12:04:44.610
EUW1_7830006517,IofmaV0mndFUxlaoQcK-hJm0Pf0GsG7EMXLrhAixlyUk9Begj2yayY7_KiyJYNLaI3ICFTinX7nAow,1776941697579,1776943893673,2196,True,Malphite,4,3,13,GOLD IV,2026-04-23 11:31:33.673
EUW1_7829002181,IofmaV0mndFUxlaoQcK-hJm0Pf0GsG7EMXLrhAixlyUk9Begj2yayY7_KiyJYNLaI3ICFTinX7nAow,1776855716866,1776857876834,2160,False,Karthus,7,6,19,GOLD IV,2026-04-22 11:37:56.834
EUW1_7828966375,IofmaV0mndFUxlaoQcK-hJm0Pf0GsG7EMXLrhAixlyUk9Begj2yayY7_KiyJYNLaI3ICFTinX7nAow,1776852099294,1776854405394,2306,True,Singed,6,2,7,GOLD IV,2026-04-22 10:40:05.394
EUW1_7828927990,IofmaV0mndFUxlaoQcK-hJm0Pf0GsG7EMXLrhAixlyUk9Begj2yayY7_KiyJYNLaI3ICFTinX7nAow,1776846870687,1776848968674,2098,False,Mordekaiser,2,6,0,GOLD IV,2026-04-22 09:09:28.674
EUW1_7828913556,IofmaV0mndFUxlaoQcK-hJm0Pf0GsG7EMXLrhAixlyUk9Begj2yayY7_KiyJYNLaI3ICFTinX7nAow,1776843859768,1776846316423,2457,True,Singed,3,12,9,GOLD IV,2026-04-22 08:25:16.423
EUW1_7828899534,IofmaV0mndFUxlaoQcK-hJm0Pf0GsG7EMXLrhAixlyUk9Begj2yayY7_KiyJYNLaI3ICFTinX7nAow,1776840690948,1776842300035,1609,True,Malphite,8,1,3,GOLD IV,2026-04-22 07:18:20.035
EUW1_7827912065,IofmaV0mndFUxlaoQcK-hJm0Pf0GsG7EMXLrhAixlyUk9Begj2yayY7_KiyJYNLaI3ICFTinX7nAow,1776762844529,1776764842536,1998,False,Brand,1,5,0,GOLD IV,2026-04-21 09:47:22.536
EUW1_7827896901,IofmaV0mndFUxlaoQcK-hJm0Pf0GsG7EMXLrhAixlyUk9Begj2yayY7_KiyJYNLaI3ICFTinX7nAow,1776760585790,1776762280713,1695,True,Teemo,0,4,1,GOLD IV,2026-04-21 09:04:40.713
EUW1_7827885765,IofmaV0mndFUxlaoQcK-hJm0Pf0GsG7EMXLrhAixlyUk9Begj2yayY7_KiyJYNLaI3ICFTinX7nAow,1776758559698,1776760199334,1639,True,Teemo,1,6,2,GOLD IV,2026-04-21 08:29:59.334
EUW1_7822060004,IofmaV0mndFUxlaoQcK-hJm0Pf0GsG7EMXLrhAixlyUk9Begj2yayY7_KiyJYNLaI3ICFTinX7nAow,1776325976409,1776327988519,2012,True,Teemo,6,2,11,GOLD IV,2026-04-16 08:26:28.519
EUW1_7821054284,IofmaV0mndFUxlaoQcK-hJm0Pf0GsG7EMXLrhAixlyUk9Begj2yayY7_KiyJYNLaI3ICFTinX7nAow,1776250433561,1776252953286,2520,True,Teemo,7,7,4,GOLD IV,2026-04-15 11:35:53.286
EUW1_7821009829,IofmaV0mndFUxlaoQcK-hJm0Pf0GsG7EMXLrhAixlyUk9Begj2yayY7_KiyJYNLaI3ICFTinX7nAow,1776245680832,1776248476551,2796,True,Teemo,1,6,7,GOLD IV,2026-04-15 10:21:16.551
EUW1_7820981380,IofmaV0mndFUxlaoQcK-hJm0Pf0GsG7EMXLrhAixlyUk9Begj2yayY7_KiyJYNLaI3ICFTinX7nAow,1776243521984,1776245384376,1862,False,Ornn,0,6,3,GOLD IV,2026-04-15 09:29:44.376
