match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7826029424,IuqhTsGMGVmIZr6e5ys1x0xvbUr01A8DOvfuysMaTCnVTXSP92TgIiD3I5pNuR1mQ0XjHzyUKSLaew,1776613177157,1776614782979,1606,False,Rammus,1,6,5,GOLD III,2026-04-19 16:06:22.979
EUW1_7825824582,IuqhTsGMGVmIZr6e5ys1x0xvbUr01A8DOvfuysMaTCnVTXSP92TgIiD3I5pNuR1mQ0XjHzyUKSLaew,1776604069615,1776605736255,1667,True,Morgana,6,5,14,GOLD III,2026-04-19 13:35:36.255
EUW1_7825778887,IuqhTsGMGVmIZr6e5ys1x0xvbUr01A8DOvfuysMaTCnVTXSP92TgIiD3I5pNuR1mQ0XjHzyUKSLaew,1776601780800,1776603467154,1691,False,Volibear,4,8,7,GOLD III,2026-04-19 12:57:47.154
EUW1_7825726260,IuqhTsGMGVmIZr6e5ys1x0xvbUr01A8DOvfuysMaTCnVTXSP92TgIiD3I5pNuR1mQ0XjHzyUKSLaew,1776599326180,1776601515513,2189,False,Zyra,3,14,12,GOLD III,2026-04-19 12:25:15.513
EUW1_7824505820,IuqhTsGMGVmIZr6e5ys1x0xvbUr01A8DOvfuysMaTCnVTXSP92TgIiD3I5pNuR1mQ0XjHzyUKSLaew,1776512864962,1776514844935,1980,False,Jinx,3,12,3,GOLD III,2026-04-18 12:20:44.935
EUW1_7824470786,IuqhTsGMGVmIZr6e5ys1x0xvbUr01A8DOvfuysMaTCnVTXSP92TgIiD3I5pNuR1mQ0XjHzyUKSLaew,1776510514901,1776512636916,2122,True,Jinx,9,12,9,GOLD III,2026-04-18 11:43:56.916
EUW1_7823640599,IuqhTsGMGVmIZr6e5ys1x0xvbUr01A8DOvfuysMaTCnVTXSP92TgIiD3I5pNuR1mQ0XjHzyUKSLaew,1776444714108,1776446966138,2252,False,Ashe,8,10,12,GOLD III,2026-04-17 17:29:26.138
EUW1_7823576164,IuqhTsGMGVmIZr6e5ys1x0xvbUr01A8DOvfuysMaTCnVTXSP92TgIiD3I5pNuR1mQ0XjHzyUKSLaew,1776441723671,1776443734396,2011,True,Jinx,6,9,6,GOLD III,2026-04-17 16:35:34.396
EUW1_7823540982,IuqhTsGMGVmIZr6e5ys1x0xvbUr01A8DOvfuysMaTCnVTXSP92TgIiD3I5pNuR1mQ0XjHzyUKSLaew,1776439749963,1776441429367,1679,True,Jinx,8,6,3,GOLD III,2026-04-17 15:57:09.367
EUW1_7823501915,IuqhTsGMGVmIZr6e5ys1x0xvbUr01A8DOvfuysMaTCnVTXSP92TgIiD3I5pNuR1mQ0XjHzyUKSLaew,1776437688741,1776439522515,1834,False,Ashe,5,10,2,GOLD III,2026-04-17 15:25:22.515
EUW1_7823479093,IuqhTsGMGVmIZr6e5ys1x0xvbUr01A8DOvfuysMaTCnVTXSP92TgIiD3I5pNuR1mQ0XjHzyUKSLaew,1776436452132,1776437367651,915,False,Jinx,1,5,2,GOLD III,2026-04-17 14:49:27.651
