match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7829724699,JJ554uWCwdG2HId-Xjlr0g7s6ncJ8CAJ28EP2L4Lcoyk0vwNdBvoCexetUwXVzh3SAAdZslqVpqq2w,1776894659242,1776896276941,1618,True,Lillia,4,2,11,SILVER II,2026-04-22 22:17:56.941
EUW1_7829466524,JJ554uWCwdG2HId-Xjlr0g7s6ncJ8CAJ28EP2L4Lcoyk0vwNdBvoCexetUwXVzh3SAAdZslqVpqq2w,1776883713822,1776885705002,1994,True,Lillia,10,2,8,SILVER II,2026-04-22 19:21:45.002
EUW1_7828759502,JJ554uWCwdG2HId-Xjlr0g7s6ncJ8CAJ28EP2L4Lcoyk0vwNdBvoCexetUwXVzh3SAAdZslqVpqq2w,1776809281554,1776811283385,2002,False,Morgana,2,12,12,SILVER II,2026-04-21 22:41:23.385
EUW1_7828710830,JJ554uWCwdG2HId-Xjlr0g7s6ncJ8CAJ28EP2L4Lcoyk0vwNdBvoCexetUwXVzh3SAAdZslqVpqq2w,1776806890993,1776808015214,1124,True,Kayn,6,4,10,SILVER II,2026-04-21 21:46:55.214
EUW1_7828453981,JJ554uWCwdG2HId-Xjlr0g7s6ncJ8CAJ28EP2L4Lcoyk0vwNdBvoCexetUwXVzh3SAAdZslqVpqq2w,1776797051835,1776799390506,2339,False,Rammus,5,6,17,SILVER II,2026-04-21 19:23:10.506
EUW1_7828247044,JJ554uWCwdG2HId-Xjlr0g7s6ncJ8CAJ28EP2L4Lcoyk0vwNdBvoCexetUwXVzh3SAAdZslqVpqq2w,1776788169543,1776789136044,966,False,Kayn,4,7,2,SILVER II,2026-04-21 16:32:16.044
EUW1_7828212717,JJ554uWCwdG2HId-Xjlr0g7s6ncJ8CAJ28EP2L4Lcoyk0vwNdBvoCexetUwXVzh3SAAdZslqVpqq2w,1776786077905,1776787947083,1869,False,Lux,1,4,5,SILVER II,2026-04-21 16:12:27.083
EUW1_7827720944,JJ554uWCwdG2HId-Xjlr0g7s6ncJ8CAJ28EP2L4Lcoyk0vwNdBvoCexetUwXVzh3SAAdZslqVpqq2w,1776723886781,1776725627337,1740,True,Morgana,6,5,22,SILVER II,2026-04-20 22:53:47.337
EUW1_7827700481,JJ554uWCwdG2HId-Xjlr0g7s6ncJ8CAJ28EP2L4Lcoyk0vwNdBvoCexetUwXVzh3SAAdZslqVpqq2w,1776722302652,1776723246042,943,True,Morgana,2,2,9,SILVER II,2026-04-20 22:14:06.042
EUW1_7825870136,JJ554uWCwdG2HId-Xjlr0g7s6ncJ8CAJ28EP2L4Lcoyk0vwNdBvoCexetUwXVzh3SAAdZslqVpqq2w,1776606300685,1776607890763,1590,True,Morgana,4,1,11,SILVER II,2026-04-19 14:11:30.763
