match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7840411435,JLFG3whZTH-dzDwuxQoDMe8oHxm-EEqXjqzmDt4O15tOjTl4saX-_FptW4rbQ0_23W7tgX7wfWG2og,1777756799624,1777759254803,2455,False,XinZhao,11,11,9,SILVER I,2026-05-02 22:00:54.803
EUW1_7840373510,JLFG3whZTH-dzDwuxQoDMe8oHxm-EEqXjqzmDt4O15tOjTl4saX-_FptW4rbQ0_23W7tgX7wfWG2og,1777754885753,1777756458492,1573,True,DrMundo,4,3,10,SILVER I,2026-05-02 21:14:18.492
EUW1_7839113967,JLFG3whZTH-dzDwuxQoDMe8oHxm-EEqXjqzmDt4O15tOjTl4saX-_FptW4rbQ0_23W7tgX7wfWG2og,1777664545936,1777666963817,2418,False,Malzahar,8,8,11,SILVER I,2026-05-01 20:22:43.817
EUW1_7839050711,JLFG3whZTH-dzDwuxQoDMe8oHxm-EEqXjqzmDt4O15tOjTl4saX-_FptW4rbQ0_23W7tgX7wfWG2og,1777661734859,1777663608299,1873,False,Diana,9,7,0,SILVER I,2026-05-01 19:26:48.299
EUW1_7837385698,JLFG3whZTH-dzDwuxQoDMe8oHxm-EEqXjqzmDt4O15tOjTl4saX-_FptW4rbQ0_23W7tgX7wfWG2og,1777545077139,1777547529714,2452,False,Talon,8,8,3,SILVER I,2026-04-30 11:12:09.714
EUW1_7837045801,JLFG3whZTH-dzDwuxQoDMe8oHxm-EEqXjqzmDt4O15tOjTl4saX-_FptW4rbQ0_23W7tgX7wfWG2og,1777497025896,1777498665393,1639,True,Sylas,9,2,6,SILVER I,2026-04-29 21:37:45.393
EUW1_7836994645,JLFG3whZTH-dzDwuxQoDMe8oHxm-EEqXjqzmDt4O15tOjTl4saX-_FptW4rbQ0_23W7tgX7wfWG2og,1777495131318,1777496725967,1594,True,Talon,9,2,6,SILVER I,2026-04-29 21:05:25.967
EUW1_7836926685,JLFG3whZTH-dzDwuxQoDMe8oHxm-EEqXjqzmDt4O15tOjTl4saX-_FptW4rbQ0_23W7tgX7wfWG2og,1777492407870,1777494596158,2188,True,Kayn,10,6,9,SILVER I,2026-04-29 20:29:56.158
EUW1_7835988425,JLFG3whZTH-dzDwuxQoDMe8oHxm-EEqXjqzmDt4O15tOjTl4saX-_FptW4rbQ0_23W7tgX7wfWG2og,1777411303097,1777413715598,2412,False,Zed,13,7,9,SILVER I,2026-04-28 22:01:55.598
EUW1_7835240747,JLFG3whZTH-dzDwuxQoDMe8oHxm-EEqXjqzmDt4O15tOjTl4saX-_FptW4rbQ0_23W7tgX7wfWG2og,1777358413078,1777360881110,2468,False,Ekko,17,11,7,SILVER I,2026-04-28 07:21:21.110
EUW1_7834974669,JLFG3whZTH-dzDwuxQoDMe8oHxm-EEqXjqzmDt4O15tOjTl4saX-_FptW4rbQ0_23W7tgX7wfWG2og,1777322137311,1777323785909,1648,False,DrMundo,2,4,4,SILVER I,2026-04-27 21:03:05.909
EUW1_7834906637,JLFG3whZTH-dzDwuxQoDMe8oHxm-EEqXjqzmDt4O15tOjTl4saX-_FptW4rbQ0_23W7tgX7wfWG2og,1777319410200,1777321761711,2351,True,Ambessa,13,9,11,SILVER I,2026-04-27 20:29:21.711
EUW1_7834020002,JLFG3whZTH-dzDwuxQoDMe8oHxm-EEqXjqzmDt4O15tOjTl4saX-_FptW4rbQ0_23W7tgX7wfWG2og,1777238087620,1777239237288,1149,False,Zac,3,4,3,SILVER I,2026-04-26 21:33:57.288
EUW1_7833970298,JLFG3whZTH-dzDwuxQoDMe8oHxm-EEqXjqzmDt4O15tOjTl4saX-_FptW4rbQ0_23W7tgX7wfWG2og,1777236028653,1777237838859,1810,True,Zed,11,5,2,SILVER I,2026-04-26 21:10:38.859
EUW1_7833907872,JLFG3whZTH-dzDwuxQoDMe8oHxm-EEqXjqzmDt4O15tOjTl4saX-_FptW4rbQ0_23W7tgX7wfWG2og,1777233579238,1777235624946,2046,True,MasterYi,5,6,10,SILVER I,2026-04-26 20:33:44.946
EUW1_7832854284,JLFG3whZTH-dzDwuxQoDMe8oHxm-EEqXjqzmDt4O15tOjTl4saX-_FptW4rbQ0_23W7tgX7wfWG2og,1777154484712,1777156023352,1538,False,Shen,1,5,10,SILVER I,2026-04-25 22:27:03.352
EUW1_7832817251,JLFG3whZTH-dzDwuxQoDMe8oHxm-EEqXjqzmDt4O15tOjTl4saX-_FptW4rbQ0_23W7tgX7wfWG2og,1777152877764,1777154203065,1325,True,Volibear,7,3,4,SILVER I,2026-04-25 21:56:43.065
EUW1_7831805498,JLFG3whZTH-dzDwuxQoDMe8oHxm-EEqXjqzmDt4O15tOjTl4saX-_FptW4rbQ0_23W7tgX7wfWG2og,1777070636767,1777072844747,2208,True,DrMundo,6,2,19,SILVER I,2026-04-24 23:20:44.747
