match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7838865997,Jr60bZH_rq5KQQEpRj6o-LdPGgID1AOE_-duHcMb9MlDyvu_nCNs8UGPRhTKknj2dmx2HgsXrsZyqA,1777653020346,1777654968092,1948,True,KSante,5,6,9,GOLD III,2026-05-01 17:02:48.092
EUW1_7838392237,Jr60bZH_rq5KQQEpRj6o-LdPGgID1AOE_-duHcMb9MlDyvu_nCNs8UGPRhTKknj2dmx2HgsXrsZyqA,1777623998459,1777626079911,2081,False,DrMundo,9,8,6,GOLD III,2026-05-01 09:01:19.911
EUW1_7837733898,Jr60bZH_rq5KQQEpRj6o-LdPGgID1AOE_-duHcMb9MlDyvu_nCNs8UGPRhTKknj2dmx2HgsXrsZyqA,1777569191732,1777572630436,3439,False,Naafiri,13,13,12,GOLD III,2026-04-30 18:10:30.436
EUW1_7837171148,Jr60bZH_rq5KQQEpRj6o-LdPGgID1AOE_-duHcMb9MlDyvu_nCNs8UGPRhTKknj2dmx2HgsXrsZyqA,1777504570568,1777505680219,1110,True,Vladimir,5,1,0,GOLD III,2026-04-29 23:34:40.219
EUW1_7836940212,Jr60bZH_rq5KQQEpRj6o-LdPGgID1AOE_-duHcMb9MlDyvu_nCNs8UGPRhTKknj2dmx2HgsXrsZyqA,1777493075690,1777495312902,2238,False,Renekton,2,6,2,GOLD III,2026-04-29 20:41:52.902
EUW1_7836688604,Jr60bZH_rq5KQQEpRj6o-LdPGgID1AOE_-duHcMb9MlDyvu_nCNs8UGPRhTKknj2dmx2HgsXrsZyqA,1777483162690,1777485169814,2007,True,Vladimir,2,4,6,GOLD III,2026-04-29 17:52:49.814
EUW1_7836379824,Jr60bZH_rq5KQQEpRj6o-LdPGgID1AOE_-duHcMb9MlDyvu_nCNs8UGPRhTKknj2dmx2HgsXrsZyqA,1777465863638,1777467214499,1351,True,Jax,9,0,2,GOLD III,2026-04-29 12:53:34.499
EUW1_7835913455,Jr60bZH_rq5KQQEpRj6o-LdPGgID1AOE_-duHcMb9MlDyvu_nCNs8UGPRhTKknj2dmx2HgsXrsZyqA,1777407866885,1777409392798,1526,False,Sett,2,6,2,GOLD III,2026-04-28 20:49:52.798
EUW1_7835662617,Jr60bZH_rq5KQQEpRj6o-LdPGgID1AOE_-duHcMb9MlDyvu_nCNs8UGPRhTKknj2dmx2HgsXrsZyqA,1777396275989,1777397969741,1694,True,Yone,8,1,2,GOLD III,2026-04-28 17:39:29.741
EUW1_7834950465,Jr60bZH_rq5KQQEpRj6o-LdPGgID1AOE_-duHcMb9MlDyvu_nCNs8UGPRhTKknj2dmx2HgsXrsZyqA,1777321047495,1777323221174,2174,True,Kennen,8,7,6,GOLD III,2026-04-27 20:53:41.174
EUW1_7834811233,Jr60bZH_rq5KQQEpRj6o-LdPGgID1AOE_-duHcMb9MlDyvu_nCNs8UGPRhTKknj2dmx2HgsXrsZyqA,1777316302152,1777318174412,1872,False,Urgot,7,11,4,GOLD III,2026-04-27 19:29:34.412
EUW1_7834066125,Jr60bZH_rq5KQQEpRj6o-LdPGgID1AOE_-duHcMb9MlDyvu_nCNs8UGPRhTKknj2dmx2HgsXrsZyqA,1777240353948,1777242941057,2587,True,Naafiri,24,6,7,GOLD III,2026-04-26 22:35:41.057
EUW1_7833992134,Jr60bZH_rq5KQQEpRj6o-LdPGgID1AOE_-duHcMb9MlDyvu_nCNs8UGPRhTKknj2dmx2HgsXrsZyqA,1777236978831,1777238935905,1957,True,Malzahar,5,8,8,GOLD III,2026-04-26 21:28:55.905
EUW1_7833909950,Jr60bZH_rq5KQQEpRj6o-LdPGgID1AOE_-duHcMb9MlDyvu_nCNs8UGPRhTKknj2dmx2HgsXrsZyqA,1777233600477,1777235210383,1610,True,Malphite,8,0,10,GOLD III,2026-04-26 20:26:50.383
