match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7842241571,KYr1ysKuYK-_r8uk5jmA89J-ApEURaN7uYdVpBViGcqTxz17hxi6yFkqTvSpo-Y8gSmz_JLKTtO78A,1777906512014,1777908635024,2123,False,Brand,12,12,8,GOLD IV,2026-05-04 15:30:35.024
EUW1_7842154291,KYr1ysKuYK-_r8uk5jmA89J-ApEURaN7uYdVpBViGcqTxz17hxi6yFkqTvSpo-Y8gSmz_JLKTtO78A,1777901415694,1777903198599,1783,True,Teemo,6,2,11,GOLD IV,2026-05-04 13:59:58.599
EUW1_7842152712,KYr1ysKuYK-_r8uk5jmA89J-ApEURaN7uYdVpBViGcqTxz17hxi6yFkqTvSpo-Y8gSmz_JLKTtO78A,1777901110618,1777901184418,74,False,Teemo,0,0,0,GOLD IV,2026-05-04 13:26:24.418
EUW1_7842119248,KYr1ysKuYK-_r8uk5jmA89J-ApEURaN7uYdVpBViGcqTxz17hxi6yFkqTvSpo-Y8gSmz_JLKTtO78A,1777899046960,1777900642000,1595,False,Fizz,5,6,4,GOLD IV,2026-05-04 13:17:22.000
EUW1_7842097195,KYr1ysKuYK-_r8uk5jmA89J-ApEURaN7uYdVpBViGcqTxz17hxi6yFkqTvSpo-Y8gSmz_JLKTtO78A,1777896968215,1777898526754,1558,True,MasterYi,9,1,6,GOLD IV,2026-05-04 12:42:06.754
EUW1_7842057235,KYr1ysKuYK-_r8uk5jmA89J-ApEURaN7uYdVpBViGcqTxz17hxi6yFkqTvSpo-Y8gSmz_JLKTtO78A,1777893587866,1777894894431,1306,False,Brand,4,5,2,GOLD IV,2026-05-04 11:41:34.431
EUW1_7842034938,KYr1ysKuYK-_r8uk5jmA89J-ApEURaN7uYdVpBViGcqTxz17hxi6yFkqTvSpo-Y8gSmz_JLKTtO78A,1777891385987,1777892849556,1463,True,Nocturne,7,5,8,GOLD IV,2026-05-04 11:07:29.556
EUW1_7842010972,KYr1ysKuYK-_r8uk5jmA89J-ApEURaN7uYdVpBViGcqTxz17hxi6yFkqTvSpo-Y8gSmz_JLKTtO78A,1777889119658,1777890981529,1862,False,Rammus,5,7,12,GOLD IV,2026-05-04 10:36:21.529
EUW1_7842000682,KYr1ysKuYK-_r8uk5jmA89J-ApEURaN7uYdVpBViGcqTxz17hxi6yFkqTvSpo-Y8gSmz_JLKTtO78A,1777887597643,1777888646601,1049,False,Malzahar,4,5,2,GOLD IV,2026-05-04 09:57:26.601
EUW1_7841974193,KYr1ysKuYK-_r8uk5jmA89J-ApEURaN7uYdVpBViGcqTxz17hxi6yFkqTvSpo-Y8gSmz_JLKTtO78A,1777884771780,1777887245309,2473,False,Brand,11,10,12,GOLD IV,2026-05-04 09:34:05.309
EUW1_7841962514,KYr1ysKuYK-_r8uk5jmA89J-ApEURaN7uYdVpBViGcqTxz17hxi6yFkqTvSpo-Y8gSmz_JLKTtO78A,1777882202265,1777884464086,2262,False,Brand,5,14,6,GOLD IV,2026-05-04 08:47:44.086
EUW1_7841845058,KYr1ysKuYK-_r8uk5jmA89J-ApEURaN7uYdVpBViGcqTxz17hxi6yFkqTvSpo-Y8gSmz_JLKTtO78A,1777851566194,1777853969421,2403,True,Brand,13,9,17,GOLD IV,2026-05-04 00:19:29.421
EUW1_7840872897,KYr1ysKuYK-_r8uk5jmA89J-ApEURaN7uYdVpBViGcqTxz17hxi6yFkqTvSpo-Y8gSmz_JLKTtO78A,1777807013322,1777808617814,1604,True,Brand,6,4,9,GOLD IV,2026-05-03 11:43:37.814
EUW1_7840841778,KYr1ysKuYK-_r8uk5jmA89J-ApEURaN7uYdVpBViGcqTxz17hxi6yFkqTvSpo-Y8gSmz_JLKTtO78A,1777804854210,1777806296946,1443,False,Elise,5,6,2,GOLD IV,2026-05-03 11:04:56.946
EUW1_7840812645,KYr1ysKuYK-_r8uk5jmA89J-ApEURaN7uYdVpBViGcqTxz17hxi6yFkqTvSpo-Y8gSmz_JLKTtO78A,1777802865448,1777804462416,1597,False,Brand,2,7,4,GOLD IV,2026-05-03 10:34:22.416
EUW1_7840624245,KYr1ysKuYK-_r8uk5jmA89J-ApEURaN7uYdVpBViGcqTxz17hxi6yFkqTvSpo-Y8gSmz_JLKTtO78A,1777769037417,1777770992211,1955,False,Mordekaiser,9,10,5,GOLD IV,2026-05-03 01:16:32.211
EUW1_7840611584,KYr1ysKuYK-_r8uk5jmA89J-ApEURaN7uYdVpBViGcqTxz17hxi6yFkqTvSpo-Y8gSmz_JLKTtO78A,1777767091183,1777768710561,1619,False,Mordekaiser,2,10,5,GOLD IV,2026-05-03 00:38:30.561
EUW1_7840587666,KYr1ysKuYK-_r8uk5jmA89J-ApEURaN7uYdVpBViGcqTxz17hxi6yFkqTvSpo-Y8gSmz_JLKTtO78A,1777765260899,1777766836649,1576,False,Mordekaiser,7,6,2,GOLD IV,2026-05-03 00:07:16.649
EUW1_7840550300,KYr1ysKuYK-_r8uk5jmA89J-ApEURaN7uYdVpBViGcqTxz17hxi6yFkqTvSpo-Y8gSmz_JLKTtO78A,1777763258719,1777764499171,1240,False,Hecarim,3,4,3,GOLD IV,2026-05-02 23:28:19.171
EUW1_7840544333,KYr1ysKuYK-_r8uk5jmA89J-ApEURaN7uYdVpBViGcqTxz17hxi6yFkqTvSpo-Y8gSmz_JLKTtO78A,1777762842166,1777762933412,91,True,MasterYi,0,0,0,GOLD IV,2026-05-02 23:02:13.412
EUW1_7839609295,KYr1ysKuYK-_r8uk5jmA89J-ApEURaN7uYdVpBViGcqTxz17hxi6yFkqTvSpo-Y8gSmz_JLKTtO78A,1777714208165,1777716574921,2367,False,Warwick,2,10,3,GOLD IV,2026-05-02 10:09:34.921
EUW1_7839469563,KYr1ysKuYK-_r8uk5jmA89J-ApEURaN7uYdVpBViGcqTxz17hxi6yFkqTvSpo-Y8gSmz_JLKTtO78A,1777682519422,1777684565644,2046,False,Briar,10,16,6,GOLD IV,2026-05-02 01:16:05.644
